comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
Al-Fatihah almarhum p ramlee..semua dlm cerita die byk terjadi..,@topekahmad,Topekahmad ,437,12,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/543ef6e41a0159998ed341bb195ea861~c5_100x100.jpg?x-expires=1675918800&x-signature=9LfBMQv8Tp4c5PNKHflv6qRohkM%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,13.3K,1532,589,2023-01-30,307.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675854000&x-signature=4tqpuCdnJ0%2B3z7iI2DBB2T2%2BZ4s%3D,Macam kena baju dengan berita.. 😅 #fyp  #fypシ  #fyppppppppppppppppppppppp  #fyppppppppppppppppppppppp  #tiktokmalaysia  
nasib baik anak pm x ambik gaji klu puak lebai dulu wajib 20k lebih la kena bayo gaji buta alhamdulillah DSAI terbaik,@norizmanyus,user86710966912 ,51,44,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675918800&x-signature=5Ftb%2FD2PMOXp7gOPlm1i3oFlbCk%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,13.3K,1532,589,2023-01-30,307.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675854000&x-signature=4tqpuCdnJ0%2B3z7iI2DBB2T2%2BZ4s%3D,Macam kena baju dengan berita.. 😅 #fyp  #fypシ  #fyppppppppppppppppppppppp  #fyppppppppppppppppppppppp  #tiktokmalaysia  
"nk order buat baju duta timur bai, tulis dekat sana walaun panas",@zulproton85,Zulkarnain Salla ,33,3,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/424b304a5437a3afccd02850cd97cba9~c5_100x100.jpg?x-expires=1675918800&x-signature=QBCAPr7MwOVBSAF%2BcBJyWQ2BgwM%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,13.3K,1532,589,2023-01-30,307.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675854000&x-signature=4tqpuCdnJ0%2B3z7iI2DBB2T2%2BZ4s%3D,Macam kena baju dengan berita.. 😅 #fyp  #fypシ  #fyppppppppppppppppppppppp  #fyppppppppppppppppppppppp  #tiktokmalaysia  
walaun's dgn fitnah berpisah tiada.,@abeykaytujuh,abg kay7 ,6,4,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/077270ddaeb22915dc80a1bf8b511d3d~c5_100x100.jpg?x-expires=1675918800&x-signature=Ku21RDoypiHr5T%2Fq0Vzus6U5bFk%3D,2023-02-03,2023-02-08,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,13.3K,1532,589,2023-01-30,307.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675854000&x-signature=4tqpuCdnJ0%2B3z7iI2DBB2T2%2BZ4s%3D,Macam kena baju dengan berita.. 😅 #fyp  #fypシ  #fyppppppppppppppppppppppp  #fyppppppppppppppppppppppp  #tiktokmalaysia  
buat baju penuhkn tin milo. pndai walaun niaga. dulu padang merbok.😂😂,@farhan_hasan86,Farhan Hasan86 ,34,6,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7e3768a605df0c30c1d391ec0e893c92~c5_100x100.jpg?x-expires=1675918800&x-signature=rOn704qSAKZd0wL1hLoczJtGpRo%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,13.3K,1532,589,2023-01-30,307.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675854000&x-signature=4tqpuCdnJ0%2B3z7iI2DBB2T2%2BZ4s%3D,Macam kena baju dengan berita.. 😅 #fyp  #fypシ  #fyppppppppppppppppppppppp  #fyppppppppppppppppppppppp  #tiktokmalaysia  
penasihat ni la akan bongkarkan segala salah laku kerajaan pn,@user7467092786158,Ahmad Azmi 84 ,224,118,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/749c0ef58388d8507b856d4b6b335a51~c5_100x100.jpg?x-expires=1675918800&x-signature=JaBOFAq9aKBrCoc97GEHq8NpviQ%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,13.3K,1532,589,2023-01-30,307.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675854000&x-signature=4tqpuCdnJ0%2B3z7iI2DBB2T2%2BZ4s%3D,Macam kena baju dengan berita.. 😅 #fyp  #fypシ  #fyppppppppppppppppppppppp  #fyppppppppppppppppppppppp  #tiktokmalaysia  
tak ambik gaji dan elaun. walaun koyak. hahahaha,@johndo3555,Johnkau ,19,3,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7067749629495869466~c5_100x100.jpg?x-expires=1675918800&x-signature=SQZvKMeOog4BF0zYEQ3fm%2B2ul0w%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,13.3K,1532,589,2023-01-30,307.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675854000&x-signature=4tqpuCdnJ0%2B3z7iI2DBB2T2%2BZ4s%3D,Macam kena baju dengan berita.. 😅 #fyp  #fypシ  #fyppppppppppppppppppppppp  #fyppppppppppppppppppppppp  #tiktokmalaysia  
Kalau tukar jadi PUAN PENASIHAT boleh ke,@zakikhashoggi8,Zaki Wahab20 ,14,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/936d9046aa8bcaf8c0c01fed49222cea~c5_100x100.jpg?x-expires=1675918800&x-signature=M3x6V%2BJ%2FMD7pXM5jWRnuJ8CW7y0%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,13.3K,1532,589,2023-01-30,307.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675854000&x-signature=4tqpuCdnJ0%2B3z7iI2DBB2T2%2BZ4s%3D,Macam kena baju dengan berita.. 😅 #fyp  #fypシ  #fyppppppppppppppppppppppp  #fyppppppppppppppppppppppp  #tiktokmalaysia  
"tahniah...saham utk akhirat skli ni...
#pmxthebest
#DemiPertiwi
#MalaysiaMadani",@sweet_ida86,Sweet_Ida🥰 ,193,29,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/4c1bfff0cdca9922c33697e95fc6a1ea.jpg?x-expires=1675918800&x-signature=4ME1degvH2ebiupcL7v5JSbgiYU%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,13.3K,1532,589,2023-01-30,307.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675854000&x-signature=4tqpuCdnJ0%2B3z7iI2DBB2T2%2BZ4s%3D,Macam kena baju dengan berita.. 😅 #fyp  #fypシ  #fyppppppppppppppppppppppp  #fyppppppppppppppppppppppp  #tiktokmalaysia  
walaun xleh terima ank anwar x trima gaji..dia nak mcm tok guru depa..mkn gaji buta x buat kerja🤣,@mohdsofianmatdali,mohdsofianmatdali ,5,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7106356839213858843~c5_100x100.jpg?x-expires=1675918800&x-signature=JqAFVMEkCKfzIE23PQ%2FNukyhHq8%3D,2023-02-03,2023-02-08,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,13.3K,1532,589,2023-01-30,307.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675854000&x-signature=4tqpuCdnJ0%2B3z7iI2DBB2T2%2BZ4s%3D,Macam kena baju dengan berita.. 😅 #fyp  #fypシ  #fyppppppppppppppppppppppp  #fyppppppppppppppppppppppp  #tiktokmalaysia  
