comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
tetap semangat memperjuang pengeluaran KWSP bersasar kali ini...smoga lulus.aamin ya Allah ya mujib,@faizastarla,faizastarla ,479,0,2d ago ,2023-01-28,29K,1243,2799
"30K one off please...bukan tak fikir hari tua, tapi takut tak sempat tua hari² stress fikir komitmen..",@mamacats94,Mamameow8300 ,1568,0,2d ago ,2023-01-28,29K,1243,2799
30k one off plsss sejak kena anxiety nie byk pakai duit berubat,@lynzat,Lynzat-03 ,88,0,2d ago ,2023-01-28,29K,1243,2799
Kalau bg pilihan mgkin ramai yg tutup trus akaun kwsp sbb ssh nya la nk mintak kluarkan.. tutup akaun simpan ja ke akaun lain🤭🤭,@norhashimah_mohdarsad,Norhashimah Mohd Arsad ,289,0,2d ago ,2023-01-28,29K,1243,2799
jangan penat kita mesti suarakan hak kita. duit kita . pejuang2 KWSP tak pernah penat suarakan untuk kita🥰🥰🥰,@tiga_permataku,tiga_permataku ,233,0,2d ago ,2023-01-28,29K,1243,2799
Harap lulus lah.. pning pkir komitmen.. kilang aku kje skrg mkan basic ot ta ad.😭😭,@nrhdyh_970,Dayah_Ahmad ,336,0,2d ago ,2023-01-28,29K,1243,2799
esok tau ii jumpa mayat je..ramai yg surender sbb hutang bnyakkk...,@missshimachomot,missshima415 ,5,0,1d ago ,2023-01-28,29K,1243,2799
x mau hidup dalam hutang...selesaikan saki baki yg sikit2 tu...semoga pengeluaran ni berjaya ..#kwspbersasar,@iena_noly91,iena_noly ,112,0,2d ago ,2023-01-28,29K,1243,2799
Harap lulus lah....biar hbiss utang yg mendesak ni,@user2491740012047,Julia Pane ,35,0,1d ago ,2023-01-28,29K,1243,2799
y xnk kuarkan duk diam2..mmber 1 pjbt shari sblom ckup umur 55 mnnggal..xsmpat nk mrasa..masa ad pluang kena ambik ksmpatan,@aelias617,AeliaS💛 ,100,0,2d ago ,2023-01-28,29K,1243,2799
penat dah tnggu😏,@master_lanz85,@Mr Lanz85 ,104,0,2d ago ,2023-01-28,29K,1243,2799
30K one off,@shukor00,user5589072996198 ,70,0,2d ago ,2023-01-28,29K,1243,2799
🥰,@ain_shope97,ain shope97 ,0,0,12m ago ,2023-01-28,29K,1243,2799
"combine gaji 6k dgn opr naik pn xcukup, yg sorg kerja tu cmne lah ya Allah permudahkan urusan mereka. tp kalini xnk kuakan dh",@nurazureenaziz,nurazureenaziz ,0,0,1h ago ,2023-01-28,29K,1243,2799
Betul ka?,@siti.anizah,Anizah | TT Shop Sini 🎊 ,0,0,2h ago ,2023-01-28,29K,1243,2799
camna nk apply 😭.,@nana.whd,hi! naa 🦋 ,0,0,3h ago ,2023-01-28,29K,1243,2799
itu duit kita yg dipotong tiap2 bulan ..bagi jelahhhhhh........ duit org bgi aaaaaaaaaa,@ieyffahaishah_winnie,Nia IeyffaIshah ,0,0,8h ago ,2023-01-28,29K,1243,2799
Arwah mak dlu nk tunaikan haji pakai dwet kwsp ye ..xsempat..🥺🥺..alfatihah utk arwah mak saya,@mentarijingga21,Kak ann shop ,1,0,11h ago ,2023-01-28,29K,1243,2799
semoga di permudahkan segala urusan,@izal_usop,izal_usop ,0,0,15h ago ,2023-01-28,29K,1243,2799
Amin…smoga d permuddhakaan,@riniz2011,Rini Damsir ,0,0,18h ago ,2023-01-28,29K,1243,2799
30k off..aku sakit jantung...mungkin radang sbb vaksin covid,@kamalmelaka,A ,0,0,21h ago ,2023-01-28,29K,1243,2799
😳,@nraliasha,Saya ia ,0,0,21h ago ,2023-01-28,29K,1243,2799
10k pun ok suda 😌,@yayapisces7,yaya.piscess ,2,0,22h ago ,2023-01-28,29K,1243,2799
Ksi meletopppp,@user2132605026103,user2132605026103 ,0,0,22h ago ,2023-01-28,29K,1243,2799
🥰🥰🥰,@mika.mie,@mika.mie ,0,0,23h ago ,2023-01-28,29K,1243,2799
Keluarkan habis sahaja yg mana nak keluarkan. Lepas tu sain borang tak berhak terima bantuan kerajaan setelah tua 🤣,@levahotto,🍄 ,0,0,1d ago ,2023-01-28,29K,1243,2799
@WAKIL RAKYAT NETIZEN OFFICIALL betul ke ni bang?,@ceoofjawa,ℭ𝔢𝔬 𝔒𝔣 𝔍𝔞𝔴𝔞🇲🇾 ,0,0,1d ago ,2023-01-28,29K,1243,2799
Alhamdulillah klau ya.,@norra_ailin_shop,NORRAAELYENSHOP ,0,0,1d ago ,2023-01-28,29K,1243,2799
30k pls,@wannn0303,WAN FPL SHOP ,0,0,1d ago ,2023-01-28,29K,1243,2799
KWSP ni untuk peringkat ap ja,@iqaayang_2,Gadissikaaa_ ,0,0,1d ago ,2023-01-28,29K,1243,2799
betul ka??????,@nothingbettertodo888,NothingBetterToDo888 ,0,0,1d ago ,2023-01-28,29K,1243,2799
🥰,@aishaaliffbaby,i k a ,0,0,1d ago ,2023-01-28,29K,1243,2799
"sebelum ni sy x mengharap pengeluaran kwsp.. tp keadaan hutang mendesak, sy bharap sangat 🥺🥺",@mamyuwais19,Augmentin625 ,1,0,1d ago ,2023-01-28,29K,1243,2799
btl nih..alhamdulillah,@zelly_kecix77,سايڠ کامو 🤍 ,1,0,1d ago ,2023-01-28,29K,1243,2799
30k,@kakipancing83,bujang senang ,1,0,1d ago ,2023-01-28,29K,1243,2799
semoga semuanya boleh keluarkan yaaaa... wlpn aku xda dlm kwsp... aku sokong ampa,@emmazikry4,emmazikry4 ,4,0,1d ago ,2023-01-28,29K,1243,2799
@On1yMM btl ke x😂,@ezzad_aidil,Ezzad~Aidil👨🏻‍🎓 ,0,0,1d ago ,2023-01-28,29K,1243,2799
"Kalau dah boleh keluar, boleh tag ya🥺",@ajamdowski,Azam je ,3,0,1d ago ,2023-01-28,29K,1243,2799
@faezah0334 betul ke ?,@n.njwaaa___,n.njwaaa___ ,0,0,1d ago ,2023-01-28,29K,1243,2799
@alyaa2812 betul ke 🥺,@frdsfqh0708,NS Collection👩🏻 ,0,0,1d ago ,2023-01-28,29K,1243,2799
desakkkk,@daeng_mama,Daeng Shah ,0,0,1d ago ,2023-01-28,29K,1243,2799
Cmne nk dftar?,@onyiomot258,𝒩𝒾𝒸𝒶𝒶𝒶🦋 ,0,0,1d ago ,2023-01-28,29K,1243,2799
"Btl ke ni, dpt kuar 20k pun jadi la",@sasaresources,Puspa ,0,0,1d ago ,2023-01-28,29K,1243,2799
surirumah yg dh lama tk mencarum dn berumur 55thn kebwh bg keluar semua senang nk buat modal berniaga.,@juramli,juramli ,0,0,1d ago ,2023-01-28,29K,1243,2799
Aaminn🤲🤲 Semoga dipermudahkan urusan kali ni.. semoga dapat kelulusan keluar KWSP kali ni🤲,@cikayu85,Cik Ayu♥️ ,0,0,1d ago ,2023-01-28,29K,1243,2799
