comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
tq to inform aiya,@dhanamagen,Dhana Magen ,0,0,4h ago ,2023-01-28,13.7K,136,1410
luluskan kwsp,@zairunosman,Zairun Osman ,0,0,4h ago ,2023-01-28,13.7K,136,1410
Masih lambat buat keputusan pm kita ni aduh hai🙄,@vijayanvj85,Vijayan Vj633 ,0,0,5h ago ,2023-01-28,13.7K,136,1410
belum lagi,@haniff_azie,AྂLྂOྂNྂGྂ꧁꧂AྂZྂIྂEྂ ,0,0,8h ago ,2023-01-28,13.7K,136,1410
Anne....for settle ptptn loan mean kwsp boleh keluar keh?,@sabinahftkali_,❦COUPLE GAMER㋡✔ ,0,0,9h ago ,2023-01-28,13.7K,136,1410
tq for info,@gayatriperumal,gayatriperumal ,0,0,10h ago ,2023-01-28,13.7K,136,1410
"sampai bila nak di pertimbang kan, diam dlm pertimbangan,",@azizannuri,perkasa ,0,0,10h ago ,2023-01-28,13.7K,136,1410
luluskan la KWSP,@zaleha275,zaleha275 ,0,0,11h ago ,2023-01-28,13.7K,136,1410
lulus kwsp nak beli putumayamm... dap oo,@ayienorman,Ayie Norman ,0,0,11h ago ,2023-01-28,13.7K,136,1410
#kwspbersasar#kwsp4all,@muhammadnaim8489,Naim8489 ,0,0,11h ago ,2023-01-28,13.7K,136,1410
tolong luluskan kwsp,@jitk72,jeet ,0,0,12h ago ,2023-01-28,13.7K,136,1410
umur 50 boleh ke apply acc 1 bos,@73starmaker,Raja Raja ,0,0,12h ago ,2023-01-28,13.7K,136,1410
tq brother 🙏🙏,@gesaimam,GE Saimon 😎😎😎😎😎 ,1,0,13h ago ,2023-01-28,13.7K,136,1410
😂😂😂😂😂,@zakiyahisa,zakiyahisa ,0,0,13h ago ,2023-01-28,13.7K,136,1410
klu baki rm6k blh kuar ke,@rasa.mah,ani ,0,0,13h ago ,2023-01-28,13.7K,136,1410
"Sir, 45thm blh keluar pls",@user3242264601050,user3242264601050malar ,0,0,14h ago ,2023-01-28,13.7K,136,1410
lagi 5 tahun kerajaan akan pertimbangkan....PH akan bagi Planta kepada rakyat,@surya24781,Surya ,0,0,16h ago ,2023-01-28,13.7K,136,1410
tolong lulus kwsp pls 🙏🏽,@vani56243,vani ,0,0,19h ago ,2023-01-28,13.7K,136,1410
tq brother,@malliga2302,user3230838582335 ,0,0,20h ago ,2023-01-28,13.7K,136,1410
bang.. sy faham pertimbangkan je😭,@_bat_riz_,Batriz🌿 ,0,0,20h ago ,2023-01-28,13.7K,136,1410
tq Anne.,@s.ranitha8,userRamitha🇲🇾 ,0,0,22h ago ,2023-01-28,13.7K,136,1410
sy xfhm tp bt2 fhm😅,@salihinbasir,SALIHINBASIR ,3,0,23h ago ,2023-01-28,13.7K,136,1410
"Brother byk org luar Sana,pergi pinjam dgn ahlong...sbb mereka nak settle problem mereka,loan rumah,loan kereta...bill lampu & air 😓",@apnk2496,Parmilah Milah757 ,2,0,23h ago ,2023-01-28,13.7K,136,1410
terjemah bang,@haniff_azie,AྂLྂOྂNྂGྂ꧁꧂AྂZྂIྂEྂ ,0,0,8h ago ,2023-01-28,13.7K,136,1410
"bro vanakkam
kalu ada hutang boleh keluar kwsp boleh ke
tolong bgi tahu TQ",@sivamani497,Siva Mani3925 ,2,0,1d ago ,2023-01-28,13.7K,136,1410
tq,@jrevathy,Revathy Subramaniam ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Anna kalau renovation blh keluar akaun 1 tak,@yugeshwarikanmani,Yugeshwari Kanmani ,2,0,1d ago ,2023-01-28,13.7K,136,1410
kwsp 2.0 50K oneoff,@atprakashmalaiyaman,AT Prakashmalaiyaman ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Ckp tamil😇😇😇,@anoi__,hi you ,2,0,1d ago ,2023-01-28,13.7K,136,1410
😂😂😂😂,@banras2022,Ban'rass ,0,0,1d ago ,2023-01-28,13.7K,136,1410
😳,@shamlazim205199,shah@surul ,0,0,1d ago ,2023-01-28,13.7K,136,1410
tq brother,@punithapuni4486,punithapuni4486 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
house renovations can withdraw 🥴,@valli1272,valli1272 ,1,0,1d ago ,2023-01-28,13.7K,136,1410
🤲🤲🤲🤲,@360kathie360,kathir360🇬🇭 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
tq 🙏🙏🙏,@sisubalansisubal4,sisuagnesagnessisu ,0,0,1d ago ,2023-01-28,13.7K,136,1410
tqqqqq anna,@thanabalan722,Thana AKP ,0,0,1d ago ,2023-01-28,13.7K,136,1410
46 blh ke,@nizamdaniel,NizamDaniell ,1,0,1d ago ,2023-01-28,13.7K,136,1410
tq ane,@thangaiyaperiasamy,Thangaiya Periasamy ,0,0,1d ago ,2023-01-28,13.7K,136,1410
if house not in our name can we withdraw it for renovations,@shadsugarhandsome22,shadow 🐕 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
thanks for good information,@davidleesabahboy,David Lee5910 ,1,0,1d ago ,2023-01-28,13.7K,136,1410
thank you..,@jeyanti8,user1827621095704 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Thanks bro...,@sakhtishivam,Steven ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Bro house renovation ku epdi epf apply panrathu???,@harii_harann,Harenn ,0,0,1d ago ,2023-01-28,13.7K,136,1410
🥰🥰🥰🥰,@majekmajek592,majekmajek592 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
hw bout suri rumah brother,@ruddrasai,Sharmila Ruddra sai ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Tq brother,@mohamadibrahim6712,Mohamad Ibrahim6717 ,1,0,1d ago ,2023-01-28,13.7K,136,1410
thank you bro,@magenayya,😎𝙈𝘼𝙂𝙀𝙉😎🤏𝘼𝙔𝙔𝘼😎 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
32thn boleh keluar ke?,@kannama90,😗💝KANNAMA💝😗 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
🥰🥰🥰🥰,@umakalima1,user2128599929345 ,1,0,1d ago ,2023-01-28,13.7K,136,1410
Tq bro for the info,@dev190893,Deva ,1,0,1d ago ,2023-01-28,13.7K,136,1410
tq brother 🥰,@shankar9452,tik tok🦖🔥 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Brother... For business development can ah??,@vishnusk1304,VishnuSK ,1,0,1d ago ,2023-01-28,13.7K,136,1410
👍👍👍,@rani55371,rani55371 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
buat masa ini skim pengeluaran KWSP yg berumur 50- 60 thn sj boleh,@arasi9206,❤️♥️🎼Arasi9206💋🎶❤️ ,0,0,1d ago ,2023-01-28,13.7K,136,1410
bro age 40. 50% kluar tlg suara,@shhan9510,user9590357977654 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
ok Anna,@puvaneswary85,puvaneswary❣️ ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Okay brother,@user1858094553275,Kavitha ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Anne explain about house renovations withdrawal,@miila_2605,Mila_26 ,1,0,1d ago ,2023-01-28,13.7K,136,1410
thank you bro,@10nes_77,10nesh ,0,0,1d ago ,2023-01-28,13.7K,136,1410
🥰🥰🥰,@sakthiindira4,Sakthi ,0,0,1d ago ,2023-01-28,13.7K,136,1410
tq for your information hope the government going help we all,@mahco240879,alibhai ,3,0,1d ago ,2023-01-28,13.7K,136,1410
thanks for information brother 🙏🏻🙏🏻,@user8792456094137,sakthi ,1,0,1d ago ,2023-01-28,13.7K,136,1410
how to apply for study...pls explain.me,@athysakthy,athysakthy ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Ann way 52 cannot,@mala11118,user6867397727748 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
brother if I want the account 1 can ah for housing because my account 2 less money only account 1 I have,@user1904102073019,user1904102073019 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
