comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
tolong luluskan duit KWSP kami memang memerlukan sebab hutang perlu di bayar 🙏🙏🙏,@vijayakalidas,VIJAYAKALIDAS ,114,0,2d ago ,2023-01-28,4361,315,191
cukup kh tidak kh.itu hak kmi.,@andizanandris,andizanandris ,28,0,2d ago ,2023-01-28,4361,315,191
semoga dipermudahkan segala urusan dan dimurahkan rezeki serta dipanjangkan umur Aammiinn ya Allah,@banras2022,Ban'rass ,15,0,2d ago ,2023-01-28,4361,315,191
Luluskan pengeluaran kwsp yg sdh lama tdk mencarum utk meneruskan kelangsungan hdup skrg,@zueradlovergitew,ZueraD'lover❤️ ,41,0,2d ago ,2023-01-28,4361,315,191
sokong lagi PH,@namakuzaidie,Video savageML ,0,0,1h ago ,2023-01-28,4361,315,191
semoga diluluskan dan dipermudahkan..,@mardziahmardziah,@mar75marziah ,0,0,1h ago ,2023-01-28,4361,315,191
Dapt duit kwsp aku terus nk beli nvx v2😋,@q44yum,Che.qayyum daniel ,0,0,7h ago ,2023-01-28,4361,315,191
"Salam saya nak tanya,untuk keluarkan kwsp wajib ada 10k dalam acc ke?",@thesmurf_1,Anonymous ,0,0,8h ago ,2023-01-28,4361,315,191
"kami hidup ibarat di hujun tanduk,,kami memerlukan skrg demi kelangsungan hidup....",@mrseja85,Mrs Eja Yusof ,1,0,8h ago ,2023-01-28,4361,315,191
ada 8 k nie aku nk keluarkn semua gak hutang bnyk,@ali3f_,Kodok Hijau🐸 ,0,0,10h ago ,2023-01-28,4361,315,191
Tlg luluskan😉👍,@kakrose58,Kak Rose 🌹 ,0,0,13h ago ,2023-01-28,4361,315,191
klu dlm akaun tu ada lebih 30ok tak kan tak blh keluar..kos sara hidup makin tinggi....anak2 belajar lagi,@wifeaerul,wifeabglori ,1,0,22h ago ,2023-01-28,4361,315,191
mcm mn pohon,@solihin980216,solihinazman ,1,0,1d ago ,2023-01-28,4361,315,191
#kwsp bersasar,@shahcah93,shah#93# ,0,0,1d ago ,2023-01-28,4361,315,191
"Ya Allah permudahkan lah urusan kami.. sangat2 terdesak sangat ni.. kos hidup tinggi sangat..tak pnh xde lauk nk mkn, tiba hari ni suami dah xde duit",@dyhsfq8313,nrhdyh ,2,0,1d ago ,2023-01-28,4361,315,191
semoga segala urusan dipermudakan.,@d.shenitha_ta,D.Shenitha_TA ,0,0,1d ago ,2023-01-28,4361,315,191
semoga d permudahkan sgla urusan.. .. Hadir saport.....,@mohdhazlim213,md_hazlan ,0,0,1d ago ,2023-01-28,4361,315,191
walaupon saya juga memerlukan.,@julianahatta,julianahatta ,0,0,1d ago ,2023-01-28,4361,315,191
ini kalau lulus setel bos segala hutang sy....dah boleh senyum lepas tu,@sekadarpenonton,Sekadar Penonton ,1,0,1d ago ,2023-01-28,4361,315,191
tlng luluskn,@sairahbanu4,sairah ,0,0,1d ago ,2023-01-28,4361,315,191
"rakyat..keluar kan kwsp last plss...
akan dtg..last.. minta lagi last... last - last bil sakit tua d hospital./baki 70 rggt..",@atlisue,atlisue ,1,0,1d ago ,2023-01-28,4361,315,191
smoga dpmudahkan. sgt memerlukan skrg ni.,@stacyclare8687,stacyclare827 ,0,0,1d ago ,2023-01-28,4361,315,191
"🤲🏻Smoga derpermudhkn sgla urusan buat kami pencarum ni, kami sgt2 memerlukn",@flowerrosee2,flowerrosee2 ,1,0,1d ago ,2023-01-28,4361,315,191
"TK kira la tinggal berapa duit dlm akaun 1 atau 2 asalkan ada sekurang""nya dpt meringankan beban kami ...🙏🙏🥺",@pemburu_impian8296,Davidchai8296 ,1,0,1d ago ,2023-01-28,4361,315,191
tlng luluskn kwsp nk bayar hutang,@user73628399368171,user73628399368171 ,1,0,1d ago ,2023-01-28,4361,315,191
itu duit kita bkn kerajan pnya,@larrywatielarrywa0,larry ,1,0,1d ago ,2023-01-28,4361,315,191
harap lulus lah kwsp...nk bt byar bil api air...srt api dah sampai nk potong ni..,@zainora00,zainora00 ,0,0,1d ago ,2023-01-28,4361,315,191
semoga Allah mempermudahkan segala urusan kelulusan kwsp ni...🤲,@iwanera89,e-one ,1,0,1d ago ,2023-01-28,4361,315,191
kt 30 k x de hal...cukup,@user5338434612575,user5338434612575matjenin74 ,0,0,1d ago ,2023-01-28,4361,315,191
ya betul.tu,@norhisamnor,norhisamnor ,0,0,1d ago ,2023-01-28,4361,315,191
semoga ada sinar baru kwsp2.0..aminnnn..,@cikpnsina,🥰CikPnSina🥰 ,0,0,1d ago ,2023-01-28,4361,315,191
#kwsp 50k tanpa syarat,@uyaulip,PHILIP L. ,1,0,1d ago ,2023-01-28,4361,315,191
semoga dipermudhkn sgala urusan kita nnti Aamiinn,@zakiyahisa,zakiyahisa ,0,0,1d ago ,2023-01-28,4361,315,191
semoga dipermudahkn segalanye,@jieee15,Kak jie ,0,0,1d ago ,2023-01-28,4361,315,191
kekadang yg mkn rasuah banyak2 tu memerlukan duit juge kami ni rakyat b40 ni pon lagi sempit hidup wehh,@ruhaizat91,Rohaizad Ghazali ,0,0,1d ago ,2023-01-28,4361,315,191
dah bole keluar ker,@mdbi_,MDBI_ ,0,0,1d ago ,2023-01-28,4361,315,191
inshaallah lebih dari cukup,@sitisiti9117,Siti Siti9117 ,0,0,1d ago ,2023-01-28,4361,315,191
bang non x bagi sbb yg sain petisyen kebanyakan bwh 10k.yg beratus tu x sign sbb x berani tekan link.termsuk saya.,@julianahatta,julianahatta ,0,0,1d ago ,2023-01-28,4361,315,191
Permudahkanlah.....jangan persulitkan lagi keadaan kami ini#kwspbersasar,@fazzyie,fazzyie79 ,0,0,1d ago ,2023-01-28,4361,315,191
"Luluskanlah cpt,fikiran da buntu ank NK sekolah,utg tertunggak..semoga Allah mudahkan urusan Kita semuanya🤲 #kwspbersasar",@alyacute81,@mamalya_81🌹 ,1,0,1d ago ,2023-01-28,4361,315,191
@istananegaraofficial @anwaribrahimofficial luluskan kwsp,@lehselamanya,Leh ,0,0,1d ago ,2023-01-28,4361,315,191
anaur dulu lantang bersuara semasa jadi pembangkang.kini setelah jadi kerajaan senyap seperti tinggal dalam gua.,@kokopahit1,koko pahit ,0,0,1d ago ,2023-01-28,4361,315,191
10k to 30k oneoff,@faezal30,pejal76 ,0,0,1d ago ,2023-01-28,4361,315,191
mahu ke dia keluarkan 10k🤭,@shukrishukri6406,Shukri Shukri6406 ,0,0,1d ago ,2023-01-28,4361,315,191
letakbjawatan,@eimanamaniqhalish,eimanamaniqhalish ,0,0,1d ago ,2023-01-28,4361,315,191
anwar dulu lantang desak keluarkan kwsp sekarang da jadi kerajaan terus membisu...hari berganti hari bulan berganti bulan...,@reezsym,reezsym ,1,0,1d ago ,2023-01-28,4361,315,191
btl ka in,@larrywatielarrywa0,larry ,0,0,1d ago ,2023-01-28,4361,315,191
30k one off,@ducthkin,zam zegon ,1,0,1d ago ,2023-01-28,4361,315,191
susah ye anuar nk dgr rintihan rakyat,@ahmadnorirfan6115237,Ahmad Nor545 ,1,0,1d ago ,2023-01-28,4361,315,191
