comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
lepas nie kalau KWSP dapat keluar Alhamdulillah..Setel utng2 Sye..dan Sya xnk utng lg..pas nie..seksa hidup bnyk utng,@azuradayat,azuradayat😘 ,406,0,1-5,2023-01-28,19.6K,1122,3710
bg je lulus... byk benda nk dibyr... org yg berduit mmg x rs.. tp kmi yg bwhn ni... 😢😢😢,@puan_kuntum85,puan_kuntum85 ,505,0,1-5,2023-01-28,19.6K,1122,3710
Mohon segera diluluskan kwsp bersasar 2.0 ini 🥺,@izanbl82,IzanBLskincare ,129,0,1-5,2023-01-28,19.6K,1122,3710
"..kalau ada rzk dpt ja duit ini #kwspbersasar2.0 mula2 skli saya akan byr htg2 bank tertunggak, byr sewa rumah tertunggak, byr htg2 saudara mara kwn2😭😭nak tebus brg2 kemas isteri dll urusan klga yg penting, tkda nya saya nk sia2kan atau bazirkanya😭😭🙋‍♂PM10.. 🤲🤲",@paktamzizan53,Azizan ,219,0,1-5,2023-01-28,19.6K,1122,3710
klau xnk bg tlg turunkn sume harga...ni mknan kt kantin skolah pun dah mahal....sian ank²🥺,@faezahaisymia1,Bunga87 ,91,0,1-5,2023-01-28,19.6K,1122,3710
Harap2 di permudahkn la🥺 bnyk benda nk clear ne 50 k pun jd la,@ambuyat_38,🐛CEO OF CONTENT 🦎 ,21,0,1-6,2023-01-28,19.6K,1122,3710
# kwspbersasar semoga dipermudahkan....Aamiin...#pm10..kami memerlukan....,@ahlynpinky,ahlynpinky ,22,0,1-5,2023-01-28,19.6K,1122,3710
insyaallah akan lulus...bila totally lockdown 😂😂😂,@kenjimatsuto,kenjimatsuto ,22,0,1-5,2023-01-28,19.6K,1122,3710
PM10 tolonglah kami rakyat malaysia luluskanlah kwsp kami...🙏🙏🙏🙏🙏💯💯💯,@tink70083,sulu ku❤️ ,0,0,10h ago ,2023-01-28,19.6K,1122,3710
"Nak bayar home loan, TNB ngan maintenance umah. Tiga benda ni je murung kehidupan dibuatnya. Kalau lulus, bernafas kembali. InsyaAllah",@tenangsudah,apip ,0,0,1d ago ,2023-01-28,19.6K,1122,3710
Rawatan mak sy tertangguh sbb sy xda duit yg cukup utk byr kos rawatan mak sy.. @Anuar Ibrahim PM10 tolonglah luluskan kwsp bersasar. Sy merayu 🙏🏻,@tuceh2320,Tuya Ceceh ,1,0,1d ago ,2023-01-28,19.6K,1122,3710
Alhamdulillah,@rajabersiong5,raja bersiong ☠ ,0,0,1d ago ,2023-01-28,19.6K,1122,3710
mohon segera di lulus kn kwsp,@cahayakasih8958,cahayakasih8958 ,0,0,1d ago ,2023-01-28,19.6K,1122,3710
kwsp ada duit kah atau 🥺🥺🥺,@balasubramaniamba8,Bala68 ,0,0,2d ago ,2023-01-28,19.6K,1122,3710
Mudahan2 dapat,@mitzchee88chee,Mitz chee ,0,0,2d ago ,2023-01-28,19.6K,1122,3710
"Bantuan BKM memang bagus untuk bumiputra but myPR tak dapat BKM, MyPR cuma harapkan KWSP 😞",@mj1st_,MJ1ST ,1,0,2d ago ,2023-01-28,19.6K,1122,3710
"Bila nak keluar kwsp, nak banyak bayar hutang tolong tolong tolong anak sekolah lagi🥺🥺🥺",@ahim8709,Rahim 87 ,1,0,2d ago ,2023-01-28,19.6K,1122,3710
@_akramafiq tak caya ?,@muhdsafi07,𝖒𝖚𝖍𝖉𝖘𝖆𝖋𝖎 🌹 ,0,0,2d ago ,2023-01-28,19.6K,1122,3710
buat kerha x clean .. yg tu 2022 punya😅,@siskacak91,Kacak ,0,0,3d ago ,2023-01-28,19.6K,1122,3710
bila la,@user797589464,KHAIRUL NIZAM ,0,0,3d ago ,2023-01-28,19.6K,1122,3710
hanya kwsp jln trbaik untuk bayar hutang² sya..nk hrp bantuan krajaan mna cukup..sy perlukn 30k..untuk byr sgla tungakan hutang,@tanakkampunganboby2k,kalaBatU ,0,0,4d ago ,2023-01-28,19.6K,1122,3710
💪💪💪,@poseidon6837,Poseidon ,0,0,5d ago ,2023-01-28,19.6K,1122,3710
mudah2an dapt la membantu rakyat yg dlm kesusahan.,@syeeyka_00,syeeyka_00 ,2,0,5d ago ,2023-01-28,19.6K,1122,3710
