comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
allah di hari jumaat yang mulia ini lembutkan la haty pmx ... meluluskan wang kwsp atau mengeluarkan terus pada yg tidk lg mencarum terime kasih,@khaizura360,kerol ,79,0,1d ago ,2023-01-28,5356,288,355
tolong luluskan KWSP 2.0 10k-30k,@shangkarpanja,Panja Shangkar ,58,0,1d ago ,2023-01-28,5356,288,355
tolonglah jayakan RM30k-RM50k on off,@peaceseeker1973,Peaceseeker ,37,0,1d ago ,2023-01-28,5356,288,355
semofa allah permudah kan,@rohanarahman498rohana,Rohana Rahman498 ,0,0,3h ago ,2023-01-28,5356,288,355
mmg dia xkn dgr punya,@geeomar0,🇲🇾🇲🇾🇲🇾🇵🇸🇵🇸🇵🇸 ,0,0,3h ago ,2023-01-28,5356,288,355
"mcm2 suda di buat tapi buat2 tdk dgr sj 😅malar cipta perkataan baru sj,rahmah la,madini la😏",@aisy_dd,Aisy dm ,0,0,7h ago ,2023-01-28,5356,288,355
tlng luluskn kwsp bersasar,@user73628399368171,user73628399368171 ,0,0,7h ago ,2023-01-28,5356,288,355
semoga ada rezki kita semua🌹♥️🥰,@sis_julie80,Sis julie🌹 ,0,0,7h ago ,2023-01-28,5356,288,355
tlng luluskn,@sairahbanu4,sairah ,0,0,8h ago ,2023-01-28,5356,288,355
"Nampaknye memang x ade harapan, harapan tinggal harapan.",@justinjoe169,Justin joe ,1,0,8h ago ,2023-01-28,5356,288,355
support,@saraswathyraman60,ramsaras69 ,0,0,9h ago ,2023-01-28,5356,288,355
#kwspbersasar,@bahario88,jacksparrow ,0,0,9h ago ,2023-01-28,5356,288,355
link tu kt mna???,@hanim118,hanim118 ,0,0,10h ago ,2023-01-28,5356,288,355
"tolongla kami yg susah ni.
tolongla kami nak duit untuk hutang2 yg tertunggak",@jitk72,jeet ,0,0,11h ago ,2023-01-28,5356,288,355
bgi lulus semua x kira bawah 10k bnyak hutang nak kena selesai kan,@sushellshellsushe,harrypoter ,1,0,11h ago ,2023-01-28,5356,288,355
Semoga dipermudah segala urusan kwsp aamin,@user459764533,Tik Toker ,0,0,11h ago ,2023-01-28,5356,288,355
kita tggu selepas dividen kwsp dpt..tgk mcm mana klu krajaan ketegaq jugak xtahu nk cakap lah..,@ariffshah33,Aff shah♥️ ,0,0,12h ago ,2023-01-28,5356,288,355
nk tnya petision tu yg first name tu nama kita kn tp yg last name tu nama sape,@user9915654287028,kak tie73 ,0,0,13h ago ,2023-01-28,5356,288,355
hadir support,@joezinan,joezinan ,0,0,13h ago ,2023-01-28,5356,288,355
"semoga dipermudahkan segalanya...harap PM prihatin akn kesusahan kami semua...Aamiin
#kwspbersasar",@hana_azlan84,hana_azlan84 ,1,0,14h ago ,2023-01-28,5356,288,355
semoga KWSP diluluskan,@94farhana0,harith15 ,0,0,17h ago ,2023-01-28,5356,288,355
mejoriti pencarum KWSP MMG nk kuarkn duit mereka sbb mereka memerlukan ...,@asfida157,asfida157 ,0,0,19h ago ,2023-01-28,5356,288,355
😂😂😂😂,@rosmawatiharunsitihawa,RosmawatiSitihawaHarun ,0,0,19h ago ,2023-01-28,5356,288,355
hadir ✅😎,@rahmanjaafar3,rahmanjaafar 3 ,0,0,20h ago ,2023-01-28,5356,288,355
dah putus harap🥺🥺,@adyrra20,shuD ,0,0,20h ago ,2023-01-28,5356,288,355
