comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
HATI-HATI kerajaan belum umum lg pengeluaran KWSP,@rashidbakar0,rashidbakar0 ,17,0,1-11,2023-01-28,9315,346,4131
"hati2 para pencarum,skrang banyk scameer apa pun kita tunggu perkembangan tuan azmie...",@user8481896250792,h@mb@ allah ,337,0,1-10,2023-01-28,9315,346,4131
harap sgt..LULUS ACC 1 (50%)..atu 50k(BERSASAR) sblm bln 2 ni..slps tu mencarum semula..,@user22jbp4x9h9,ben ,58,0,1-10,2023-01-28,9315,346,4131
"poda dei..... jgn main perasaan rakyat nii srkg....
semua under tekanan money problem...... podaa",@1983kalaialvin,Kalaialvin Alvin Mur ,116,0,1-10,2023-01-28,9315,346,4131
betul. tv x umum. dptkan dr yg sahih. hati2 semua ya.,@shasha_3021roblox,. ,51,0,1-10,2023-01-28,9315,346,4131
Sanggup mainkn pejuang kwsp nk betul2 keluar,@seindahrupa,milotabor ,1,0,1d ago ,2023-01-28,9315,346,4131
Da boleh mohon ke,@naaleeya__,Naaleeya ,0,0,2d ago ,2023-01-28,9315,346,4131
yg boleh di keluarkan tu dah semua yg tau.tp jawtan tertinggi je yg di potong gaji sepatut nye semua pekerja di potong stegah bulan gaji,@rahimyana,Rahim botak ,1,0,3d ago ,2023-01-28,9315,346,4131
mcm mana nak mohon,@m.syahhhhh,S📌 ,1,0,5d ago ,2023-01-28,9315,346,4131
Pmx kita dah umum lulus ke pengeluaran ni😳 sorry gais tertinggal bas,@sterengbulat,Muhamad Khalil ,2,0,6d ago ,2023-01-28,9315,346,4131
@saje sembang ada kan benar???,@ownsky3,𝐍𝐚𝐳𝐫𝐮𝐥 𝐎𝐰𝐧𝐂𝐨 ,0,0,6d ago ,2023-01-28,9315,346,4131
PM luluskan pengeluaran kwsp kami yg amat2 memerlukan utk kelangsungan hidup sbb tekanan ekonomi yg tak menentu kini,@mohdsabri4277,Mohd sabri4277 ,1,0,1-20,2023-01-28,9315,346,4131
😁 semoga dipermudahkan jer,@duitdigitalmlm,Duit Digital ,0,0,1-17,2023-01-28,9315,346,4131
🤝🤝🤝🤝🤝🤝🤝,@syarinsyarin84,syarinsyarin84 ,1,0,1-14,2023-01-28,9315,346,4131
jangan lah main kan perasaan orang😌penat lah gini,@hellogeng35,L1feofAP ,1,0,1-14,2023-01-28,9315,346,4131
😏😏,@hapissyeppiss,Hapiss5222 ,0,0,1-14,2023-01-28,9315,346,4131
Jgn klik apa apa selagi pembentangan usul ini belum dibentangkn di Parlimen. Februari depan baru dibntngkan,@roseminawhite,RoseminaWhite ,4,0,1-13,2023-01-28,9315,346,4131
@NurAyu_ terai slidik betoi ka hahaha,@surizaa17_,Nur_Surizaa 🌸 ,0,0,1-12,2023-01-28,9315,346,4131
senang je nk cari duit..berita pun BLM BG thu lagi boleh kluar ke tidak...,@hazizi87kechik,hazizi87kechik ,0,0,1-12,2023-01-28,9315,346,4131
