tiktok_link,tiktok_description,tiktok_hashtag,Username,Views,posted_date,extracted_date
https://www.tiktok.com/@carianterbaru/video/7192807836102118682,maklumat terkini berkenaan pengeluaran KWSP 2.0 secara Bersasar #kwsp  #pengeluarankhas  #fyp  ,#kwsp #pengeluarankhas #fyp,carianterbaru,183.1K,2d ago ,2023-01-28
https://www.tiktok.com/@saje_sembang/video/7193172941562039554,Info semua perjuang KWSP 27 Januari 2023 #kwsp  #kwspbersasar  #soonkwspbersasar  #kwspforall  #kwsp50koneoff ,#kwsp #kwspbersasar #soonkwspbersasar #kwspforall #kwsp50koneoff,saje_sembang,87.1K,1d ago ,2023-01-28
https://www.tiktok.com/@alexandersajabahini/video/7193258265923292443,#kwsp  2.0 semoga terlaksana  #kerajaanperpaduan  #NGO  THANKS ALL SUPPORT #humor  = Hope u Mind Of Rational ,#kwsp #kerajaanperpaduan #NGO #humor,alexandersajabahini,118.4K,1d ago ,2023-01-28
https://www.tiktok.com/@03malaysia/video/7192637840268840219,terus mendesak guyss 30k one off..#foryoupage  #fypシ  #kwsp😆  #MALAYSIA🇲🇾  #semangatberjuang  ,#foryoupage #fyp #kwsp #MALAYSIA #semangatberjuang,03malaysia,752.3K,2d ago ,2023-01-28
https://www.tiktok.com/@_devofficial_/video/7193224609011961115,Replying to @deep💚💛   Pengeluaran KWSP✌️Insta : dev_kriahna.a #shouldbeme  #foryoupage  #fypシ  #Trending  #kerajaan  #kwsp  #epf  ,#shouldbeme #foryoupage #fyp #Trending #kerajaan #kwsp #epf,_devofficial_,224.7K,1d ago ,2023-01-28
https://www.tiktok.com/@hatikenakering88/video/7192417312031493402,Semua kita yg disuruh atur..bagus tdak payah datang sni kalau bgitu #kwsp  #viral  #fypdongggggggg  #jangankecam  #justcontent  #hatikenakering  #barihatkau  #fypシ  ,#kwsp #viral #fypdongggggggg #jangankecam #justcontent #hatikenakering #barihatkau #fyp,hatikenakering88,317.3K,3d ago ,2023-01-28
https://www.tiktok.com/@rendyfortandek/video/7184953523472321819,Link to bio #kerajaan  #bantuan  #kwspbersasar  #isinar  #2023  #bsh  ,#kerajaan #bantuan #kwspbersasar #isinar #2023 #bsh,rendyfortandek,703.3K,1-5,2023-01-28
https://www.tiktok.com/@triviamy.com/video/7186874504407174426,Ahamdulillah permohonan dah dibuka 😍 #fyp  #fypシ  #kwsp  #pengeluarankhas  #kwspbersasar  ,#fyp #fyp #kwsp #pengeluarankhas #kwspbersasar,triviamy.com,652.9K,1-10,2023-01-28
https://www.tiktok.com/@honnydevilbesideyou/video/7178830059413720347,#kwsp10k  #kwsp  #fypシ  #fyp  #viral  #HARAPAN  betul atau tidak,#kwsp10k #kwsp #fyp #fyp #viral #HARAPAN,honnydevilbesideyou,283.1K,2022-12-19,2023-01-28
https://www.tiktok.com/@izzatmhas/video/7179055069113978139,Duit kwsp #tipskewangan #kwsp #tiktokguru #hibahtakaful  ,#tipskewangan #kwsp #tiktokguru #hibahtakaful,izzatmhas,668.7K,2022-12-20,2023-01-28
