comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
"Alhamdulillah,setakat ni dh 15,000 kedai sudah mendaftarkan...lpas ni byk kedai akan jual menu rahmah ni...🥰
xperlu order nasi bujang lagi lepas ni😂",@hafiz_ap15,Mohd Hafiz ,204,9,1d ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
yg baik kita sokong.jujur krajaan skarang lebih cpt buat keja,@abeliee60,abeliee60 ,142,14,1d ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
Alhamdulillah.. semoga ramai lg perniaga yg boleh buat mcm ni... sesiapa yg bersedekah moga di balas di akhirat nt..🥰,@ladyanaqirana,Ladyana Qirana ❤️ ,20,1,1d ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
Mydin bijak ambil peluang bersama sama dgn kerajaan utk rakyat 👍🏼👍🏼☺️☺️,@fajieyana,Jieeeeeeeeee ✿ ,125,2,1d ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
"""dah 2 bulan, sampai skrg saya tak tau apa kabinet anwar ni buat. soh YDPA pecat Anwar- auncai berkata kata tanpa tau kuasa eksekutif😂",@amshare97,Am Share ,81,35,1d ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
basic menu.. lauk (ayam/ikan + sayur) serta air minuman botol dgn harga 4.90 bagi menu lunch/dinner ni kira mampu lah bg yg nk jimat.. Alhamdulillah,@gomoregi,KedeiiMeraki ,10,0,22h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
terbaik kerajaan skrg🥰🥰🥰,@tokmung00,tokmung ,48,0,1d ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
walaun PAS nk harga mahal 😁,@sasukey69,Irwan Mas 🍁 ,5,0,1d ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
saya yakin walaupon yg kita beli tkkn sama dgn lauk atas meja tu . tpi rm5 ckup utk menampung maknan seharian org yg susah,@ncem9,PehalKau ,14,0,19h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
semua kedai mamak ke,@_izm5,_iZ ,0,0,14m ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
Alhamdulillah 🥰🔥👍,@mohdredzuan1078,mohdredzuan1078 ,0,0,18m ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
😁😁😁,@nazrinmdflush,Nazrin ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
26 hari kerja x 5.00 = rm130. Alhamdulillah jimat belanja. .....,@akmalbern,Akmal Bern ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
"Alhamdulillah,bolehla anak2 student uitm seromban ke Mydin nnti",@bahagiadimanamana,TSDihati❤️ ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
terbaik Mydin mall 👍🏼,@zizie767,zizie767 ,1,0,4h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
"alhamdulillah, bertambah keyakinan berbelanja di mydin🥰",@aminfra.enterprise,Amin ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
🥰🥰🥰,@atyarasy,Aty Arasy ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
saya sebelum ni undi PN.. lepas ni focus undi PH.,@zkenods,Keno ,3,0,5h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
Menu Rahmah free air dato.....,@zudi87,PokAli ,2,0,5h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
Tahniah.Alhamdulillah.,@bingkasaweet,mdmjai ,1,0,5h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
comel je semua...🥰🥰😅,@aurora777s,Aurora777 ,1,0,5h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
mydin🥺🥺🥺,@mengintaidariruangkamar,mengintaiDariRuangKamar ,1,0,5h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
terus maju MYDIN 🥰,@qillasyuhadah,Qilla Syuhadah ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
Mydin terbaik. Kerajaan terbaik. Yg baik kita support. Usaha yg jrg2 berlaku cani.,@azamhere24,AzamHere. ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
lebih jimat beli queenstand penapis air cuckoo dengan saya 😊..cust nk air boleh ambil je,@fahmicuckoo,fahmiradzi ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
Terbaik 👍🏻 sepakat membawa berkat 🥰 sama2 berganding bahu utk bantu rakyat terbanyak !,@jannajane2021,Janna Jane212 ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
ALHAMDULILLAH,@xxhazwanxx,ꫝꪖƺ᭙ꪖꪀ ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
Terbaik. Sangat efficient,@adri4n_lim,SpongeBob ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
patutnya dgn air sekali baru rasa murah.kalau dgn air dh 6+,@alrafie56,Mohd Rafi ,0,3,7h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
Giant bila?,@izdiharsahalan,Pak Diya ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
bertuahlah menu rahmah mcm tu.. sekrg mkn nasi Dan sayur rm7.. klu Ade ayam rm12,@fidah5854,fidah5854 ,1,0,8h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
Alhmdulillah🥰,@sitisarahmustho21,Siti Sarah Mustho271 ,0,0,8h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
"min nak tanya.. Nak makan kena bawak payslip ke atau mcm mana.. ,🤣🤣",@zackdpictures,𝚉𝚊𝚌𝚔𝚍𝚙𝚒𝚌𝚝𝚞𝚛𝚎𝚜 ,0,8,8h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
Lain macam mydin terbaik,@adib5123,TCJ ,0,0,9h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
gi kelantan rm3 nasi berlauk..😁,@bronaztakovsckteowusj6,bronaz takoyakiVscharkueyteow ,0,1,9h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
alhamdulillah,@reza_almi,𝕋𝕦𝕡𝕒𝕚 𝕋𝕖𝕞𝕓𝕦𝕟 ,1,0,9h ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31
