comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
Thamby ni LG adoii,@kudeen76,deanstreet21 ,37,3,13h ago ,2023-02-01,https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,828,189,26,2023-2-1
mmg tugas dia boh pertikaian nasional😂😂😂,@pehstickersacccomm,𝓑𝓞𝓢𝓢 𝓕𝓻𝓮𝓷𝓬𝓸 💎 ,29,0,13h ago ,2023-02-01,https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,828,189,26,2023-2-1
masa Pn buat jugak...Buat tahi mata...😁😁😁😁,@mashitoh73,Mashitoh73 ,16,0,11h ago ,2023-02-01,https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,828,189,26,2023-2-1
Saya takut broo..dulu yg pi sapu makanan 5 riggit..tu,@user6790668568537,user6790668568537 ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,828,189,26,2023-2-1
good brother,@lohpengeelohpenge,lohpengeelohpenge ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,828,189,26,2023-2-1
❤❤❤,@mohamadjuiprimahasim,Mohamad Juipri Mahas ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,828,189,26,2023-2-1
😂👍🏻,@lisayang.yl,Lisa杨 ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,828,189,26,2023-2-1
lawan tetap lawan brooooo😁😁😁,@abejuhari1366,ABE JUHARI 1366 🇮🇩🇲🇾 ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,828,189,26,2023-2-1
baru nak swipe bila tgk mamu nie ckp.. nsb baik pokwie😅,@hulubalangdesign,megat_aidil ,1,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,828,189,26,2023-2-1
mammu gasak tosseyyy jer brooo😂😂😂😂,@jenglotselayangna,jenglotselayangna ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,828,189,26,2023-2-1
🥰🥰🥰,@botakmentari,botakmentari ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,828,189,26,2023-2-1
walaun koyak tu bro..🤣🤣,@hemry2620,Henryomar2620@ ,1,0,5h ago ,2023-02-01,https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,828,189,26,2023-2-1
terbaik....,@_hairul79,hairul79 ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,828,189,26,2023-2-1
terbaik pokwei,@ramansreenivasan,Raman J ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,828,189,26,2023-2-1
