comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
aku minat nurul izzah ni kat parlimen. tp aku pun confuse perjuangan dia ni.. utk rkyt ke utk bapak dia jadi PM.,@ricebowl177,ricebowl177 ,3724,0,2022-11-14,2023-01-30,31.7K,3113,2963
sebiji mcm kisah jiran aku.. abg dy dok permatang pauh.. apa yg dy ckp sebiji mcm mkcik ni ckp... mmg zero kt tmpt dorg...,@yaamairaaaa,❤️ ,1390,0,2022-11-14,2023-01-30,31.7K,3113,2963
"ada je perubahan kat permatang pauh sy tengok, tapi 5 tahun skali la tu pun bendara je penoh pastu hilang yg pelek tu dengan YB skali hilang😅",@mazzzzzzoan,......... ,81,0,2022-11-15,2023-01-30,31.7K,3113,2963
Saya pun dok permatang pauh.. takdak apa pun.. susah lagi ada 😏😏😏,@emmy_sayang80,꧁❀💜𝓔𝓶𝓶𝔂_𝓢𝓪𝔂𝓪𝓷𝓰80❀꧂ ,31,0,2022-11-16,2023-01-30,31.7K,3113,2963
FAKTA BETOL T.KAS8H MAKCIK PENJELASAN YG IKHLAS👍👍👍,@zam_iman66,Zamiman66 ,1324,0,2022-11-14,2023-01-30,31.7K,3113,2963
Nurul izah bagus kalo dlm parlimen.. Memang nk dia menang.. Tp org sana sndiri tahu.. Dia jarang sgt kt permatang pauh.,@koyoalfarabi85,Koyo Al farabi ,6,0,2022-11-16,2023-01-30,31.7K,3113,2963
orang tua dia cakap betul..Kali ni kita undi Pas pn,@petezafranzafran,petezafranzafran ,34,0,2022-11-14,2023-01-30,31.7K,3113,2963
"mata makcik berair, ya Allah🥺🥺 msti ikhlas dri hati makcik luah kn, maafkn kami klo ada undi dri kami yg buat mkcik nangis,",@comelnyaayam,Syahnasr ,7,0,2022-11-14,2023-01-30,31.7K,3113,2963
"TERBAIK makcik cerita hal sebenar utk kebaikan semua.
Undi PN pulak kali ni.",@user7716983580570,user7716983580570 ,42,0,2022-11-15,2023-01-30,31.7K,3113,2963
undi pH ye mcik😂😂😂😂,@ein604,ein ,41,0,2022-11-14,2023-01-30,31.7K,3113,2963
sokong makcik,@user2682502036659,user2682502036659 ,177,0,2022-11-14,2023-01-30,31.7K,3113,2963
