comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
Dlu suka pakai bawal mcm ni zmn2 reformasi😂.dia pakaila senget mcm mana pn cantik jee,@mrsyanjun2408,Jkjkjk ,232,0,2022-4-19,2023-01-30,20.1K,420,450
Mcm langit dgn bumi beza puteri keadilan dgn puteri umno. Takde duit berkepuk pun tapi masih berseri,@mus69mus,Mus69mus ,725,0,2022-4-19,2023-01-30,20.1K,420,450
"Dia dari anak dara sampai dah ada anak, muka maintain ya. Pernah borak ngan dia depan2 for one event at UKM and her skin is….. FLAWLESSSS GILA YA😭😭",@reincarnationkorea,Oppaahjussi ,306,0,2022-4-19,2023-01-30,20.1K,420,450
sy doakan YB ni akan jadi PM 1 hari nti.ada aura kepimpinan.,@zulaika.tiktok,@Zulaika ,279,0,2022-4-19,2023-01-30,20.1K,420,450
Iras2 lisdawati,@nisleeen,i'mhanis🦋 ,13,0,2022-4-19,2023-01-30,20.1K,420,450
beauty and brilliant very limited edition,@ashtyped,ashismailtyped86 ,1141,0,2022-4-19,2023-01-30,20.1K,420,450
Graduan Jep Hopkins University..antara politician trbaek negara ..keep going YB..!,@karlshameusoff,karlsham ,232,0,2022-4-19,2023-01-30,20.1K,420,450
Yang perempuan tgk ni pun aishhh Terpaling cantik la 🥰🥰🥰,@needd3,🤎 ,55,0,2022-4-19,2023-01-30,20.1K,420,450
ni hasil dari didikan dsai.,@syakirmarzuki,Syakir Marzuki ,126,0,2022-4-19,2023-01-30,20.1K,420,450
Cantik betul dia ni. Aku Penah jumpa depan2. Takde mekap secalit pun. Memang cantik! Ikut bang non ke kak wan ni??,@ainmohamad90,Ain Mohamad ,24,0,2022-4-20,2023-01-30,20.1K,420,450
Natural beauty.Pakai tudung mcm tu pun lawa,@mr.thursday_257,ʞɔǝɯ zǝᴉɯɐb ,15,0,2022-4-20,2023-01-30,20.1K,420,450
yb nurul steady..ayuh Malaysia,@mihads0,mi hadS ,12,0,2022-4-19,2023-01-30,20.1K,420,450
pemimpin pelapis Terbaikkk,@chepisah52,chepisah52 ,25,0,2022-4-18,2023-01-30,20.1K,420,450
peghh lawa bhaiii😂,@fairuzcorleone,Fairuzcorleone💙 ,24,0,2022-4-19,2023-01-30,20.1K,420,450
terbaik 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,@rosman_mirasa,Rosman_Mirasa ,7,0,2022-4-19,2023-01-30,20.1K,420,450
IDOLA,@esahlehehalehe,Bunda Esah ,6,0,2022-4-20,2023-01-30,20.1K,420,450
serious my crush...hahahha,@kingmondok,raja tikus ,6,0,2022-4-19,2023-01-30,20.1K,420,450
Cantik,@razifyusoff2020,razifyusoff2020 ,6,0,2022-4-18,2023-01-30,20.1K,420,450
sokong yb,@hulk5049,mentadak ,58,0,2022-4-18,2023-01-30,20.1K,420,450
amateur...but a potential leader 👍,@dexteqlim,Dexteq Lim ,11,0,2022-4-19,2023-01-30,20.1K,420,450
natural beauty,@ms_ann8may,leighann1258 ,0,0,2022-11-28,2023-01-30,20.1K,420,450
🥰🥰🥰🥰 lawa dia ni..,@munchkin_1379,Munchkin_XoXo ,0,0,2022-11-28,2023-01-30,20.1K,420,450
bawal lover's 🥰🥰🥰,@nazayusop,Naz intan danial ,0,0,2022-11-25,2023-01-30,20.1K,420,450
Dari muda cantik manis tak banyak gaya. Suka tengok 🥰,@bemitha,Beauty Mitha ,0,0,2022-11-24,2023-01-30,20.1K,420,450
Hadir,@asaempiremall,SYAARI EMPIRE MALL ,0,0,2022-11-18,2023-01-30,20.1K,420,450
My girl crush 🥰🥰🥰,@fiza_mj,TakafulforLife ,0,0,2022-11-14,2023-01-30,20.1K,420,450
Assalamualaikum.. Support YB Nurul Izzah🙏🏻🌹,@user3443772059yassien36,🇲🇨🇲🇾🇸🇽OrangNakal🥴²²✨✨✨ ,0,0,2022-10-14,2023-01-30,20.1K,420,450
"@yb99 itu.lah
min comel nya",@ahming5523,Ahming5523 ,0,0,2022-9-14,2023-01-30,20.1K,420,450
cantik sangat...suka tengok tak perlu mekup tebal tebal,@wanazalinawanchik,Wan Azalina Wan Chik ,0,0,2022-8-27,2023-01-30,20.1K,420,450
Aku respek habis dgn DSAI sbb dia berjaya mendidik ank2 tutup aurat.. semoga dipermudahkan NIA dlm segala urusan,@zurizuri730,ZuRi75 ,0,0,2022-7-17,2023-01-30,20.1K,420,450
berjuang untuk kuarga dia semata2 mn boleh pakai..,@datog79,Dato G ,0,0,2022-7-15,2023-01-30,20.1K,420,450
Good luck,@bagindanagasonogo,bagindanagasonogoronharahap ,0,0,2022-7-14,2023-01-30,20.1K,420,450
hebat,@norazmiazmi887,Norazmi Azmi887 ,0,0,2022-7-14,2023-01-30,20.1K,420,450
"ni je yg blh jdi PM, yg lain dri ni…urmmmm..ntah la",@zabaalpha,Zaba Alpha ,0,0,2022-7-13,2023-01-30,20.1K,420,450
"YB,org nya sederhana je",@user449749086,Misalmah Salmah ,0,0,2022-7-6,2023-01-30,20.1K,420,450
Puteri Reformasi dulu kini selamanya,@azharin444,Baain ,0,0,2022-7-6,2023-01-30,20.1K,420,450
"respect NURUL IZZAH. sanggup ketepikan jwatan kecil dmi fokus untk rkyat..dan skli gus mnyangkal bhwa prti PKR ialah prti keluarga..,.👍",@rom3okota,Rom3oKota ,0,0,2022-7-6,2023-01-30,20.1K,420,450
siapa ni😳?,@azmie.29,Azmiin ,0,0,2022-7-6,2023-01-30,20.1K,420,450
suka tgk dilu sampai sekarang🥰,@amranrashid2,Amran Rashid66 ,0,0,2022-7-6,2023-01-30,20.1K,420,450
"terbaikkkkk YB,jln yg lurus🥰🥰",@zam.barber,zam#barber ,0,0,2022-7-5,2023-01-30,20.1K,420,450
Assalamualaikum Slmt petang Salam maghrib,@hamran37,hamran37 ,0,0,2022-7-5,2023-01-30,20.1K,420,450
"My Favorite, walau pun kita kat Sarawak xprnah sokong PKR, tp kita ttp respect awak,GD luck ybnrlizzah",@iknn38,Dny Dny69 ,0,0,2022-7-5,2023-01-30,20.1K,420,450
seorg yg berani dan bependirian tegas...itulah siti Nurhalizah,@blac_kghost,Jangan_Reply_Komen_Aku! ,0,0,2022-7-5,2023-01-30,20.1K,420,450
Beauty with Brains . Brilliant and Brave. Bravo !!,@nazmy1619,Nazmy1619 ,0,0,2022-7-5,2023-01-30,20.1K,420,450
nak tanya makcik ni kwen dak lagi,@matperlis,Muhammad fitri ,0,0,2022-7-5,2023-01-30,20.1K,420,450
Very proud of her,@maymaxwellvasudevan,May Max Well Vasudevan ,0,0,2022-7-5,2023-01-30,20.1K,420,450
cantik nurul ni🥰,@babazek63,Baba Sein ,0,0,2022-7-4,2023-01-30,20.1K,420,450
support,@user956269515641,user956269515641 ,0,0,2022-7-4,2023-01-30,20.1K,420,450
asalamualaikum YB Nurul,@mat_514m,MatSiam ,0,0,2022-7-4,2023-01-30,20.1K,420,450
CALON PM 9 🥰🥰🥰🥰,@limkokhong,Lim Kok Hong ,0,0,2022-7-4,2023-01-30,20.1K,420,450
hebat..,@sapehiepiee,Joe ,0,0,2022-7-1,2023-01-30,20.1K,420,450
baikkk😏😏😏,@unclepianpomen,uncle pian pomen ,0,0,2022-7-1,2023-01-30,20.1K,420,450
syorkan... supaya anuar ke depankan rafizi utk PM pru 15,@zaharun1972,zaharun Ahmad ,0,0,2022-6-29,2023-01-30,20.1K,420,450
Berilmu dan berintegriti 🙌🏻🫰🏻,@iphhelmetandco,iphhelmetandco ,0,0,2022-6-28,2023-01-30,20.1K,420,450
"Bkl PM wanita pertama Malaysia
Emak dia Kak Wan wanita pertama TPM Negara",@user2803910235095,user2803910235095 ,0,0,2022-6-28,2023-01-30,20.1K,420,450
Bakal perdana menteri Malaysia Wanita pertama.. akan datang..,@matrock747,matrock747 ,0,0,2022-6-27,2023-01-30,20.1K,420,450
Semoga Allah lindungi YB sentiasa,@willliammmw,wiliamm ,0,0,2022-6-17,2023-01-30,20.1K,420,450
Natural beauty sgt2 YB Izzah ni..PM Malaysia in the making..berdoa semuga YB dpt mberi perubhan era politic yg baru..kasi buang saje stok tua2 umno ni,@kaydeedz,kaydeedz ,0,0,2022-6-15,2023-01-30,20.1K,420,450
Yes you are doing better than other,@gmaruthayah,Maru ,0,0,2022-6-13,2023-01-30,20.1K,420,450
"tk blh nk compare dgn ank wak jahid, dgn ank jibby jauh la....😂😂😂",@shahrin818,user8203255330170 ,1,0,2022-6-6,2023-01-30,20.1K,420,450
beautiful mp,@yacoobmastan,Yacoob Mastan ,0,0,2022-6-6,2023-01-30,20.1K,420,450
Alhamdulilah.. dalam dunia Malaysia pecah rekod. bapak bini dan anak kongker satu Parlimen.. pastu cakap bab keadilan dan kroni😂😂😂,@lukmanmoidin,Lukman Moidin ,0,0,2022-6-5,2023-01-30,20.1K,420,450
idola saya🥰💙 #orgkitapmtgpauh🥰,@aydaradhi,ayda🤍🕊️ ,0,0,2022-6-5,2023-01-30,20.1K,420,450
Jodoh sy ni. Jgn kacau 🥱🥱🥱,@mshahirul,Mohamad Shahirul Zainab ,0,0,2022-6-4,2023-01-30,20.1K,420,450
selfie with kiram daugther too 😏,@alip_madah,aLiP_MaDaH ,0,0,2022-6-2,2023-01-30,20.1K,420,450
segak sangat,@plumberkedah1,khabalisaari ,0,0,2022-5-31,2023-01-30,20.1K,420,450
when are you going to leads Malaysia? can't wait. Bless You.,@user400760079397435,user4007600793974 ,0,0,2022-5-31,2023-01-30,20.1K,420,450
mmng cantik 🥰,@shahikhbar303,shahikhbar303 ,0,0,2022-5-30,2023-01-30,20.1K,420,450
🥰 soft spoken mmg yb Terbaik humble,@user9675690288219,super mario ,0,0,2022-5-30,2023-01-30,20.1K,420,450
Kita prlukan org muda. Dsai Najib LGE Zahid Atok Tajudin Midin Mail Hadi dll korang undur la. Hancur kita di buat korang 🥺,@antirasuah,AntiRasuah ,0,0,2022-5-29,2023-01-30,20.1K,420,450
salute wanita..,@deltoro1310,user6071880628821 ,0,0,2022-5-29,2023-01-30,20.1K,420,450
"YB terbaik di Permatang Pauh..rajin turun padang semua kaum dia borak..masjid pmtg pauh buat kenduri, tak sangka dia datang ttba..",@nurlis060,An Nur 💕 🇲🇾 ,0,0,2022-5-27,2023-01-30,20.1K,420,450
selamat petang buat semuaa🥰,@aziz861212,Aziz@8612 ,0,0,2022-5-26,2023-01-30,20.1K,420,450
dari dulu smpi skrg tetap cantik🥰,@sabraz91,Bossku36 ,0,0,2022-5-24,2023-01-30,20.1K,420,450
izzah lawa walau tanpa makeup,@king_koley,king koley ,0,0,2022-5-23,2023-01-30,20.1K,420,450
YB. WANITA. TERBAIK. SETAKAT. INI,@tokmat7,Mohamed Tahir258 ,0,0,2022-5-21,2023-01-30,20.1K,420,450
