comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
"Wlupun aku x sokong PH tp aku respect dgn Nurul Izzah. Semangat,berani n berjiwa besar.",@jane_anne711,JaneAnne ,2930,0,2022-11-20,2023-01-30,38.1K,664,1278
camtu pun cantikkk.. kalau aku cam apatah,@_mizzn,Iamrara ,1959,0,2022-11-20,2023-01-30,38.1K,664,1278
kita tak sokong pH...tapi suka tgk keperibadian Nurul Izzah ni ..😁,@_mysamball,Hafsah Yusof385 ,74,0,2022-11-21,2023-01-30,38.1K,664,1278
ak dr dulu suka tgok dia not to hard for look beautiful. Tapi terampil kemas tu penting bru nmpk tokoh kepimpinan tu terserlah.X slh utk berhias kemas,@sal_asiah92,sal asiah ,421,0,2022-11-20,2023-01-30,38.1K,664,1278
dia mcm biasa lah tudung tolak ketepi ketengah kedepan ttp cantikkkk😂,@wawanxiii,Y A N G B E T U L 🤸 ,117,0,2022-11-20,2023-01-30,38.1K,664,1278
"ak je ke yg ulang2 tgk 😂 comel bila komen "" mcm murid habis skola koko 😂"" pape pn great YB !! redah naek moto 🥺",@anne_deeanne,SuperMOMMY ,14,0,2022-11-26,2023-01-30,38.1K,664,1278
kalau aku cmtu takde mood dah tudung aku herot berot. aku rasa aku la plg huduh. tp dia... cantiknya la haiiii 😂😂😂😂,@zlinalan,zlinalan ,7,0,2022-11-21,2023-01-30,38.1K,664,1278
"Pakai la mcm mna skli pun, org kalau dh cantik, tetap cntik 🥰",@yaya.coo,Why.yaya ,27,0,2022-11-20,2023-01-30,38.1K,664,1278
aku adore dia dari tahun 1998... stay strong YB.. please come back stronger with more voices for us,@mazliza_aini,mazliza ,310,0,2022-11-20,2023-01-30,38.1K,664,1278
Too bad she lost ☹️☹️,@nuggiesfep,caf ,499,0,2022-11-20,2023-01-30,38.1K,664,1278
Crying so hard :(,@dididarlie,Mek ,7,0,2022-11-20,2023-01-30,38.1K,664,1278
Comelll🥰,@shafinazfadzil,Shafinaz Fadzil ,0,0,2022-12-17,2023-01-30,38.1K,664,1278
sempoi je😂,@nangka_lova,nangka_lova ,0,0,2022-12-13,2023-01-30,38.1K,664,1278
ayah aku minat sampai adik aku nama Nurul Izzah ooo,@rahmahzamzuri,rahmahzamzuri ,3,0,2022-11-27,2023-01-30,38.1K,664,1278
suka tgk dia.ada karisma,@afzatahar,afzatahar ,1,0,2022-11-26,2023-01-30,38.1K,664,1278
comel jer,@nurul_therapants,NurulAzlinMazak ,0,0,2022-11-26,2023-01-30,38.1K,664,1278
