comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
"Nak percaya apa lagi dengan PMx cakap , semua prinsip dia gadai",@mhmirfan1,Muhammad Irfan ,521,0,14h ago ,2023-01-30,9455,2343,1063
madani tu bermaksud masukkan anak dan bini,@imranizzahlovers,Laksamana Sunan ,326,0,13h ago ,2023-01-30,9455,2343,1063
"pada pandangan saya,jangan mengata dekat orang lain nanti tuhan pulang kan balik dekat kita 😌😌",@kaiden1p,(⌐■-■) ,45,0,14h ago ,2023-01-30,9455,2343,1063
"saya org kerajaan tapi pendirian saya mcm tuan, yg betul sokong yg bcanggah kita bantah",@zackyusef,Zack ,293,0,13h ago ,2023-01-30,9455,2343,1063
walau tak bayar gaji tu hanya alasan untuk menutup kronisme dan nepotisme...kalau bayar gaji lagi damage orang serang...#kerajaankeluarga,@mamu_aziz01,Mamu Aziz 💛🤍💙 ,174,0,13h ago ,2023-01-30,9455,2343,1063
Harini rambut tak pacak sebab jel dah habis 😂,@thaqibshaker,Thaqib Shaker ,35,0,14h ago ,2023-01-30,9455,2343,1063
Ni saya setuju walaupun saya penyokong dsai,@shahirahmdnor93,Shahirah Md Nor ,35,0,12h ago ,2023-01-30,9455,2343,1063
agreed.. x de penderian sedih ingtkn pm10 the best… hampehh,@eryndya,Aini ,29,0,11h ago ,2023-01-30,9455,2343,1063
betulah bnyak orang belajar bidang lain kerja bidang lain …contoh nya engineering ke penasihat kanan ekonomi😂,@zikribasir_,zikribasir_ ,24,0,14h ago ,2023-01-30,9455,2343,1063
Lapiji mane..nyorok ke?atau tgh pikir formula lain..,@aimar2306,Aimar2306 ,29,0,13h ago ,2023-01-30,9455,2343,1063
dah sebulan baru kantoi...ahli parlimen yg kalah,@mohdmuhamad741,Mohd Muhamad741 ,24,0,1h ago ,2023-01-30,9455,2343,1063
Kerajaan keluarga 🤣,@damndanialll,Danial ,11,0,13h ago ,2023-01-30,9455,2343,1063
