comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
Nurul Izzah Anwar terbaiklah,@shafiija,shafiija ,84,0,2022-10-24,2023-01-30,10.8K,298,270
dekat nak PRU turun laa main... lepas tu hampeh 😁😁😁😁,@halimyusuff29,user7642119558832 ,43,0,2022-10-25,2023-01-30,10.8K,298,270
"ank2 menteri lain pakaian sopan cm ni dak,,didikan agama dari ayahanda Anwar Ibrahim dan Wan Azizah",@mohamadalibinhash4,mohamadalibinhash4 ,42,0,2022-10-24,2023-01-30,10.8K,298,270
PH TERBAIKKK PILIHAN RAKYAT MALAYSIA 🇲🇾 🇲🇾 MALAYSIA 🇲🇾,@azroy173,Azroy ,53,0,2022-10-24,2023-01-30,10.8K,298,270
Steady pkr.. Puteri reformasinya versitile,@mohmamedapandi1,Mohmamed Apandi ,39,0,2022-10-24,2023-01-30,10.8K,298,270
i love u YB..PH terbaik,@azizi_a9,Azizi-••- ,26,0,2022-10-24,2023-01-30,10.8K,298,270
"Steady puteri reformasi.. PH, dsai terbaik",@pojie1972,pojie1972 ,19,0,2022-10-24,2023-01-30,10.8K,298,270
hadir support PH 💪💪,@nazihsopian,Nazihsopian ,17,0,2022-10-24,2023-01-30,10.8K,298,270
"Puteri reformasi.
Hati cekal malah tabah dgn pelbagai ujian.
Moga Allah permudahkan segala perjuangan beliau dn PH",@aizad77,Aizad77 ,10,0,2022-10-24,2023-01-30,10.8K,298,270
terbaikkkk YB 🥰,@aishah_humaira94,Aishah Humaira ,7,0,2022-10-24,2023-01-30,10.8K,298,270
hidup PH...,@user2879764028719,user2879764028719 ,5,0,2022-10-24,2023-01-30,10.8K,298,270
terbaik yb,@shafiqvivian,shafiqvivian ,7,0,2022-10-24,2023-01-30,10.8K,298,270
satu2 YB wanita yg sentiasa kekal dgn baju kurung nya.. terbaik lah,@hajikhairulkebal,Haji Khairul Kebal ,0,0,2022-11-26,2023-01-30,10.8K,298,270
sempoi nurul izzah😂😂😂,@qasehq350,HUTANrimba ,0,0,2022-11-25,2023-01-30,10.8K,298,270
mcm tk biasa 🏸😊😊👍,@yogaliu05,Rendy rendy ,0,0,2022-11-25,2023-01-30,10.8K,298,270
MashaAllah🥰🥰🥰,@asyaasya865,Abdul malik ,0,0,2022-11-25,2023-01-30,10.8K,298,270
comel,@hardevkhera,Hardev khera ,0,0,2022-11-24,2023-01-30,10.8K,298,270
betui tu 🤣🤣🤣,@ainajie,Norini Farina ,0,0,2022-11-20,2023-01-30,10.8K,298,270
"pintar
cantik
baju sopan dan kemas ja",@nurulpendi98,nurulpendi98 ,0,0,2022-11-20,2023-01-30,10.8K,298,270
🥰🥰,@rajaej73,raja ej ,0,0,2022-11-17,2023-01-30,10.8K,298,270
baju sukan,@slk5254,SLK2020 ,0,0,2022-11-15,2023-01-30,10.8K,298,270
"knn ,,mcm dh x tahu nk kampen apa dh,,bukan cmni yg rakyat nk kn,,ni pas pru 15 hilang",@norehanzain,norehanzain ,0,0,2022-11-15,2023-01-30,10.8K,298,270
🤗🤗👍🏻👍🏻👍🏻💃🏻,@mohanakumar500,Mohana Kumar ,0,0,2022-11-15,2023-01-30,10.8K,298,270
idola gue🥰,@rossie7476,Rossie ,0,0,2022-11-15,2023-01-30,10.8K,298,270
macm2 gaya ahli politik bila nk PRU..baik PH BN PN DN LAIN2. Timbul diskala besar itu dn ini..lepas menang hilang Lg 5 thn berlakon Lg..,@868686.az,868686.Az ,0,0,2022-11-14,2023-01-30,10.8K,298,270
Nurul Izzah ni dr dulu..pesen tudung ttp setia hat tu juga. mmg jiwa dia ni padu lah,@zawjahazmann_,ZawjahAzmann_ ,0,0,2022-11-13,2023-01-30,10.8K,298,270
ajak regu dgn syed sadik,@shahngk90,ShaH.nGk90 ,0,0,2022-11-10,2023-01-30,10.8K,298,270
haha nk mengundi semua jdi boleh no main badminton la pas ni main bola plk,@nazr737,lalat ,0,0,2022-11-9,2023-01-30,10.8K,298,270
"PUTERI REFORMASI 👍
DSAI 💪",@mr_kakilepak,MR.KZ ,0,0,2022-11-9,2023-01-30,10.8K,298,270
yg kuban2 je😅😅,@nurulll_hidayah,nurulll_hidayah ,0,0,2022-11-9,2023-01-30,10.8K,298,270
Cian dia...,@kedaibasikalramly,kedaibasikalramly ,0,0,2022-11-9,2023-01-30,10.8K,298,270
Biasa nya fenomena gerhana matahari jak 5 tahun sekali..yang ni pun pelik juga 5 tahun sekali juga ni..😂😂,@rizwan93wanz,WanZ93 ,0,0,2022-11-8,2023-01-30,10.8K,298,270
"Best lh musim 5 tahun skli dpt tngok menteri bersukan,berkebun,berpidato,berarak,bermandi peluh menolong rakyat.lepas mnng rakyat nak naik ofis ttup",@shishui19,Golden ,1,0,2022-11-8,2023-01-30,10.8K,298,270
😂😂kn,@kakyong_penang,Kak Yong ,0,0,2022-11-8,2023-01-30,10.8K,298,270
Ghisau hehe,@arieljannah,BOSS A ,0,0,2022-11-8,2023-01-30,10.8K,298,270
Sebelum ni hobi apa😐 baru sekrang nmpak main badminton😁,@nazradza,MN🤷🏼‍♂️ ,0,0,2022-11-8,2023-01-30,10.8K,298,270
Comel yb Gunners,@a11ua3,Nurul Allismi ❤️🦋 ,0,0,2022-11-8,2023-01-30,10.8K,298,270
Lawa ooo izzah,@agibzulkarnain82,agibzulkarnain82 ,0,0,2022-11-8,2023-01-30,10.8K,298,270
bdaminton kebaya @mansorsapari,@mietoyolta,سوحيمي ٣١٣ ,0,0,2022-11-8,2023-01-30,10.8K,298,270
"suka sgt tgk nurul Izzah dh la cntik,sopan lagi..",@rahijar_ani,Rahijar_ani ,1,0,2022-11-8,2023-01-30,10.8K,298,270
Relaks je main pakai baju kurung🥰,@aeyyydelll,Vadestheic ,0,0,2022-11-5,2023-01-30,10.8K,298,270
main badminton pun comel 🥰,@deex3133,✌✌✌ ,0,0,2022-11-5,2023-01-30,10.8K,298,270
masa NIE la nak tgok YB2 bermain dengan rakyat😝💪🤣...ini semua tayikkk tuan2,@john.ego34,JohnEgo34 ,0,0,2022-11-4,2023-01-30,10.8K,298,270
This time u can do it .. tawan !,@tipmmu_817,Tipmmu_817 ,0,0,2022-11-3,2023-01-30,10.8K,298,270
hanya ada musim2 pru,@mrjoker3077,Mr joker ,1,0,2022-11-3,2023-01-30,10.8K,298,270
tetiba tetiba,@acuhazzira1511,Acu ,0,0,2022-11-3,2023-01-30,10.8K,298,270
wow tiba main badminton,@kiki_daud,kiki_daud ,0,0,2022-11-3,2023-01-30,10.8K,298,270
Koyak kain satgi YB😂😂😂,@vespa_jetrod78,Vespa_Jetrod78 ,0,0,2022-11-3,2023-01-30,10.8K,298,270
baru nampak muka2 famous Tiber pru😂,@kumanankumanan90,🪐🪐KUMANAN✨✨✨ ,0,0,2022-11-3,2023-01-30,10.8K,298,270
da brpny ke,@nassurzu,NasSurzu ,0,0,2022-11-3,2023-01-30,10.8K,298,270
dah mng die tggl korg😂,@apeygdicaritu,belut ,0,0,2022-11-3,2023-01-30,10.8K,298,270
nk mengundi macam,@lizizaa99,Liz Iza ,0,0,2022-11-2,2023-01-30,10.8K,298,270
wah setiap 5 tahun baru nk main badminton,@ujangrembau2,ujangrembau ,0,0,2022-11-2,2023-01-30,10.8K,298,270
Nurul Izzah Terbaik,@nazreenzafirah,nazreenshah ,0,0,2022-11-2,2023-01-30,10.8K,298,270
Nohhh rokiahhh😂,@shahfiq96_,Shahfiq ,0,0,2022-11-2,2023-01-30,10.8K,298,270
hebat yb😂,@jefsharifuraa,Jef Sharif ,0,0,2022-11-2,2023-01-30,10.8K,298,270
