tiktok_link,tiktok_description,tiktok_hashtag,Username,Views,posted_date,extracted_date
https://www.tiktok.com/@jason.yew/video/7087912898940521754,Nurul Izzah Before & After #nurulizzah  #puterireformasi  #AyuhMalaysia  #beforeandafter  #KEADILAN  #KEADILANuntukSemua  #foryou ,#nurulizzah #puterireformasi #AyuhMalaysia #beforeandafter #KEADILAN #KEADILANuntukSemua #foryou,jason.yew,322K,2022-4-18,2023-01-30
https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  ,#anwaribrahim #nurulizzahanwar #pkr #nepotisme #pakatanharapan #perdanamenteri #menteriekonomi #malaysia #fyp,thaqibshaker,191.6K,14h ago ,2023-01-30
https://www.tiktok.com/@pinography/video/7141026781464759578,YB NURUL IZZAH inginkan KEADILAN BUAT NEGARA DAN RAKYAT. AYUH MALAYSIA BERSAMA UNTUK MELAWAN MUSUH YANG MEROSAKKAN NEGARA. #NurulIzzah  #NurulIzzahAnwar  #Malaysia  #foryou  #fyp  #fypシ゚viral  #fyppppppppppppppppppppppp  #Kl  #izzah  #NIA  #parlimenmalaysia  #parlimen  #Undi  #Keadilan  #Umno  #Pas  #muda  #DAP  #My  #PKR  #Bangkit  #ayuhmalaysia  #Amk  #rasuah  #benciRasuah  #2022  #Merdeka  #merdeka2022  ,#NurulIzzah #NurulIzzahAnwar #Malaysia #foryou #fyp #fyp #fyppppppppppppppppppppppp #Kl #izzah #NIA #parlimenmalaysia #parlimen #Undi #Keadilan #Umno #Pas #muda #DAP #My #PKR #Bangkit #ayuhmalaysia #Amk #rasuah #benciRasuah #2022 #Merdeka #merdeka2022,pinography,2.4M,2022-9-8,2023-01-30
https://www.tiktok.com/@jason.yew/video/7194059149716507930,"""Nurul Izzah tidak dibayar gaji/elaun sebagai Penasihat Kanan PM"" - PM Anwar #penasihat  #nurulizzahanwar  #PMX  #MalaysiaMADANI  #KerajaanPerpaduan  #DSAIPM10  #anwaribrahim  #KEADILANuntukSemua  #foryou  ",#penasihat #nurulizzahanwar #PMX #MalaysiaMADANI #KerajaanPerpaduan #DSAIPM10 #anwaribrahim #KEADILANuntukSemua #foryou,jason.yew,308.8K,13h ago ,2023-01-30
https://www.tiktok.com/@eytie85/video/7165446285049220379,YB Cantik.. flawless even x mekap #ybcantik  #PH  #pakatanharapan  #permatangpauh  #p044  #nurulizzahanwar  #pilihanmasing2  #fyp  ,#ybcantik #PH #pakatanharapan #permatangpauh #p044 #nurulizzahanwar #pilihanmasing2 #fyp,eytie85,3.7M,2022-11-13,2023-01-30
https://www.tiktok.com/@azm7channel/video/7165725216839159067,Membalas kepada @FatBoyz  KJ malu ii😂 #parlimenmalaysia  #umnomalaysia  #politiktiktok  #malaysiatiktok  ,#parlimenmalaysia #umnomalaysia #politiktiktok #malaysiatiktok,azm7channel,2.8M,2022-11-14,2023-01-30
https://www.tiktok.com/@avp.world/video/7170375573208960283,♥️ both of u ♥️ #esekeli  #fyp  #foryou  #nurulizzah  #perjuangan  #fans  #pm10  #dsai  ,#esekeli #fyp #foryou #nurulizzah #perjuangan #fans #pm10 #dsai,avp.world,1.5M,2022-11-27,2023-01-30
https://www.tiktok.com/@fatimahzahrah88/video/7165763758449609986,Makcik pun dah meluat dah dgn mereka ni. #fyp  #fypviral  #foryoupage  #pakatanharapan  #nurulizzah  #permatangapauh  #tolakph  #pru15  #malaysiamemilih ,#fyp #fypviral #foryoupage #pakatanharapan #nurulizzah #permatangapauh #tolakph #pru15 #malaysiamemilih,fatimahzahrah88,650.4K,2022-11-14,2023-01-30
https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,#fyp  #pru15  #keadilan  #drnorlela  #nurulizzahanwar  Main Badminton Bersama Nurul Izzah,#fyp #pru15 #keadilan #drnorlela #nurulizzahanwar,ybdrnorlelaariffin,697.4K,2022-10-24,2023-01-30
https://www.tiktok.com/@spongemabok/video/7167727693692161307,😭😭😭😭😭😭,#,spongemabok,1.2M,2022-11-19,2023-01-30
