comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
"Salute to you, your dad and mom for the sacrifices to the nation !",@lanrms,BgMSLan ,67,0,2022-11-27,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27
Your lucky 🥰,@cgsalamah,Salamah ,0,0,1-14,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27
Maasyaallah🤲🤲😊😊,@akimiewanja94,Akimiewanja ,0,0,1-12,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27
"Selamat mbak, Insyallah DSAI akan Tetap Amanah, dan salah Satu Tokoh Dunia yg selame ini saye Kagumi betape istiqomahnye beliau...",@terasalamgir,Sastra Irawan ,0,0,1-12,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27
🙏💯👰011😘🙏👰🙏,@ridzuanwan9595,💣🌺⚓🇲🇾Ridzuan🇲🇾wan🇲🇾357 ,0,0,1-10,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27
Alhamdulillah.... Tahniah YB.. Sekalung Kesyukuran,@cintahatiammar,cintahatiammar ,0,0,1-6,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27
alhamdulillah,@rohani3231,Rohani323 ,0,0,2022-12-26,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27
so handsome 🥀🥀 and so sweet 😍😍😍,@alimdsujon5,alimdsujon5 ,1,0,2022-12-22,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27
Terbaek 🙏,@musafirkelana75,Amalan tekun ,0,0,2022-12-3,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27
semoga selalu diberi kesehatan kepada bapak dan diberi kebahagian kepada family tercinta....Aamiin...yrb...,@user12343149670225,rianamaria ,0,0,2022-12-2,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27
