comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
ak ske tgk ahli parlimen part tajuddin jew..kalau ade die kompem ngekek😂😂,@ketywahab93,user7595430083033 ,1019,0,2022-11-14,2023-01-30,https://www.tiktok.com/@azm7channel/video/7165725216839159067,131.1K,615,1160,2022-11-14
apa la nak buat bila tajudin takde nnti,@ibnabdrahman910,Sheikh Salim al-Sha'dy ,935,0,2022-11-14,2023-01-30,https://www.tiktok.com/@azm7channel/video/7165725216839159067,131.1K,615,1160,2022-11-14
pasir salak jarang tak kacau orang 😂. jelutong selalu kena 😂😂😂,@mdblalang,MdBlalang ,4079,0,2022-11-14,2023-01-30,https://www.tiktok.com/@azm7channel/video/7165725216839159067,131.1K,615,1160,2022-11-14
Pakai batik diorang sepakat.utk rakyat x nak sepakat,@jatiperak92,JATI_PERAK92 ,2938,0,2022-11-14,2023-01-30,https://www.tiktok.com/@azm7channel/video/7165725216839159067,131.1K,615,1160,2022-11-14
"Sebelum KJ kahwin , pernah digossipkan dengan Nurul Izzah . Sebabtu ahli Parlimen lain suka usik Rembau 😂 Diorang je yg tau cerita .",@roroyusoff,RoroYusoff ,2097,0,2022-11-14,2023-01-30,https://www.tiktok.com/@azm7channel/video/7165725216839159067,131.1K,615,1160,2022-11-14
"""silakan rembau"" semua duduk tak nak kacau 😂 pasir salak sempat lagi menyelit .haha",@honeyoo__,honeyoo__ ,707,0,2022-11-14,2023-01-30,https://www.tiktok.com/@azm7channel/video/7165725216839159067,131.1K,615,1160,2022-11-14
"the ""pewitt"" usikan2 warga2 emas 😭😭",@charlenessun,Charlene Bernadette ,1110,0,2022-11-14,2023-01-30,https://www.tiktok.com/@azm7channel/video/7165725216839159067,131.1K,615,1160,2022-11-14
When Cikgu knows your crush,@sashqils,Cha cha  🌸 ,1313,0,2022-11-14,2023-01-30,https://www.tiktok.com/@azm7channel/video/7165725216839159067,131.1K,615,1160,2022-11-14
Kalau DSAI tkleh jadi perdana menteri... Jadi bapak mertua saya pon apa salahnya 😅,@sisharkbaini,ＲＨ・SHARK 🦈 ,679,0,2022-11-14,2023-01-30,https://www.tiktok.com/@azm7channel/video/7165725216839159067,131.1K,615,1160,2022-11-14
"ingatkan situasi macam selalu jadi dekat zaman sekolah je,rupanya sampai dewan rakyat pon level macam sekolah je😏",@zira_isman,zira_isman ,242,0,2022-11-14,2023-01-30,https://www.tiktok.com/@azm7channel/video/7165725216839159067,131.1K,615,1160,2022-11-14
