comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
Dlu suka pakai bawal mcm ni zmn2 reformasi😂.dia pakaila senget mcm mana pn cantik jee,@mrsyanjun2408,Jkjkjk ,232,0,2022-4-19,2023-01-30,https://www.tiktok.com/@jason.yew/video/7087912898940521754,20.1K,420,450,2022-4-18
Mcm langit dgn bumi beza puteri keadilan dgn puteri umno. Takde duit berkepuk pun tapi masih berseri,@mus69mus,Mus69mus ,725,0,2022-4-19,2023-01-30,https://www.tiktok.com/@jason.yew/video/7087912898940521754,20.1K,420,450,2022-4-18
"Dia dari anak dara sampai dah ada anak, muka maintain ya. Pernah borak ngan dia depan2 for one event at UKM and her skin is….. FLAWLESSSS GILA YA😭😭",@reincarnationkorea,Oppaahjussi ,306,0,2022-4-19,2023-01-30,https://www.tiktok.com/@jason.yew/video/7087912898940521754,20.1K,420,450,2022-4-18
sy doakan YB ni akan jadi PM 1 hari nti.ada aura kepimpinan.,@zulaika.tiktok,@Zulaika ,279,0,2022-4-19,2023-01-30,https://www.tiktok.com/@jason.yew/video/7087912898940521754,20.1K,420,450,2022-4-18
Iras2 lisdawati,@nisleeen,i'mhanis🦋 ,13,0,2022-4-19,2023-01-30,https://www.tiktok.com/@jason.yew/video/7087912898940521754,20.1K,420,450,2022-4-18
beauty and brilliant very limited edition,@ashtyped,ashismailtyped86 ,1141,0,2022-4-19,2023-01-30,https://www.tiktok.com/@jason.yew/video/7087912898940521754,20.1K,420,450,2022-4-18
Graduan Jep Hopkins University..antara politician trbaek negara ..keep going YB..!,@karlshameusoff,karlsham ,232,0,2022-4-19,2023-01-30,https://www.tiktok.com/@jason.yew/video/7087912898940521754,20.1K,420,450,2022-4-18
Yang perempuan tgk ni pun aishhh Terpaling cantik la 🥰🥰🥰,@needd3,🤎 ,55,0,2022-4-19,2023-01-30,https://www.tiktok.com/@jason.yew/video/7087912898940521754,20.1K,420,450,2022-4-18
ni hasil dari didikan dsai.,@syakirmarzuki,Syakir Marzuki ,126,0,2022-4-19,2023-01-30,https://www.tiktok.com/@jason.yew/video/7087912898940521754,20.1K,420,450,2022-4-18
Cantik betul dia ni. Aku Penah jumpa depan2. Takde mekap secalit pun. Memang cantik! Ikut bang non ke kak wan ni??,@ainmohamad90,Ain Mohamad ,24,0,2022-4-20,2023-01-30,https://www.tiktok.com/@jason.yew/video/7087912898940521754,20.1K,420,450,2022-4-18
