comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
soal bayar k tidak ..tu bukan soalnya .....banyak jnji d mungkiri..jng cari masaalah nt bermasaalah,@hnabila10,NABILA ,394,0,23h ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
cerita p ramlee dulu tuan penasihat xdak gaji tapi dapt 20% 🤣🤣🤣,@freelancedesign3r,azha san ,692,0,23h ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
dulu hang kata tun m.. la ni hang buat...dsai rethink this move..jgn banding dgn parti lain...,@azrimtheguns,Azrim ,49,0,23h ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
Stju prlntikn Nurul Izah.,@wartaaaaaaaaaaaaa,warta ,175,0,23h ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
hahaha smua kja free ada lg ka zman la ni...😂😂😂😂 sapa nk kja free dgn aku weiii,@hasrihasri09,Hasri Hasri ,134,0,23h ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
Nurul Izzah qualify for the position🥰,@radenhata,Rayden_Ghazi ,201,0,23h ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
terbaik Dato'seri 👍,@masmasfiah,Mas Masfiah ,0,0,23m ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
This is KARMA IS REAL😁,@mohdazmibinismail,MrJack ,0,0,29m ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
penasihat utk masa depan negara dr kalangan ahli keluarga sendiri.. apa sudah jdi.. dlu kata org lain.. la ni mkn diri🤔🤔,@fydahzshaborramel,fydahzshaborramel ,0,0,32m ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
😅😅😅😂,@user6782336491986,Karisma Khai ,0,0,40m ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
fmily planning 😂,@cikboomss,Zzzz ,0,0,52m ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
Anak nasihat bapak...puan penasihat..25 persen@nanatanjongzamy,@ericshacattleya,@ Ericsha Cattleya ,0,0,54m ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
"Klau dia byar pn,tp ckp xbyar,sapa tau? 😅😅😅",@ezrifaizal5,Irwan@84.. ,1,0,1h ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
tuan penasihat....25 persennn,@maza_asyraf,🐿️Maza Asyraf🐿️ ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
sapa yg kritik bng non akan dituduh walaun-macai pencacai ph😁,@realitystone2023,realitystone6 ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
"Tiga Abdul
Qhasidah,Hamidah,Rasyidah,Nurul Izzah ....Jalan Daaaa",@shamsoib,AkulahTopan ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@jason.yew/video/7194059149716507930,11.9K,5477,1548,23h ago 
