comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
"Terbaik setuju sgt,kluarga yg baik dan jujur dlm melakukan kerja🥰🥰🥰💪",@zulieavon,Zulie Avon ,186,0,12h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
Betul tu boss Bayar gaji pun tak salah .nak letak orang lain takut kaki sapu. Hutang negara 1.5 T. DSAI hanya manusia biasa. Bagi dia org buat kerja,@rennyremo,Moorthy Natarajan58 ,113,0,11h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
senang ank dia ikut ke mana2.. kan mahram tu... ank dia pn boleh jg pmx..,@zmy232,zmy232 ,139,0,13h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
"mmng bnyk yg layak,tpi ada ke yg nk bkerja ikhls tnpa gaji,?..😏PM buat kputusn buat kja ikhlas tnpa gaji ank brank utk Rakyat..",@lyneztyna,lyneztyna ,46,0,7h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
DSAI terbaik...,@amanahsrigading2022,Amanah Sri Gading ,88,0,13h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
kasi chance la😂,@mikekhoh,Mike khoh ,0,0,5m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
Mereka takut penyelewengan di bongkar dgn cepat,@interloq,CCtt ,0,0,7m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
😅,@expomezz,expomezz ,0,0,7m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
Kalau ada rekod sakau ye la kita worry 😂😂,@eenb5,Justme🦖 ,0,0,8m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
#NurulIzzah terbaik. Hadir support. Moga PM10 sihat slalu & dprmudhkn sgala urusan mntdbir negara ke arah lebih cmrlng gemilang di mata dunia.,@kak_ana81,Kak J_KgPeople'✌️ ,0,0,14m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
banyak pulak udang dalam mee yg aku makan ni😁,@jaimisai,jaimisai ,0,0,18m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
"ada je yg layak, tp sanggup ke keje xde gaji?",@etam1103,etam1103 ,0,0,21m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
sudah tukar kaaaa,@cikgusenipine,cikgu seni pine ,0,0,23m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
betul sy sokong nurul izah sebagai penasihat PMX,@dierazie,YaMuhaimin ,1,0,26m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
nie masalah integriti....org luar yg bukan penjawat awam...biaq dilantik dan baru la tndatangan akuan sumpah...,@arefiz_stone,AreFiz_Stone ,0,0,32m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
puan penasihat berapa Persen ni.,@donzuandemarco,donzuandemarco ,0,0,34m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
mintak PM ambik je gaji... pedulikan kata² haters,@81idnaffa,Awai tak kalut 🤭 ,0,0,41m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
terbaik bro,@soffianabdullah,soffianabdullah ,0,0,43m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
Terbaik. Umno perisai Anwar😂,@tengkoloktrading,tengkoloktrading ,0,0,45m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
"Kerja tanpa gaji pun depa komplen.. Yg ada gaji dulu tu, tp tak buat kerja.. Xdok komplen plok😅",@echah75,echah75 ,2,0,47m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
mcm Jho Low dulu penasihat DSNR,@aismanz800,aisman ,1,0,50m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
betul....cost saving...nie ja yg sanggup...kalau org lain cost tinggi...,@masmuhdasri,MasRelax ,0,0,55m ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
apa salahnya dia membantu bapanya...meringankan beban bapanya...,@salle0531,peace yooo ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
Pandi pon ulasan.. Kn😂😂,@roslan8988,Roslanaziz Roslan ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
setuju tuan,@iskandar.noah,Adam ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
izah ny bgus..,@beehagemaru,Bee Hagemaru ,1,0,1h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
betul tu boss,@ahmadalbab170,Ahmad Albab8790 ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
tq papa.. izah dah ada job dah🤣🤣,@liestudio14,liestudio14 ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
yg lain tu layak....tp xder gaji sanggup kaa.,@manpakmat,AbgLong ,2,0,1h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
semoga allah permudahkan segalanya demi kebaikan insallah,@mok.cun,user8643657702062 ,1,0,1h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
sejak² tidur sebantal ni lain macam dia punya backup... no anuar.. no dap.. 😂😂😂,@almsham1103,AsSham ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
"Bkn soal ada gaji , ini soal prinsip , apa guna di lantik bekas peg eksekutif petronas penasiihat ekonomi & Rafizi menteri ekonomi..tk cukup lgikh",@roysam67,☞🔥  ｒᵒⓎ𝕊𝓐Μ@❻❼  🍬♧ ,2,0,1h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
