comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
"Nak percaya apa lagi dengan PMx cakap , semua prinsip dia gadai",@mhmirfan1,Muhammad Irfan ,994,0,1d ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
madani tu bermaksud masukkan anak dan bini,@imranizzahlovers,Laksamana Sunan ,736,0,23h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
"pada pandangan saya,jangan mengata dekat orang lain nanti tuhan pulang kan balik dekat kita 😌😌",@kaiden1p,(⌐■-■) ,53,0,1d ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
"saya org kerajaan tapi pendirian saya mcm tuan, yg betul sokong yg bcanggah kita bantah",@zackyusef,Zack ,582,0,1d ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
walau tak bayar gaji tu hanya alasan untuk menutup kronisme dan nepotisme...kalau bayar gaji lagi damage orang serang...#kerajaankeluarga,@mamu_aziz01,Mamu Aziz 💛🤍💙 ,364,0,1d ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
org ph nie mane nmpk...betol semua😂,@noorcyma,Noorcyma ,221,0,22h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
Harini rambut tak pacak sebab jel dah habis 😂,@thaqibshaker,Thaqib Shaker ,74,0,1d ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
Lapiji mane..nyorok ke?atau tgh pikir formula lain..,@aimar2306,Aimar2306 ,52,0,23h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
Ni saya setuju walaupun saya penyokong dsai,@shahirahmdnor93,Shahirah Md Nor ,59,0,23h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
ni bru betul family planning,@ahfiezurasyardina94,Ahfiezurasyardina ,31,0,7h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
Sat lg lantik bini pulok penasihat kementerian pembangunan keluarga,@sepnak1r,Sep Nakir ,19,0,8h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
betulah bnyak orang belajar bidang lain kerja bidang lain …contoh nya engineering ke penasihat kanan ekonomi😂,@zikribasir_,zikribasir_ ,41,0,1d ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
harga minyak pun dia blh kencing..tambah yg lain..,@jrscopio,Rizaiena ,34,0,5h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
Satu Malaysia kena game 😂,@meuzangelo,Zhongli ,25,0,3h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
Kerajaan keluarga 🤣,@damndanialll,Danial ,11,0,1d ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
Itu pon macai ph backup🤣,@martin.szan,𝙨𝙯𝙖𝙣 𝙢𝙖𝙧𝙩𝙞𝙣⚡️ ,0,0,9m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
betul tu.sy setuju,@nunidalina,Nuni ,0,0,10m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
ini bmakna anwar x yakin pd rapiji utk urus ekonomi.. asyik2 pormula ja,@shukbaja1,gunner ,0,0,13m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
aku hanya mampu 😂😂😂😂😂😂,@kakipai69,kakipai ,0,0,13m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
ni semua kerana dendammm yg tersirat,@muratrejab,muratrejab ,0,0,19m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
kalau tak jadi menteri kewangan..sapa nak korek cerita lama..😂😂🤣😂boleh tahan payment kerajaan dulu🤣😂,@ishakpaklangyusoff,Ishak Paklang Yusoff ,0,0,19m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
hah suddaaahh 🤣🤣,@nellzrs,NellzRs ,0,0,20m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
😂😂😂 berat 66,@norhidayahjusoh28,hidayah beuty ,0,0,20m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
Ni bru family tree,@izwannshah,Izwann Shah ,0,0,22m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
"kalau ambik org yg memang da dlm mengurus kementerian ekonomi sebelum ni, sapa berani nk buka mulut",@mr.gilbert3917,gg ,0,0,22m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
betul......,@jaususbandan,jaususbandan ,0,0,33m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
"pmx nk ckp sblm jd pm,dh jd pm kuasa ada kat dia biaq p la, kita bt reja kira dh pala pn tk sakit",@puteh6887,puteh #paklong ,0,0,34m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
saya ulang 😅😅😅😅,@jatrohaizat,Rohaizatjat ,0,0,38m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
hadaplah...kn dia seratus kali lg elok dri pm yg sudah2🤣🤣,@hamzahasri132,hamzahasri132 ,0,0,41m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
"nti ambik org lain,kena gaji sudah..baik ambik yg tiada gaji tk membazir duit kerajaan bayar gaji😅",@wvv3112,Wvv3112 ,0,0,46m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
Yg ini memang dh betul2 salah...,@raphaelkieta,Jude86 ,0,0,51m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
kalo dia berkelayakkn biar jela..,@arumi_muhammad,Nur Amiera Azwa ,0,0,52m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
patutlah aku terbau sesuatu. rupanya ada bau bau kroni ni,@toughguy910,normalguy ,0,0,52m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
Kita punya pakar ekonomi belum keluarkan lagi formula dia ni…lama duk tunggu 😂,@blank_540,Romeo ,0,0,53m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
xlama ni bro,@pokjo8989,pokjo8989 ,0,0,56m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
pro pn 😂,@almahdi.follower,Anonymous ,0,0,59m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
tugas nurul untk membantu PMX di Pejabat follow up hal hal penting dlm hal ekonomi dan kewangan karena PMX terlalu sibuk dgn tugas PM.,@ssbtmy65,ssbtmy ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
jenuh cai pH nk bekap konsep nuo..,@bam_carte9,khoun-thoul ,1,0,1h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
prinsip xdak mase bergabung dgn umno lg,@dahkkenape,bakpolaguni ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
😁😁😁😁 sedara2 hormat PM10 sedara2 hormat sedara2 😁😁,@berrysiam,berrysiam yala ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
Family party 😂,@__miku97,MYLOO ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
ok jer...yang penting buat kije,@hafizanbelut,hafizanbelut ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
"Sekarang jelas Dan nyata...
masa jadi pembangkang mcm2 mengata...
bila dah ada kuasa dia buat balik apa yg dia balun sebelum ini...",@brozamkl,BroZamKL ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
KITA SOKONG DSAI 100000%,@richardqee,Richard Qee ,1,0,1h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
"kalau ambik org org yg ada akepentingan kpd so polan polan sebelum, cam mna nk selongkar",@mr.gilbert3917,gg ,0,0,24m ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
"Betul tu,ambil orng lain pun jangan beri gaji..setuju..tak?",@kelabulelang,kelabu71 ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
okay tengok kesan dulu,@anymmm8,Mystery ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
hahaha hancing,@hantuair16,廾丹几卞凵　丹工尺１６ ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
😂😂😂 kita tengok show,@lismasudarso,Lisma1303🌹 ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
amik lge kang ada je yg meroyan😂😂😂,@imanisa7,zaini80 ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
Tahhh... Nasiblah..,@illustrakeraff,Illustra Keraff ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,20.8K,3949,2100,1d ago 
