comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
Nurul Izzah Anwar terbaiklah,@shafiija,shafiija ,84,0,2022-10-24,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
dekat nak PRU turun laa main... lepas tu hampeh 😁😁😁😁,@halimyusuff29,user7642119558832 ,43,0,2022-10-25,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
"ank2 menteri lain pakaian sopan cm ni dak,,didikan agama dari ayahanda Anwar Ibrahim dan Wan Azizah",@mohamadalibinhash4,mohamadalibinhash4 ,42,0,2022-10-24,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
PH TERBAIKKK PILIHAN RAKYAT MALAYSIA 🇲🇾 🇲🇾 MALAYSIA 🇲🇾,@azroy173,Azroy ,53,0,2022-10-24,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
Steady pkr.. Puteri reformasinya versitile,@mohmamedapandi1,Mohmamed Apandi ,39,0,2022-10-24,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
i love u YB..PH terbaik,@azizi_a9,Azizi-••- ,26,0,2022-10-24,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
"Steady puteri reformasi.. PH, dsai terbaik",@pojie1972,pojie1972 ,19,0,2022-10-24,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
hadir support PH 💪💪,@nazihsopian,Nazihsopian ,17,0,2022-10-24,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
"Puteri reformasi.
Hati cekal malah tabah dgn pelbagai ujian.
Moga Allah permudahkan segala perjuangan beliau dn PH",@aizad77,Aizad77 ,10,0,2022-10-24,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
terbaikkkk YB 🥰,@aishah_humaira94,Aishah Humaira ,7,0,2022-10-24,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
hidup PH...,@user2879764028719,user2879764028719 ,5,0,2022-10-24,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
terbaik yb,@shafiqvivian,shafiqvivian ,7,0,2022-10-24,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
satu2 YB wanita yg sentiasa kekal dgn baju kurung nya.. terbaik lah,@hajikhairulkebal,Haji Khairul Kebal ,0,0,2022-11-26,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
sempoi nurul izzah😂😂😂,@qasehq350,HUTANrimba ,0,0,2022-11-25,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
mcm tk biasa 🏸😊😊👍,@yogaliu05,Rendy rendy ,0,0,2022-11-25,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
MashaAllah🥰🥰🥰,@asyaasya865,Abdul malik ,0,0,2022-11-25,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
comel,@hardevkhera,Hardev khera ,0,0,2022-11-24,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
betui tu 🤣🤣🤣,@ainajie,Norini Farina ,0,0,2022-11-20,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
"pintar
cantik
baju sopan dan kemas ja",@nurulpendi98,nurulpendi98 ,0,0,2022-11-20,2023-01-30,https://www.tiktok.com/@ybdrnorlelaariffin/video/7157924341907262747,10.8K,298,271,2022-10-24
