comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,sentiment
"Salute to you, your dad and mom for the sacrifices to the nation !",@lanrms,BgMSLan ,67,0,2022-11-27,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,positive
Your lucky 🥰,@cgsalamah,Salamah ,0,0,1-14,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,positive
Maasyaallah🤲🤲😊😊,@akimiewanja94,Akimiewanja ,0,0,1-12,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,negative
"Selamat mbak, Insyallah DSAI akan Tetap Amanah, dan salah Satu Tokoh Dunia yg selame ini saye Kagumi betape istiqomahnye beliau...",@terasalamgir,Sastra Irawan ,0,0,1-12,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,positive
🙏💯👰011😘🙏👰🙏,@ridzuanwan9595,💣🌺⚓🇲🇾Ridzuan🇲🇾wan🇲🇾357 ,0,0,1-10,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,negative
Alhamdulillah.... Tahniah YB.. Sekalung Kesyukuran,@cintahatiammar,cintahatiammar ,0,0,1-6,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,negative
alhamdulillah,@rohani3231,Rohani323 ,0,0,2022-12-26,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,negative
so handsome 🥀🥀 and so sweet 😍😍😍,@alimdsujon5,alimdsujon5 ,1,0,2022-12-22,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,positive
Terbaek 🙏,@musafirkelana75,Amalan tekun ,0,0,2022-12-3,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,positive
semoga selalu diberi kesehatan kepada bapak dan diberi kebahagian kepada family tercinta....Aamiin...yrb...,@user12343149670225,rianamaria ,0,0,2022-12-2,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,positive
terbaikk,@abdulhajalkawasa,abdulhajalkawasa ,0,0,2022-12-2,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,negative
"salute to you Yb Nurizah and your family, may God bless DSAI & Dr wan Azizah.",@dorisgeorge1,🐉 Doris George 🐉 ,0,0,2022-12-2,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,positive
happy family 👍👍👍😁😁😁,@panjang700,😎Fendi22 ,1,0,2022-12-1,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,negative
bahagia,@yaholo55,yaHOLOSOYAHOya55 ,0,0,2022-12-1,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,negative
salam dari sabah.amen keluarga yang terbaik,@user5449982269852,user5449982269852 ,0,0,2022-12-1,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,positive
"Maaf,jadi ketua xleh marah2 dh boh😅",@zulaimizulaimi9682065,Amie😅💜💚💖💛🤲🙂🇲🇾 ,0,0,2022-11-30,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,negative
Indonesia hadir,@bennyben5,Benny Ben ,1,0,2022-11-30,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,neutral
hai Nurul Izzah..selam dri Sabah..pendalaman tenom..,@ahloiahloi,Ahloi Ahloi ,0,0,2022-11-30,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,neutral
hi izzah,@princesrokero,princesrokero ,0,0,2022-11-30,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,neutral
keluarga contoh..terbaik..Alhamdulillah,@ubiekbiek,wawizaqwan ,1,0,2022-11-30,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,positive
assalamualaikum sis. semoga sentiasa di dalam lindungan Allah swt sekeluarga dan happy family....Amin yaa rabb,@artabibabirin,artabibabirin ,1,0,2022-11-30,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,positive
so sweet,@shankardurai58,shankardurai58 ,1,0,2022-11-30,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,positive
tabik spring🥰🥰🥰🥰,@user927209278,user2527451419796 ,0,0,2022-11-30,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,negative
Salute to you and your family🌹🌹🌹🌹🌹🌹,@zaydee778,user1086980415109 ,0,0,2022-11-30,2023-01-30,https://www.tiktok.com/@avp.world/video/7170375573208960283,77.1K,1176,779,2022-11-27,negative
