comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
Betul ramai yg berkelayakan akan tetapi ada ke yang nak kerja free sebab semua nak bergaji 😁,@mardianahanipah,Titisan Aroma💙Raindroptherapy ,60,30,2d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
"tak slh kasi ak,dia boleh bljr dari ayahnya,cara uruskan ekonomi..PM bukan makin muda...tak kn suruh lobai dan Midin 😂😂",@pemerikumang,Pemeri Kumang ,88,107,2d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
Saya lantik isteri saya sebagai finance advisor...kawalan baik,@amronman,Amronman ,317,21,3d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
MADANI - Menteri Anwar Datin Azizah Nurul Izzah. Inilah kabinet dapur. Advisor ni sbb menteri ekonomi busy.,@farid.adli,farid.adli ,29,1,1d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
"Bang yg ni aku sokong bang.. Kita sokong kalau betul, tolak kalau salah.. Jangan buta hati jd pentaksub",@jackpot9988,Jackpot888 ,6,0,1d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
"gaji x amik, tp dr segi kuasa?",@shin_kaf_ro_ya,Shin_Kaf_Ro_Ya ,13,3,2d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
luar tabie ni,@drzulkafperi,Zulkafperi Hanapi ,89,14,2d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
"Walau tak bergaji pun, mesti, semua urusan kena guna kemudahan dan liabiliti pejabat kementerian kan!??",@tengkushawal,Tengku Shawal ,45,2,2d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
akan ada conflict of interest bang,@dolahkacak123,dolahkacak128 ,180,9,3d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
"camni, pasni beli je mesin popcorn yg besar tu. byk movie nak kuar ni bang.. tunguuuuuu😂😂",@timemaster18,Time Master427 ,70,2,2d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
tolong lantik saya utk jadi PA abg..saya ada sijil UPSR.,@mohd_bc,Mohd Bc zain ,85,3,3d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
aku setuju dengan pandangan saudara ni. kenapa tak lantik yang lebih pakar ?? jika ada keperluan disitu...,@misz_nina_,MiSZ NiNA ,9,0,2d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
anak beranak .,@bangjat03,bangjat03 ,115,10,2d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
pro bono tapi ada semua elaun ada atas jawatan tu,@hakim_masterpiece75,mrHakim_masterpiece ,45,24,2d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
family planning😂😂😂,@fatah1_7,pota ,99,3,3d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
i think y not appoint you @Nazri Hamdan for that position... 😂😂😂 y not kan? 😁,@wahida.nor,Adeenda.Shop ,19,3,2d ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
Saya okey je🥰🥰🥰,@cgsalamah,Salamah ,0,0,43m ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
Kalau xde experience x bergaji xde mslh...yg masalah lantik penasihat Perdana Menteri bergaji tp xde qualifications...dan2x buat kerja pulak....,@fernismilan,FerN9 ,0,1,2h ago ,2023-02-01,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9152,2804,643,2023-1-29
