comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
English dan susunan kata2 dia lagi power dari Ismail Sabri dan Muhyidin 😂,@ore517,Oreo13 ,1130,32,2022-8-4,2023-02-01 17:17:30.198654,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
Bakal pm wanita pertama negara 👍,@mei_azmir,Ruki ,914,22,2022-8-2,2023-02-01 17:17:30.198654,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
Lain sangat dia ni dgn anak2 menteri lain. Jauh beza,@ninaazahari,M I Z . N I N A ,128,1,2022-8-25,2023-02-01 17:17:30.198654,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
sy bgi ruang utk Dato Sri Anwar Ibrahim PRU nanti... try,@ahmadie912,ahmadie912 ,66,5,2022-8-4,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
sy harap lah ayah beliau dpt jdi PM secepat mungkin.. perbetulkan kewangan Malaysia skrg..dah penat sngt dgn harga brg naik tak setimpal dgn gaji..,@ohqalfique,QALL ,39,3,2022-8-30,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
"Nurul Izzah, Rafizi & KJ adalah harapan golongan muda utk memimpin Malaysia",@7blacknight77,BlackKnight ,8,0,2022-9-7,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
Nurul izzah terbaik,@khanzakhil69,Khanz Akhil ,239,1,2022-8-2,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
semasa PH mentadbir kerajaan persekutuan kenapa duduk diam dan senyap....,@azrulhisham75,Angah Tambak ,79,43,2022-8-2,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
Takde merapu meraban cerita bapak rindu kopi ah cheong la ape la..her words very convincing,@famirul_jiji,Jiji_ArjunaInderaKesuma ,14,0,2022-8-31,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
dia ni dgn wany hasrita muka dkt² iras.. anak politician yg hidupnya utk politik dan negara.,@munchkin_1379,Munchkin_XoXo ,46,5,2022-8-2,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
Simple English dan senang nak faham apa dia sampaikan,@rena_masni,RenaHamdan ,8,0,2022-8-27,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
"tak fokus dgn apa yg dia sampaikan,tp fokus dgn skin muka dia lawa sgt glowing/bersih jer...produk apa lh yg dia guna 😅🤭",@murni_izzneykitchen,MuRni_IzzneyKitchen🤍💞 ,10,0,2022-8-26,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
hebatnya wanita dgn kelebihan yg Allah berikan dan digunakan sebaiknya..that great,@zaraefa79,🍂زهراء🍂 ,46,1,2022-8-2,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
"Bagi Saya Rakyat Biasa Politik M'sia Dah Rosak Teruk, Banyak Isu Kotor.
Tapi Bagi Yg Betul2 Berjuang, Semoga Dipermudah Urusan. Aamiinn..",@projekbangdin,Muhammad Dean ,31,0,2022-8-4,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
tercompare pulak dgr org yg ckp “i think women is not born to be a leader” 😂😂😅,@shedollss,shedollsss11 ,18,1,2022-8-4,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
alhamdulillah.. powerful.. support her..,@abgchikmelaka3,abg long fad ,20,0,2022-8-4,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
u r the best nurul izzah,@nuralishailaali,nuralishailaali ,32,0,2022-8-2,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
Utk jd pemimpin bkn atas ckp kosong tp tunjukn jiwa rakyat turun Padang bntu rakyat Sana sini .tu yg lbh utama.,@naslsnas,naslsnas ,15,2,2022-8-3,2023-02-01 17:17:30.206747,https://www.tiktok.com/@jason.yew/video/7127163734233025819,31.3K,1464,1810,2022-8-2
