comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
tah dahi mana la kita nak tahu dia xambil gaji.bukti xde .ke tiap2 bulan nulu ijah siakan dalam tv slip gaji dia.pmx putar alam,@bea_jue,BeA JuE🪶 ,34,16,1d ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
btul jugak kn😅 tp xpalah..dia merancang..kita doa baik2…sbb dah langgar prinsip dia sndri..,@g_bolah,GengBOLAH ,37,2,1d ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😂😂 lawakla anak beranak ni,@norshafiqahsazali,norshafiqahsazali ,168,7,1d ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
jujur sgt statement ini....ini lah kebenaran 😂,@mashimashi82,Mashi Mashi82 ,43,2,1d ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
"ok la tu tdk bergaji, jimat juga, tiada pembeziran, Anuar memang terbaik,..",@batrisyahbalqis,Den ,6,1,5h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
Alhamdulillah Allah kurnia kerajaan terbaik DSAI,@rosleeabdkadir,rosleeabdkadir ,26,9,1d ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😂😂😂😂walaun koyak😁,@royeffendie,royeffendie ,10,0,10h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
btul la tu bncang kt meja smbil2 mkn mlm pon bole brtanya kt izzah tu😂,@she.1806,NOr.S ,26,0,1d ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
betol tu abg saya sokong,@aminhks83,md amin hks ,0,0,16m ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😂😂,@norlizakamalariff,norlizakamalariff ,0,0,20m ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
betul2,@fazliali570,fazliali507 ,0,0,59m ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
setuju tuan 😅😅,@adyanaein85,Adyana Ein ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
RAMAI WALAUN TAKUT NURUL IZZAH TLG ANWAR SBB SEGALA KEBOCORAN ZAMAN PN ADA DLM KEMENTERIAN ITUUU....kita tgguuuuu hasilnyaaa.,@fahrin2928,fahrin2928 ,2,1,1h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
sungguh jugak noh...,@ctshery83,ctshery83 ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
Alamak abg jujur sgt ni,@umardeedat,umardeedat ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
itu lerr he3,@azlinaalia,azlinaalia ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😅😂😂,@sitihawafaisal86,Sulaman hawa ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
jenuh cai nk backup😂😂,@abesekben,🇹🇭Abe Sekben🇵🇸 ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
meroyan..terus walauuun..😅,@shahrir6,ayob ,4,0,3h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😁😁😁😁betul tu sy sokong,@rayzack84,rayjack ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
kul saya,@walleslyjal,walleslyjal ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
👍,@nurfarhana820,Rosmah mohammad ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😂😂,@rashidanuar4111982,rashid anuar ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
kena sangat ni...😂😂,@eima_amin,eimaamin2108 ,1,0,5h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
org PN kan.. tak hbis lagi,@tangkapdianak,TangkapDia ,3,2,5h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😂😂😂😂😂,@sarifahmaimunah57,Sarifah Maimunah392 ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
betul juga ..kat rmh pun blh minta pandangan..dari pada lantik cam ni kan dah kena dgn rakyat,@guynextdoor95,GuyNextDoor ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
teringat kata kata bang mat Kat dsnr,@adidu888,adidu888 ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
Dia guna kuasa 10 tu... Dulu ada sorang kt klate kuasa 10 skg ni dh terduduk... Kuasa 10 dsai dh ambil hahaha,@waklu218,waklu218 ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😂😂,@ewanchai1911,ewanchai1911 ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
betul la tu,@tricktokzakaria,ZAKARIA91 ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😂,@fatinninji,Fatin Ninji ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
Kannnnn😂,@miabracelet,Bracelet Malaysia ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😂,@zukie65,zukie@jerrr ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
alhamdulillah..kerajaan dsai terbaik,@hanizaiza109,hanizaiza109 ,2,0,7h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😁,@chehanifasuriani,Che Hanifa Suriani ,0,0,9h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😂😂😂😂,@mohdizwansafawi,Izwan Zurich ,0,0,11h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
"megah holding..papa,anak😅😅😅😅",@cikkembang76,cikkembang76 ,1,2,11h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂,@boszat,Boszat💚🤍 ,0,0,11h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂,@normaahhh,n.samala ,0,0,12h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
"weyhhh,win😂😂😂😂",@skid_row89,Skid_row89 ,0,0,16h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
Btol ckp abg sy sokong... Mne ade org pgg jwtan trtggi tmpa dpt gaji kn nmpk sgt lh nipis...,@faudzan_zalina,user7069265995446 ,3,0,17h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😂😂😂terbaik sgt..lawak LA KO ni..betol la admin kaannnn,@sitizakiah39,Siti Zakiah691 ,1,0,18h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😂,@milokosongais8183,🇲 🇮 🇱 🇴Kosongais 8183 ,0,0,19h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😳😳,@madiganu1,jas ,0,0,19h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
setuju bang..,@norhazilajunohila,norhazilajunohila ,1,0,19h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
"betul la tu x ambik gji, mungkin dia byr sebagai consultant kot. Wallahu a’lam",@muhamadnorisa95,muhamad nor isa ,0,0,19h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
kena panggil mat sebu susun ayat bagi power 😅😅,@hantu2221,MiZi TRJ ,0,0,19h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
saya pn,@palipapali,Pali ,0,0,19h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
kelakor woo PH ni🤣🤣,@bot_jongo,user1314531456125 ,0,0,19h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
Pusing² kat situ jgak..😂,@love_gmail_com,🦋🎭Nur Qaseh🎭🦋 ,0,0,19h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
🤣🤣🤣🤣,@fazreenor93,fazreenor93 ,0,0,20h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
"@anwaribrahimofficial
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",@aqdan11,FAKTA ,0,0,20h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
"Dengar Tu Zah,😂",@syahgreat,Syer ,0,0,20h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
"ok da tu..senang bincang.kot2 kt opis sibok,bleh bwk kerumah..g kje skali.escort skali.mkn skali.eh smua skali lah..😅😅",@umarrharith,HarithUmar ,0,0,20h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
Ini parah😂😂😂,@aliahusna1321,Sharmina_Mina ,1,0,20h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
adoiii.....😅😅,@syidataib,syeeda ,0,0,20h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
🤭🤭,@shima.wahab,Shima Wahab | 🍰🍪🍪 ,0,0,20h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😂😂😂,@akmamaa1,Akma Maa ,0,0,20h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😂😂tepatttt bang,@muhamadrazisaleh,razi ,1,0,21h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
betul tu bang.. 🤣🤣🤣,@amieazmi505,amieazmi505 ,0,0,21h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
Hadoii....mcm apa daaa....,@kakrose0606,Rose ,0,0,21h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
👍🏻👍🏻👍🏻,@razaliyunus78,razaliyunus78 ,0,0,21h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
betul betul betul,@pakkareem17,pakharim ,0,0,21h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
alhamdulillah..gandingan mantap,@kuc1ngh1txm,kuc1ngh1txm ,0,0,21h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
padu....bro,@jembo_luncai,Jembo ,0,0,21h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
BETUL TUUU,@mohamat_faizal,Mohamat Faizal405 ,1,0,21h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
group menahan diri mane 😂😂,@ahlan_wasahlan90,Ahlan_wasahlan90 ,0,1,22h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
2X5,@tokzacx,Zacxzicxzoucx ,0,0,22h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
Tkpa depa smua btul,@safeemuhamadrusli,Safee Muhamad rusli ,1,0,22h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
Betul2,@zalln86,Zall86 ,1,0,22h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
betul...,@syarinasamad,Syarina Samad ,0,0,22h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂😂😂,@norazizahselahhudin,norazizahselahhudin ,0,0,22h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😁,@bakhtiarnoor4,Bengal Cat Bat ,0,0,23h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
🥰🥰,@perniagaannamenz,Namenz ,0,0,23h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
😂betol,@lindalynn66,Linda Lynn ,0,0,23h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
betulah tu bro,@sahrudindin432, ,0,0,23h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
hahaha..betoi ..,@sisayu78,sisayu ,0,0,23h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
Betul3 😂😂😂,@yatiwahit,Yati Wahit ,0,0,23h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
betol2..,@kabusmalam3,Kabus Malam76 ,0,0,23h ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
stomach burn ❤️‍🔥,@shiva_0478,shiva_0478 ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
"teringat sketsa pm ke menteri kwngn, mnter proceed, pm approve. sape yg ckp masa kempen dulu ek? hahaha.",@alimadini84,see see ,1,0,1d ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
syukur .pmx terbaik.kerajaan peepaduan makin PADU,@ajliman,man ,1,0,1d ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
betul sngt tu bro..mantap💪🏻💪🏻,@azman4263,azman4263 ,1,0,1d ago ,2023-02-01,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,3796,908,339,2023-1-31
