tiktok_link,tiktok_description,tiktok_hashtag,Username,Views,posted_date,extracted_date
https://www.tiktok.com/@mooda.my/video/7194376150649441562,"Haritu cakap lain, harini jadi lain pulak. Amacam ni Datuk Seri? #mooda  #edutainment  #fyp  #trending  #politik  #pmx  #nurulizzahanwar  #nepotisme  #anakberanak  ",#mooda #edutainment #fyp #trending #politik #pmx #nurulizzahanwar #nepotisme #anakberanak,mooda.my,201.5K,2023-1-30,2023-02-01
https://www.tiktok.com/@saudagar7store/video/7194103553718258970,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  ",#fyp #fyp #nurulizzahanwar #lokmanadam #pmx,saudagar7store,344.8K,2023-1-30,2023-02-01
https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  ,#shouldbeme #geng_economist #akantetapi #economics #21kunci,nazrihamdan,135.6K,2023-1-29,2023-02-01
https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  ,#anwaribrahim #nurulizzahanwar #pkr #nepotisme #pakatanharapan #perdanamenteri #menteriekonomi #malaysia #fyp,thaqibshaker,477.8K,2023-1-29,2023-02-01
https://www.tiktok.com/@ratunaga/video/7194729114736151834,,#,ratunaga,186.9K,2023-1-31,2023-02-01
https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak,#,studiogombaksetia,59K,2023-1-31,2023-02-01
https://www.tiktok.com/@jason.yew/video/7194059149716507930,"""Nurul Izzah tidak dibayar gaji/elaun sebagai Penasihat Kanan PM"" - PM Anwar #penasihat  #nurulizzahanwar  #PMX  #MalaysiaMADANI  #KerajaanPerpaduan  #DSAIPM10  #anwaribrahim  #KEADILANuntukSemua  #foryou  ",#penasihat #nurulizzahanwar #PMX #MalaysiaMADANI #KerajaanPerpaduan #DSAIPM10 #anwaribrahim #KEADILANuntukSemua #foryou,jason.yew,483K,2023-1-30,2023-02-01
https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  ,#nurulizzahanwar #penasihat #ekonomi #kewangan #pm10 #anwaribrahim #pakatanharapan #ph #madani,muhdtarmizisik,698.2K,2023-1-30,2023-02-01
https://www.tiktok.com/@edirich769/video/7194481455081213210,,#,edirich769,54.5K,2023-1-31,2023-02-01
https://www.tiktok.com/@teroltv_/video/7128594901314424090,Tahniah buat Datuk Seri Anwar Ibrahim terima menantu baru #TerolTV  #anwaribrahim  #nurulizzahanwar  #viraltiktok  #beritatiktok  #fylpシ  #fypmalaysia ,#TerolTV #anwaribrahim #nurulizzahanwar #viraltiktok #beritatiktok #fylp #fypmalaysia,teroltv_,622.1K,2022-8-6,2023-02-01
https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,Nurul Izzah tidak dibayar elaun/gaji Sebagai Penasihat kanan PM - DSAI #pmx  #anwaribrahim  #malaysiamadani  #fyp  #kerajaanperpaduan  #fypシ  ,#pmx #anwaribrahim #malaysiamadani #fyp #kerajaanperpaduan #fyp,dsai.pmx,322.4K,2023-1-30,2023-02-01
https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,Bangun lah wahai rakyat..Anda sedang diperbodohkan😆 Bangun lah lap air kencing Anwar tu😑 #fyp  #pakatanharapan  #partianakberanak  #anwarpenipurakyat  #anwaribrahim  #nurulizzah  #politik  #malaysia  ,#fyp #pakatanharapan #partianakberanak #anwarpenipurakyat #anwaribrahim #nurulizzah #politik #malaysia,pejabatrakyat,41K,2023-1-30,2023-02-01
https://www.tiktok.com/@sampoisgt/video/7195123409401941275,#PMX  #nurulizzahanwar  ,#PMX #nurulizzahanwar,sampoisgt,8931,2023-2-1,2023-02-01
https://www.tiktok.com/@raggiejessyrithaudeen/video/7195131764279414018,"ANWAR TERPERANGKAP, MEDIA ANTARABANGSA PERTIKAI PELANTIKAN ZAHID, NURUL IZZAH",#,raggiejessyrithaudeen,1313,2023-2-1,2023-02-01
https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,Nurul Izzah Anwar jadi Penasihat PM tanpa gaji. Ada yang bergaji pun tak buat apa 🤣🤣🤣 #Malaysia  #DemiPertiwi  #KitaKawan  #MalaysiaMadani  #Perpaduan  ,#Malaysia #DemiPertiwi #KitaKawan #MalaysiaMadani #Perpaduan,kenmohamadofficial,1051,2023-1-30,2023-02-01
https://www.tiktok.com/@zorojr963/video/7194022286431767834,,#,zorojr963,5177,2023-1-29,2023-02-01
https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,M.A.D.A.N.I  MY ANAK DAN BINI…#fypシ゚viral  #kroni  #pnbest  #pas  #pobm  #ph  #umnomalaysia  #sembangkencang  #tolakpakatanhancing👎  ,#fyp #kroni #pnbest #pas #pobm #ph #umnomalaysia #sembangkencang #tolakpakatanhancing,ibnurrahmat81,1031,2023-1-30,2023-02-01
https://www.tiktok.com/@kakirepott/video/7194018817687719194,untung anak papa #anwarzahid  #nurulizzahanwar  #fyp  #fyphoiyahoi  ,#anwarzahid #nurulizzahanwar #fyp #fyphoiyahoi,kakirepott,28K,2023-1-29,2023-02-01
https://www.tiktok.com/@jebatgila7/video/7194274622777445658,#malaysia  #pakatanharapan  #zahidhamidi  #anwar  #rafiziramli  #fyp  #kroni  #kerajaanlawak  #pas  #barisannasional  #perikatannasional  #tuanguruhajiabdulhadi  #abah  ,#malaysia #pakatanharapan #zahidhamidi #anwar #rafiziramli #fyp #kroni #kerajaanlawak #pas #barisannasional #perikatannasional #tuanguruhajiabdulhadi #abah,jebatgila7,850,2023-1-30,2023-02-01
https://www.tiktok.com/@rakannurulizzahanwar/video/7165536128626478362,Nurul Izzah Anwar ✅✅✅✅ Ciri-ciri yang boleh bawak perubahan ✊🏼 #NurulIzzahAnwar  #HARAPAN  #pru15  #KitaBoleh  #ge15  #myPM  ,#NurulIzzahAnwar #HARAPAN #pru15 #KitaBoleh #ge15 #myPM,rakannurulizzahanwar,296.2K,2022-11-14,2023-02-01
https://www.tiktok.com/@pinography/video/7141988315120651547,HEBAT! TERUSKAN PERJUANGAN PUTERI REFORMASI YANG HEBAT DALAM PERJUANGANNYA. #nurulizzahanwar  #nurulizzah  #malaysia  #hebat  #debat  #perjuangan  #pkr  #ummo  #muda  #dap  #amanah  #pn  #barisannasional  #pakatanharapan  #parlimen  #parlimenMalaysia  #wanita  #menteri  #fight  #politik  #politics  #politicians  #ahliparlimen  #merdeka  #fyp  #fypage  #fypシ  #fyppppppppppppppppppppppp  ,#nurulizzahanwar #nurulizzah #malaysia #hebat #debat #perjuangan #pkr #ummo #muda #dap #amanah #pn #barisannasional #pakatanharapan #parlimen #parlimenMalaysia #wanita #menteri #fight #politik #politics #politicians #ahliparlimen #merdeka #fyp #fypage #fyp #fyppppppppppppppppppppppp,pinography,1.2M,2022-9-11,2023-02-01
https://www.tiktok.com/@boom.malaysia/video/7172401578060696859,"Nakal juga YB Nurul Izzah ni ye, sanggup panjat tembok demi nak pergi tengok konsert hahha.  #trending  #viral  #beritaterkini  #isusemasa  #nurulizzahanwar  #pakatanharapan  #farafauzana  #hotfm  #assunta  #gosipartis  #artismalaysia  #hangat  #panas  #fyp  #foryoupage  ",#trending #viral #beritaterkini #isusemasa #nurulizzahanwar #pakatanharapan #farafauzana #hotfm #assunta #gosipartis #artismalaysia #hangat #panas #fyp #foryoupage,boom.malaysia,211.5K,2022-12-2,2023-02-01
https://www.tiktok.com/@azurenolyn/video/7172835234956741915,Santai santai je ye..Sedap dengar suara Nurul Izzah ni 🥰 sopan tapi tegas..#fypシ゚viral  #fyppppppppppppppppppppppp  #dsaipm10  #reformasi  #nurulizzahanwar  #puterireformasi  ,#fyp #fyppppppppppppppppppppppp #dsaipm10 #reformasi #nurulizzahanwar #puterireformasi,azurenolyn,265.6K,2022-12-3,2023-02-01
