comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
Alhamdulillah asyik nya JD anak bisa jaga orang tua sambil bekerja untuk negara ...selain pahala ahkirat dapat dunia dapat Karna bekerja untuk rakyat,@elsaparini3,elsaparini85 ,231,5,1d ago ,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
"comel tul sweet tgk DSAI oh DSAI
Izzah comel🥰",@evlynnes,evlynnes ,111,2,1d ago ,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
Msalahnya dgn org belakang DSAI skali kena cucuk dgn Nurul Izzah 😂😂,@_firdausizulkifly,firdausi ,47,5,1d ago ,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
Comel. Kenapa x leh save. Nak simpan. 🥰🥰🥰,@sweeetnys,Nys ,29,0,1d ago ,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
dsai tu traf fidel castro n sukarno...leh sembang bjam2 tnpa yg mndengar rse bosan,@user3563961919001,joi ,86,4,1d ago ,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
Comelnya 2 beranak ni,@norhazidahbtyusof,norhazidahbtyusof ,10,0,1d ago ,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
semoga Allah permudahkan segala urusan dsai Aamiin ya Rabbal Alamin 🤲,@samsuriesa,samsuriesa ,64,1,1d ago ,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
"ta lh..ank pandai mcm tu la...senang, Kita Tak tau tanya ank..apa salahnya?may b nk tanya org laen Kita malu..minta nasihat ank, lg bagui.🥰",@ijrexcell,I.J 55 ,49,6,1d ago ,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
terserlah kemesraan. ahli keluarga ini.....semoga success,@razakramly,razakramly ,94,1,1d ago ,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
senang kja anak beranak save duit mnyak kereta ..boleh bawak bekal cokkodok pisang 😂😂😂😂🥰🥰,@aidakasim2,Aida Kasim ,23,2,1d ago ,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
ank suruh bapa sdh sdhla tu bckp nti smpi sok x hbs2😂,@brendavalencia150,brendavalencia ,11,0,1d ago ,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
🥰🥰🥰🥰,@eyanis73,anis73 ,0,0,2023-2-3,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
🥰🥰🥰🥰🥰,@user6018717752846,user6018717752846 ,0,0,2023-2-3,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
🥰🥰🥰🥰🥰,@rogayah080,LADY BOSS - ROGAYAH ,0,0,2023-2-3,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
😂,@ladyfiona88,乛ＦＩ〇ＮＡ ,0,0,2023-2-3,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
Father and daughter cute moments,@user3995724775772,user3995724775772 ,1,0,2023-2-3,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
🥰,@yinmarina625,yinmarina625 ,0,0,2023-2-3,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
🥰,@aisyudolzpa,###03 ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
🥰🥰,@nppsaemahtaris,saemahtaris ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
anak dan bapa TERBAIK,@_nannn46,nan rempit 🚀⚡ ,1,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
🥰,@khairisue,KhairiSue ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
🥰,@sansanmaran,san san maran ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
🥰🥰🥰🥰🥰,@vanithasri25,VanithaSri25 ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
kentut pon comel,@adiewan02,adiewan ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
🥰🥰🥰,@aliyahnurul547,aliyahnurul547 ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
😂😂😂,@jimmywrx28,jimmywrx28 ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
😁😁🥰🥰,@nita_erissa,Nita Erissa ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
comel Izzah ...😂😂😂,@papaarockerz0,Boss papaa® ,1,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
😁😁,@iamrazaliothman,Razali Othman ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
Good family bonding,@adamkhan_56,Adam khan ,1,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
Nurul Izzah sporting dgn bapak nya😁,@aeddeyjoe,aeddeyjoe ,1,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
ANAK TERBAIK HIBURKAN HATI AYAH.,@roselanjais4351,roselanjais4351  LAN ,2,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
🙏🙏🥰🥰 GENIUS MANTAN YB NURUL 👍👍,@norzilanabubakaro,Norzilan Abu Bakar ,1,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
"klu sya pun ,sya nk anak jd penasihat ..sbb muda lgi .. alert",@liza_2826,LIZA BINTI GAMIN ,2,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
"pasti,wajib,harus malaysia akan terkenal dan menjadi modul d mata dunia d bawah pemerintahan dsai..semoga kekal sihat dan ceria selalu 🤲🙏👏✌️👍💯✅",@rajatanah81,Hartanah utara ,2,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
🥰🥰🥰😂😂😂😂,@dhengnarra,dhengnarra ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
🥰,@borneo1support,PAKAI DULU SANA ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
comel nye Nurul Izah menyakat bapa nye DSA....Mesra 2 beranak ni,@kalsommaulud558,kalsommaulud558 ,2,0,2023-2-2,2023-02-03,https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,7574,337,166,2023-2-2
