comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
Jnji x sakau duit rakyat jln trus yb nurul izzah..bt y terbaik untk rakyat😊,@nadia.uddin,Cik Nad Channel ,50,25,4d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
menteri ank brank hebat aura phacing kan..😅😅😅,@wan_hilmin,parok nisey ,25,2,4d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
PH terbaik untuk rakyat malaysia 👍🤠🇲🇾,@adananbbsb,adananbbsb ,23,1,4d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
Tiada pernah seorang pemimpin pun sebelum ini yg berkhidmat tanpa ambil gaji . Terima kasih DSAI & Nurul Izzah .,@soleil_5778,Soleil ,7,0,2d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
dh xdak ada org lain lg dahh...🤣🤣🤣🤣,@redhawk714,REDHAWK ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
😂😂😂,@mohdasmawingah0,Mohd Asmawingah ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
😂😂😂😂😂,@sarifahmaimunah57,Sarifah Maimunah392 ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
"cari lah dulu siapa PM tak nak terima gaji dan elaun, penasihat yang tak de gaji dan elaun, kerja free 100%, than kami fikir balik nak undi siapa",@mikrotikrouter7679,mikrotikrouter7679 ,0,2,2d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
kerajaan untuk keluarga malaysia,@ummiehanifah,ummiehanifah ,0,0,3d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
😂😂😂,@ceobasikal,CEO Basikal ,1,0,3d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
😂😂😂😂😂,@joetanjung78,JoeTanjung ,0,0,3d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
Jangan tuduh dlu kita tgk mcm mana dlm 5 tahun ni,@renaalove89,sweetpie ,1,1,3d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
😁😁😁,@1979papazola,papa zola ,1,0,3d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
Anak anak dia org sahaja yg pandai dan belajar Luar Negara.. Banyak lagi anak Muda kita kat Luar Negara yg Hebat,@shahrizal980,user159085604001 ,2,1,3d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
tak puashati dari lantikan pmx hingga kini. kena mandi bunga ni nk pulihkan smgt😎😎😎😎,@user61936863055986,user6193686305598 ,2,0,3d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
luluskn kwsp,@syarinasamad,Syarina Samad ,1,2,3d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
hanya pemimpin kerajaan madani shja boleh buat apa sja..pemimpin2 parti lain tak boleh ikut buat.,@noromobakti,user6771610964194 ,2,4,3d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
hahaha... anak papa...,@napie_hke,napie hke ,0,0,3d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
He..hee,@suriyamansor,Suriya Mansor ,0,0,3d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
"Terbawa2 slogan pm lm, keluarga msia....ni lah contohnya😂😂😂😂😂",@luakbuapak,LuakbuapakN9 ,0,0,3d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
huhuhu,@wawa1273,wawa ,0,0,3d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
ni dinamakan parti anak beranak lebih baik rakyat x g mengundi haritu.,@zanaariffin560,zanaariffin560 ,2,1,3d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
Terima kasih DSAI dan Nurul Izzah kerana pengorbanan utk berkhidmat utk rakyat & negara tanpa ambil 1 sen pun duit rakyat .,@soleil_5778,Soleil ,0,0,2d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
tahniah 🥰🥰🥰,@hairisabri,Hairi Sabri ,1,0,4d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
family business,@ravindranarsenal,Ravindran ,0,0,4d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
janji x de 3-5%😂😂,@jebat6748,jebat 6748 ,1,0,4d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
Koyak ke😂😂,@maliki8464,mr m ,0,1,4d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
kerajaan anak beranak,@0afgccdfba,FGCCDFCA//PENGEJARIMPIAN ,0,0,4d ago ,2023-02-03,https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,623,322,88,2023-1-30
