tiktok_link,tiktok_description,tiktok_hashtag,Username,Views,posted_date,extracted_date
https://www.tiktok.com/@mooda.my/video/7194376150649441562,"Haritu cakap lain, harini jadi lain pulak. Amacam ni Datuk Seri? #mooda  #edutainment  #fyp  #trending  #politik  #pmx  #nurulizzahanwar  #nepotisme  #anakberanak  ",#mooda #edutainment #fyp #trending #politik #pmx #nurulizzahanwar #nepotisme #anakberanak,mooda.my,236.1K,2023-1-31,2023-02-03
https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  ,#shouldbeme #geng_economist #akantetapi #economics #21kunci,nazrihamdan,140.1K,2023-1-30,2023-02-03
https://www.tiktok.com/@saudagar7store/video/7194103553718258970,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  ",#fyp #fyp #nurulizzahanwar #lokmanadam #pmx,saudagar7store,371.4K,2023-1-30,2023-02-03
https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  ,#anwaribrahim #nurulizzahanwar #pkr #nepotisme #pakatanharapan #perdanamenteri #menteriekonomi #malaysia #fyp,thaqibshaker,484.2K,2023-1-30,2023-02-03
https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,Macam kena baju dengan berita.. 😅 #fyp  #fypシ  #fyppppppppppppppppppppppp  #fyppppppppppppppppppppppp  #tiktokmalaysia  ,#fyp #fyp #fyppppppppppppppppppppppp #fyppppppppppppppppppppppp #tiktokmalaysia,the_sleepyhead90,283.8K,2023-1-31,2023-02-03
https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,"Comel je tengok gelagat anak dengan bapak macam nie 😂 Nurul Izzah dilantik sebagai Penasihat Kanan Ekonomi dan Kewangan kepada Perdana Menteri Malaysia, Dato Seri Anwar Ibrahim #nurulizzah  #anwaribrahim  #dsai  #pakatanharapan  #fypシ  #foryou  #foryourpage  ",#nurulizzah #anwaribrahim #dsai #pakatanharapan #fyp #foryou #foryourpage,funnyhippopotamus,476.9K,2023-2-2,2023-02-03
https://www.tiktok.com/@ratunaga/video/7194729114736151834,,#,ratunaga,234.4K,2023-2-1,2023-02-03
https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak,#,studiogombaksetia,68.5K,2023-1-31,2023-02-03
https://www.tiktok.com/@jason.yew/video/7194059149716507930,"""Nurul Izzah tidak dibayar gaji/elaun sebagai Penasihat Kanan PM"" - PM Anwar #penasihat  #nurulizzahanwar  #PMX  #MalaysiaMADANI  #KerajaanPerpaduan  #DSAIPM10  #anwaribrahim  #KEADILANuntukSemua  #foryou  ",#penasihat #nurulizzahanwar #PMX #MalaysiaMADANI #KerajaanPerpaduan #DSAIPM10 #anwaribrahim #KEADILANuntukSemua #foryou,jason.yew,486.8K,2023-1-30,2023-02-03
https://www.tiktok.com/@ainurhassim/video/7195181136845229318,,#,ainurhassim,8077,2023-2-2,2023-02-03
