comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
setuju kak.. masa kempen dulu banyak isu yg dia pertikai tp sekarang dia yg buat.lepas ni xtau apa plak,@jango1391,husseni ,5,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
Kak part berlakon “Izzah… papa “ tu comel 😂😂,@mymyrul,mymyrul ,0,0,2m ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
betul tu.....,@lahhassan33,Abdullah Hassan ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
betul sangat,@ruhainitamohdnor,Ruhainita Mohd nor ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
setuju sgt..,@faridahibrahim18,Faridahibrahim ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
yg ckp tu bukan apa sis takut kena pecat,@nor50372,nor ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
tahniah PMX dan Nurul Izzah ...teruskan kerja2 baik dan abaikan semua kritikan yang tak membina,@dssprit,ouvert d'esprit ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
Betul tu...👍,@senyumsokmo33,upinipin ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
saya sokong,@rohanimohdsaat,amy ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
😂😂😂😂,@akuahad,AkuAhad ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
Setuju sgt...100% hujah U.....,@mawarberduri993,Nor Mala ,0,0,2023-2-3,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
kalu bagi peluang la... che kak ni boleh ke kerja tanpa dapat gaji mcm izah tu,@roslihashim852,roslihashim852 ,1,0,2023-2-3,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
betul sangat,@user9077883205758,user9077883205758 ,0,0,2023-2-3,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
