comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
"Tak perlu pakar, rakyat mahrem biasa pun boleh tgk sendiri kepelikan kerajaan sedia ada skg nie.",@anzrhrn,anzrhrn ,452,15,4d ago ,2023-02-04,https://www.tiktok.com/@bendabetul/video/7194750017557597466,11.7K,1370,1025,2023-1-31,175.1K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oU9Eh1l7oEAKAEYwxTI3DrfcBdhYnHt4ASBMzi~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/f5831d8e46af4cf5823adbdf9793a0d3.image?x-expires=1675530000&x-signature=GXF%2FeiXg3waza3kpe72oa4ryuh4%3D
"Uturn selagi mampu, cakap tak serupa bikin, kerajaan paling mengarut dalam sejarah pernah tertubuh 🤣",@itsme_yt99,Mr. Yusuf 🎖 ,287,8,3d ago ,2023-02-04,https://www.tiktok.com/@bendabetul/video/7194750017557597466,11.7K,1370,1025,2023-1-31,175.1K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oU9Eh1l7oEAKAEYwxTI3DrfcBdhYnHt4ASBMzi~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/f5831d8e46af4cf5823adbdf9793a0d3.image?x-expires=1675530000&x-signature=GXF%2FeiXg3waza3kpe72oa4ryuh4%3D
Allah sedang tunjukkan satu persatu kpd rakyat mana intan mana kaca,@ikeghebuh70,ikeghebuh70 ,133,9,3d ago ,2023-02-04,https://www.tiktok.com/@bendabetul/video/7194750017557597466,11.7K,1370,1025,2023-1-31,175.1K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oU9Eh1l7oEAKAEYwxTI3DrfcBdhYnHt4ASBMzi~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/f5831d8e46af4cf5823adbdf9793a0d3.image?x-expires=1675530000&x-signature=GXF%2FeiXg3waza3kpe72oa4ryuh4%3D
Betul dah tu tun M pecat anwar dulu,@amalnabila93,A M A L N A B I L A 🐰 ,147,1,3d ago ,2023-02-04,https://www.tiktok.com/@bendabetul/video/7194750017557597466,11.7K,1370,1025,2023-1-31,175.1K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oU9Eh1l7oEAKAEYwxTI3DrfcBdhYnHt4ASBMzi~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/f5831d8e46af4cf5823adbdf9793a0d3.image?x-expires=1675530000&x-signature=GXF%2FeiXg3waza3kpe72oa4ryuh4%3D
papa non tau la apa dia buat-cai madani😂,@jabatanpemantauyb,JabatanPemantauYB ,86,5,4d ago ,2023-02-04,https://www.tiktok.com/@bendabetul/video/7194750017557597466,11.7K,1370,1025,2023-1-31,175.1K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oU9Eh1l7oEAKAEYwxTI3DrfcBdhYnHt4ASBMzi~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/f5831d8e46af4cf5823adbdf9793a0d3.image?x-expires=1675530000&x-signature=GXF%2FeiXg3waza3kpe72oa4ryuh4%3D
lantik senyap2 bila kantoi ckp Tak ambil Gaji.. hahaha sbb tu agong segaja pilih Anwar supaya rakyat tahu Dan nampak sendiri,@sulaimanalkelaken,Sulaiman Alkelaken ,60,7,2d ago ,2023-02-04,https://www.tiktok.com/@bendabetul/video/7194750017557597466,11.7K,1370,1025,2023-1-31,175.1K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oU9Eh1l7oEAKAEYwxTI3DrfcBdhYnHt4ASBMzi~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/f5831d8e46af4cf5823adbdf9793a0d3.image?x-expires=1675530000&x-signature=GXF%2FeiXg3waza3kpe72oa4ryuh4%3D
HANCINGS 😂😂😂😂,@megatrizal,megatrizalOMA ,50,2,3d ago ,2023-02-04,https://www.tiktok.com/@bendabetul/video/7194750017557597466,11.7K,1370,1025,2023-1-31,175.1K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oU9Eh1l7oEAKAEYwxTI3DrfcBdhYnHt4ASBMzi~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/f5831d8e46af4cf5823adbdf9793a0d3.image?x-expires=1675530000&x-signature=GXF%2FeiXg3waza3kpe72oa4ryuh4%3D
"kalu tak nak gaji dudk rumah laaa...., 😂😂😂",@ladin.pcb,ladin pcb ,20,0,3d ago ,2023-02-04,https://www.tiktok.com/@bendabetul/video/7194750017557597466,11.7K,1370,1025,2023-1-31,175.1K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oU9Eh1l7oEAKAEYwxTI3DrfcBdhYnHt4ASBMzi~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/f5831d8e46af4cf5823adbdf9793a0d3.image?x-expires=1675530000&x-signature=GXF%2FeiXg3waza3kpe72oa4ryuh4%3D
minyak tak turun lagi ni..dah bape kali 24jam ni..,@rafik_smke,fik2021 ,192,27,3d ago ,2023-02-04,https://www.tiktok.com/@bendabetul/video/7194750017557597466,11.7K,1370,1025,2023-1-31,175.1K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oU9Eh1l7oEAKAEYwxTI3DrfcBdhYnHt4ASBMzi~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/f5831d8e46af4cf5823adbdf9793a0d3.image?x-expires=1675530000&x-signature=GXF%2FeiXg3waza3kpe72oa4ryuh4%3D
"""papanon tau cara nk menjimatkn duit ngara"" demikian kata macai² papanon kepada netizen. Sejurus dgn itu,mereka brsama² melaungkan ""papanon terbaik🤣",@browniesnotshit,mrsv ,128,14,3d ago ,2023-02-04,https://www.tiktok.com/@bendabetul/video/7194750017557597466,11.7K,1370,1025,2023-1-31,175.1K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oU9Eh1l7oEAKAEYwxTI3DrfcBdhYnHt4ASBMzi~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/f5831d8e46af4cf5823adbdf9793a0d3.image?x-expires=1675530000&x-signature=GXF%2FeiXg3waza3kpe72oa4ryuh4%3D
