comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
😂😂😂😂,, ,0,0,3d ago ,2023-02-04,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,35,28,Share,2023-1-30,1072,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675530000&x-signature=MV3v4Yr5Bv7GCOwmw2UPiWdF%2BVQ%3D
"jgn risau, ni pmx dh bncg dgn menteri kewangan sblum ni. konfem keje free 😂",, ,0,0,5d ago ,2023-02-04,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,35,28,Share,2023-1-30,1072,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675530000&x-signature=MV3v4Yr5Bv7GCOwmw2UPiWdF%2BVQ%3D
Ohhh ini rupanya reformasi yg d prjuangkn selama ini... Reform kpd family government,, ,0,0,5d ago ,2023-02-04,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,35,28,Share,2023-1-30,1072,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675530000&x-signature=MV3v4Yr5Bv7GCOwmw2UPiWdF%2BVQ%3D
x dibayar elaun .. faktq tuh.,, ,0,1,5d ago ,2023-02-04,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,35,28,Share,2023-1-30,1072,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675530000&x-signature=MV3v4Yr5Bv7GCOwmw2UPiWdF%2BVQ%3D
Alhmdullah.. Amanah n brakal mula Trbaik 🥰🥰🥰🥰🥰,, ,1,0,5d ago ,2023-02-04,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,35,28,Share,2023-1-30,1072,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675530000&x-signature=MV3v4Yr5Bv7GCOwmw2UPiWdF%2BVQ%3D
itu mata2 ayahnya...hahaha...terbaikk DSAI,, ,2,0,5d ago ,2023-02-04,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,35,28,Share,2023-1-30,1072,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675530000&x-signature=MV3v4Yr5Bv7GCOwmw2UPiWdF%2BVQ%3D
Madani.. Melantik anak dan bini😂😂😂,, ,3,3,5d ago ,2023-02-04,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,35,28,Share,2023-1-30,1072,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675530000&x-signature=MV3v4Yr5Bv7GCOwmw2UPiWdF%2BVQ%3D
saya ulammmmm,, ,2,0,5d ago ,2023-02-04,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,35,28,Share,2023-1-30,1072,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675530000&x-signature=MV3v4Yr5Bv7GCOwmw2UPiWdF%2BVQ%3D
Untunglah..sayang papa..,, ,0,0,5d ago ,2023-02-04,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,35,28,Share,2023-1-30,1072,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675530000&x-signature=MV3v4Yr5Bv7GCOwmw2UPiWdF%2BVQ%3D
kerajaan anak berank😂😂😂😂😂😂😂,, ,0,0,5d ago ,2023-02-04,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,35,28,Share,2023-1-30,1072,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675530000&x-signature=MV3v4Yr5Bv7GCOwmw2UPiWdF%2BVQ%3D
