comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
kerajaan ydpa dh jadi kerajaan papanon...lepas ni lantik ajijah jd menteri kiri ekonomi..lengkapla,@nset2022,NS Engineering & Trading ,33,13,5d ago ,2023-02-04,https://www.tiktok.com/@kakirepott/video/7194018817687719194,335,484,42,2023-1-29,29.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675530000&x-signature=CxLYbbc%2BWbI8ML%2BkuI6Q15zPTzQ%3D
🤣🤣🤣 kelakor tgok PKR Parti Kencing Rakyat niii,@redhawk714,REDHAWK ,31,18,5d ago ,2023-02-04,https://www.tiktok.com/@kakirepott/video/7194018817687719194,335,484,42,2023-1-29,29.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675530000&x-signature=CxLYbbc%2BWbI8ML%2BkuI6Q15zPTzQ%3D
Apa nak herankan kuasa PM melantik yg dia fikirkan layak...sama juga mcm PM8 dahulu yg lantik penasihat dia Azumo.,@mkshah.official,MK Shah ,14,8,5d ago ,2023-02-04,https://www.tiktok.com/@kakirepott/video/7194018817687719194,335,484,42,2023-1-29,29.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675530000&x-signature=CxLYbbc%2BWbI8ML%2BkuI6Q15zPTzQ%3D
nepotisma anak bapak plus bini....dn penyamun kita geng gak..😃😃😃😃,@hairie1972,hairie1972 ,12,2,5d ago ,2023-02-04,https://www.tiktok.com/@kakirepott/video/7194018817687719194,335,484,42,2023-1-29,29.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675530000&x-signature=CxLYbbc%2BWbI8ML%2BkuI6Q15zPTzQ%3D
xtgok berita ke..xde gaji pun..knpe peja d lantik penasihat PM8 bertaraf menteri dpt gaji lg..xbising pun 🤣🤣,@zbr121576,jangan sentap 😎 ,25,17,5d ago ,2023-02-04,https://www.tiktok.com/@kakirepott/video/7194018817687719194,335,484,42,2023-1-29,29.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675530000&x-signature=CxLYbbc%2BWbI8ML%2BkuI6Q15zPTzQ%3D
"Kalau tak bayar gaji tak jadi masalah pun bantu,kalau kerajaan 33 bulan tu semua ambil gaji mcm2 jawatan di wujudkan utk perkukuhkan sokongan.",@fawfez,FawFaz ,32,22,5d ago ,2023-02-04,https://www.tiktok.com/@kakirepott/video/7194018817687719194,335,484,42,2023-1-29,29.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675530000&x-signature=CxLYbbc%2BWbI8ML%2BkuI6Q15zPTzQ%3D
"tkpa stgi geng nu kata kami percaya dengan tindakan bang non lagipon bang non kan berucap tak pakai teks, jalan laju, haaa apa lagi",@nabilbinahmad,naben ,6,4,5d ago ,2023-02-04,https://www.tiktok.com/@kakirepott/video/7194018817687719194,335,484,42,2023-1-29,29.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675530000&x-signature=CxLYbbc%2BWbI8ML%2BkuI6Q15zPTzQ%3D
"M=melantik
A=anak
D=datuk seri
A=anwar
N=nurul
I=izzah",@cahaya_hayati74,CahayaHayati ,9,7,5d ago ,2023-02-04,https://www.tiktok.com/@kakirepott/video/7194018817687719194,335,484,42,2023-1-29,29.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675530000&x-signature=CxLYbbc%2BWbI8ML%2BkuI6Q15zPTzQ%3D
3 jan dh dilntik rupanyer.lntik snyap2 ke tu😂,@she.1806,NOr.S ,6,0,5d ago ,2023-02-04,https://www.tiktok.com/@kakirepott/video/7194018817687719194,335,484,42,2023-1-29,29.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675530000&x-signature=CxLYbbc%2BWbI8ML%2BkuI6Q15zPTzQ%3D
PH the best,@63theva,Theva ,9,4,5d ago ,2023-02-04,https://www.tiktok.com/@kakirepott/video/7194018817687719194,335,484,42,2023-1-29,29.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675530000&x-signature=CxLYbbc%2BWbI8ML%2BkuI6Q15zPTzQ%3D
