comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
so simple but very sweet..tahniah YB,@marriejan,Marrie Jan ,270,0,2022-8-6,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
Klu anak najib kawen ni x boleh simple mcm ni 😂😂,@mizie_gaviria,emirio_mizie🇲🇾 ,514,19,2022-8-6,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
Dia dh khwn kli kdua.mst dia tknk bazirkn duit untk mjlis besar besaran.,@user25411819298020,user2541181929802 ,304,12,2022-8-6,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
mcm nak pergi sidang parlimen jee dia punya nikah 😂 simplee n baguss takjadi tumpuan media,@its.ridzz,Ridhuannnnnn🕊 ,157,0,2022-8-6,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
Ya allah mudahnya kalau simple macamni 😭😭,@liyanayasmina,Yana ✨ Skincare & Takaful ,94,1,2022-8-6,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
suke tengok cara kesederhanaan nurul izzah dan ibunya..,@awana_biru79,awana_biru79 ,9,0,2022-8-10,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
Bila bagi contoh yg baik insyallah mmg keluarga anwar blh pimpin negara,@oranghidup027,orang ,16,0,2022-8-6,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
simple je Nurul izzah🥰🥰🥰,@ilove_islam430,Aliah Ita ,90,0,2022-8-6,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
kawen pun simple...tahniah Yb .Moga kekal hinggak ke akhir hayat,@cikniza3,CikNiza ,86,0,2022-8-6,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
melapas lagi aku... Izah dah kawin...aku hanyalah bertepuk sebelah tangan lagi 😭😭😭🤟✌️,@zizie767,zizie767 ,7,0,2022-8-6,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
melepas lg aku😅,@ahmadbendalib,Ga Bisa Bahasa Inggris ,15,4,2022-8-6,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
"Simple n meaningful.. Just family terdkt... Tahniah, moga kekal hingga jannah...",@irisirdinarose,-🧕- ,16,1,2022-8-6,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
Simple Dan cantik sgt🥰🥰🥰,@qibum,Qibum ,9,0,2022-8-6,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
ermmm..kecewe nyer saya..🥺,@followerzero0,シ︎Zero ,14,1,2022-8-6,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
Menantu baru? Nurul Izzah pernah kawin ya sebelum ni?,@__fatinamirah__,fatin🌿 ,5,5,2022-8-6,2023-02-04,https://www.tiktok.com/@teroltv_/video/7128594901314424090,15.1K,272,347,2022-8-6,622.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675530000&x-signature=qzCZMeG9h2NxD6ZK4u4gh%2Fni7F8%3D
