comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
"Assalamualaikum selamat petang Datuk,
alhamdulillah tu lah yg terbaik sebab negara kita sudah lama hanyut kerana Rasuah!!",@buangbruno327,ct khadeeja ,246,7,2023-1-31,2023-02-07,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,17.5K,1615,1406,2023-1-31,491.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675767600&x-signature=tp9cTU4rAVB0EKxeRxo%2F%2BqcCBLY%3D
alhamdulillah terbaik PMX...tanpa gaji Nurul Izzah berkhidmat... semoga Nurul Izzah murah rezeki 🤲,@putradanish2023,Hanya Pada mu™ ,266,22,2023-1-31,2023-02-07,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,17.5K,1615,1406,2023-1-31,491.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675767600&x-signature=tp9cTU4rAVB0EKxeRxo%2F%2BqcCBLY%3D
keep going DSAI..pedulik kan lalat..,@izzrizizz,has ,290,6,2023-1-31,2023-02-07,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,17.5K,1615,1406,2023-1-31,491.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675767600&x-signature=tp9cTU4rAVB0EKxeRxo%2F%2BqcCBLY%3D
Terbaik,@saharuddino79,Haziqi Saharuddino 267 ,63,0,2023-1-31,2023-02-07,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,17.5K,1615,1406,2023-1-31,491.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675767600&x-signature=tp9cTU4rAVB0EKxeRxo%2F%2BqcCBLY%3D
Nurul ini kecerdikan dia lain daripada lain. Cuba menonton youtube video2 lama atau pun baru semasa Nurul on the stage.👍👍👍,@kalai1969,KALAI ,43,3,2023-2-1,2023-02-07,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,17.5K,1615,1406,2023-1-31,491.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675767600&x-signature=tp9cTU4rAVB0EKxeRxo%2F%2BqcCBLY%3D
beruk kerja panjat pokok kelapa pun ada upah pisang. inikn pulak perdana menteri dn menteri kewangan. halahh halahh.,@nanann503,aikallo ,42,22,2023-2-3,2023-02-07,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,17.5K,1615,1406,2023-1-31,491.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675767600&x-signature=tp9cTU4rAVB0EKxeRxo%2F%2BqcCBLY%3D
🥰🥰🥰terus kan..baru Negera Kita boleh lebih maju..you are the best...🥰🥰🥰,@iazhee,Iazhee ,16,0,2023-2-1,2023-02-07,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,17.5K,1615,1406,2023-1-31,491.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675767600&x-signature=tp9cTU4rAVB0EKxeRxo%2F%2BqcCBLY%3D
sekadar cakap ini semua hendak ambil hati rakyat sampai dekarang pun tak sda perubahan rskyat susah ekonomi,@ghaniosman0,Ghani Osman2825 ,12,13,2023-2-4,2023-02-07,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,17.5K,1615,1406,2023-1-31,491.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675767600&x-signature=tp9cTU4rAVB0EKxeRxo%2F%2BqcCBLY%3D
DSAI terbaik utk hindar pembaziran.Walaun tetap hati hitam.,@krtcendana,CENDANA KRT ,162,16,2023-1-31,2023-02-07,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,17.5K,1615,1406,2023-1-31,491.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675767600&x-signature=tp9cTU4rAVB0EKxeRxo%2F%2BqcCBLY%3D
"woww, Nurul professional Dan berpelajaran tinggi, terbaik💪💪💪😍",@zebbaismail,Zebba99 ,153,1,2023-1-31,2023-02-07,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,17.5K,1615,1406,2023-1-31,491.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675767600&x-signature=tp9cTU4rAVB0EKxeRxo%2F%2BqcCBLY%3D
"Sokong pmx melantik Nurul Izzah sebagai penasihat pejabat menteri,Dato' Sri mesti menyiasat kes geran tanah pusaka telah di curi di pulau Pinang.",@mohdkamalkamal267,mohdkamalkamal267 ,20,0,2023-1-31,2023-02-07,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,17.5K,1615,1406,2023-1-31,491.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675767600&x-signature=tp9cTU4rAVB0EKxeRxo%2F%2BqcCBLY%3D
saya sokong Anuar chakap semua,@tehahhuat,uncle teh ah huat ,96,1,2023-1-31,2023-02-07,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,17.5K,1615,1406,2023-1-31,491.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675767600&x-signature=tp9cTU4rAVB0EKxeRxo%2F%2BqcCBLY%3D
"walaun xpernah knl erti lelah untuk memburukkkan kita,kita kasi deme panas lagi.",@cikartciko,Art Ciko ,50,4,2023-1-31,2023-02-07,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,17.5K,1615,1406,2023-1-31,491.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675767600&x-signature=tp9cTU4rAVB0EKxeRxo%2F%2BqcCBLY%3D
