tiktok_link,tiktok_description,tiktok_hashtag,username,tiktok_views,posted_date,tiktok_image,extracted_date
https://www.tiktok.com/@saudagar7store/video/7194103553718258970,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  ",#fyp #fyp #nurulizzahanwar #lokmanadam #pmx,saudagar7store,383.2K,2023-1-29,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675767600&x-signature=WY2WqvOXXraoZ316bggBtxsoGxQ%3D,2023-02-07
https://www.tiktok.com/@mooda.my/video/7194376150649441562,"Haritu cakap lain, harini jadi lain pulak. Amacam ni Datuk Seri? #mooda  #edutainment  #fyp  #trending  #politik  #pmx  #nurulizzahanwar  #nepotisme  #anakberanak  ",#mooda #edutainment #fyp #trending #politik #pmx #nurulizzahanwar #nepotisme #anakberanak,mooda.my,246.8K,2023-1-31,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/f08336acf7324d968077dbe324c945e9_1675071260~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1211bfb1fb244d64b45c7a308422eb92.image?x-expires=1675767600&x-signature=tfFHnY3TSjjWMAVMXvKxbu1Tl3c%3D,2023-02-07
https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  ,#shouldbeme #geng_economist #akantetapi #economics #21kunci,nazrihamdan,146.2K,2023-1-29,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/5bcbf1b2fab14f7eb11b7e173ffb50ee_1674992768~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d7bc3117b5ca46e6abeabd2f86620dcb.image?x-expires=1675767600&x-signature=GDGzOxix442D%2FXWMj3hGJ%2FGy0yQ%3D,2023-02-07
https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,"Comel je tengok gelagat anak dengan bapak macam nie 😂 Nurul Izzah dilantik sebagai Penasihat Kanan Ekonomi dan Kewangan kepada Perdana Menteri Malaysia, Dato Seri Anwar Ibrahim #nurulizzah  #anwaribrahim  #dsai  #pakatanharapan  #fypシ  #foryou  #foryourpage  ",#nurulizzah #anwaribrahim #dsai #pakatanharapan #fyp #foryou #foryourpage,funnyhippopotamus,563.1K,2023-2-2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/8ba79301c3e54c298f19aa14fb8dad59_1675245952~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d6ea58013d93463db02adfd8bf8e9502.image?x-expires=1675767600&x-signature=RDGi%2F6k%2BQ%2FMZse%2BncyJkxS0ePbU%3D,2023-02-07
https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  ,#anwaribrahim #nurulizzahanwar #pkr #nepotisme #pakatanharapan #perdanamenteri #menteriekonomi #malaysia #fyp,thaqibshaker,487.6K,2023-1-29,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,2023-02-07
https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,Nurul Izzah tidak dibayar elaun/gaji Sebagai Penasihat kanan PM - DSAI #pmx  #anwaribrahim  #malaysiamadani  #fyp  #kerajaanperpaduan  #fypシ  ,#pmx #anwaribrahim #malaysiamadani #fyp #kerajaanperpaduan #fyp,dsai.pmx,491.3K,2023-1-31,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675767600&x-signature=tp9cTU4rAVB0EKxeRxo%2F%2BqcCBLY%3D,2023-02-07
https://www.tiktok.com/@ratunaga/video/7194729114736151834,,#,ratunaga,264.2K,2023-2-1,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/okEZVZIgefAeuDZoOCrJCsbqyfnBGEBQGCBH6x?x-expires=1675767600&x-signature=RQzN5RaXer3a2bOmg8yutrgvNdE%3D,2023-02-07
https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,Macam kena baju dengan berita.. 😅 #fyp  #fypシ  #fyppppppppppppppppppppppp  #fyppppppppppppppppppppppp  #tiktokmalaysia  ,#fyp #fyp #fyppppppppppppppppppppppp #fyppppppppppppppppppppppp #tiktokmalaysia,the_sleepyhead90,303.3K,2023-1-31,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675767600&x-signature=%2FikXpsN7qHUpcCqdgIHOR90ddUA%3D,2023-02-07
https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak,#,studiogombaksetia,75.8K,2023-1-31,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUD1YjfBr9khC4fVVFIBWbAPO8QN8tPXhj1Epz?x-expires=1675767600&x-signature=uauFoQHkG4%2FqzuMDd5MdYPlRIJI%3D,2023-02-07
https://www.tiktok.com/@jason.yew/video/7194059149716507930,"""Nurul Izzah tidak dibayar gaji/elaun sebagai Penasihat Kanan PM"" - PM Anwar #penasihat  #nurulizzahanwar  #PMX  #MalaysiaMADANI  #KerajaanPerpaduan  #DSAIPM10  #anwaribrahim  #KEADILANuntukSemua  #foryou  ",#penasihat #nurulizzahanwar #PMX #MalaysiaMADANI #KerajaanPerpaduan #DSAIPM10 #anwaribrahim #KEADILANuntukSemua #foryou,jason.yew,489.4K,2023-1-29,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/718dc500cdbd4f9da28e3ff2a6fc2490_1674997430?x-expires=1675767600&x-signature=cO%2BFdK02U8GGaYcr0SFR1Ltoe1w%3D,2023-02-07
https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  ,#nurulizzahanwar #penasihat #ekonomi #kewangan #pm10 #anwaribrahim #pakatanharapan #ph #madani,muhdtarmizisik,766.3K,2023-1-29,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675767600&x-signature=2XO0jHG0evq0qfQTtMHw7FpE06U%3D,2023-02-07
https://www.tiktok.com/@ainurhassim/video/7195181136845229318,,#,ainurhassim,12.8K,2023-2-2,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,2023-02-07
https://www.tiktok.com/@teroltv_/video/7128594901314424090,Tahniah buat Datuk Seri Anwar Ibrahim terima menantu baru #TerolTV  #anwaribrahim  #nurulizzahanwar  #viraltiktok  #beritatiktok  #fylpシ  #fypmalaysia ,#TerolTV #anwaribrahim #nurulizzahanwar #viraltiktok #beritatiktok #fylp #fypmalaysia,teroltv_,622.9K,2022-8-6,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/7a5db6c4806e4fe3b3408faacf5abe22?x-expires=1675767600&x-signature=uzIoAZPkhmZZhyqW2rlidbNXZcg%3D,2023-02-07
https://www.tiktok.com/@bendabetul/video/7194750017557597466,Mula-mula lantik diri sendiri untuk jawatan Menteri Kewangan. Lepas tu lantik anak sendiri pulak jadi penasihat ekonomi dan kewangan. Reformasi tu memang bungkus terus la kot. #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah ,#bendabetul #fyp #reformasi #pakatanharapan #perikatannasional #anwaribrahim #pmx #nurulizzah,bendabetul,184.5K,2023-2-1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oU9Eh1l7oEAKAEYwxTI3DrfcBdhYnHt4ASBMzi~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/f5831d8e46af4cf5823adbdf9793a0d3.image?x-expires=1675767600&x-signature=O7%2FHOe5NkOZtahqC%2FMFFc4xSokg%3D,2023-02-07
https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,Padunya kuasa anak Papa #kerajaanluartabii  #papaanwar  #phsayangzahid  #fyphoiyahoi  #puterireforbasi  #nurulizzah  ,#kerajaanluartabii #papaanwar #phsayangzahid #fyphoiyahoi #puterireforbasi #nurulizzah,sara.bakri2,236.4K,2023-2-1,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675767600&x-signature=gBviABI7JOzX4o%2BX9c%2FaLjXIfgw%3D,2023-02-07
https://www.tiktok.com/@pejabatrakyat/video/7194085372186397979,Bangun lah wahai rakyat..Anda sedang diperbodohkan😆 Bangun lah lap air kencing Anwar tu😑 #fyp  #pakatanharapan  #partianakberanak  #anwarpenipurakyat  #anwaribrahim  #nurulizzah  #politik  #malaysia  ,#fyp #pakatanharapan #partianakberanak #anwarpenipurakyat #anwaribrahim #nurulizzah #politik #malaysia,pejabatrakyat,61.6K,2023-1-29,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owfHfHsUNAl7BrUtgI4orDePU2H9fRQHGEEGtQ?x-expires=1675767600&x-signature=Pz0t51VJ6gywdgh7f6YVwrQKrNo%3D,2023-02-07
https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,Nurul Izzah Anwar jadi Penasihat PM tanpa gaji. Ada yang bergaji pun tak buat apa 🤣🤣🤣 #Malaysia  #DemiPertiwi  #KitaKawan  #MalaysiaMadani  #Perpaduan  ,#Malaysia #DemiPertiwi #KitaKawan #MalaysiaMadani #Perpaduan,kenmohamadofficial,1130,2023-1-31,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675767600&x-signature=lHPXe1aYHLmJmACC7JDJAAfy2to%3D,2023-02-07
https://www.tiktok.com/@kakirepott/video/7194018817687719194,untung anak papa #anwarzahid  #nurulizzahanwar  #fyp  #fyphoiyahoi  ,#anwarzahid #nurulizzahanwar #fyp #fyphoiyahoi,kakirepott,31.2K,2023-1-29,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675767600&x-signature=QHJna2XYikRIBByn4SbEl0iXpHM%3D,2023-02-07
https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,M.A.D.A.N.I  MY ANAK DAN BINI…#fypシ゚viral  #kroni  #pnbest  #pas  #pobm  #ph  #umnomalaysia  #sembangkencang  #tolakpakatanhancing👎  ,#fyp #kroni #pnbest #pas #pobm #ph #umnomalaysia #sembangkencang #tolakpakatanhancing,ibnurrahmat81,1096,2023-1-29,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675767600&x-signature=UlDkwINCarH94nAUBKYFYDjXWGI%3D,2023-02-07
https://www.tiktok.com/@edirich769/video/7194481455081213210,,#,edirich769,68.4K,2023-1-31,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675767600&x-signature=ElLGUZ%2FdRPpIpftnpP5seyhFJpk%3D,2023-02-07
https://www.tiktok.com/@jebatgila7/video/7194274622777445658,#malaysia  #pakatanharapan  #zahidhamidi  #anwar  #rafiziramli  #fyp  #kroni  #kerajaanlawak  #pas  #barisannasional  #perikatannasional  #tuanguruhajiabdulhadi  #abah  ,#malaysia #pakatanharapan #zahidhamidi #anwar #rafiziramli #fyp #kroni #kerajaanlawak #pas #barisannasional #perikatannasional #tuanguruhajiabdulhadi #abah,jebatgila7,1332,2023-1-30,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ogfQgSZxAQJCzKPjVh0BDH3MVDQYIBeuXmB1bn?x-expires=1675767600&x-signature=9F73Y6Y%2BvNMszRNyyCjD%2B111f0c%3D,2023-02-07
https://www.tiktok.com/@rakannurulizzahanwar/video/7165536128626478362,Nurul Izzah Anwar ✅✅✅✅ Ciri-ciri yang boleh bawak perubahan ✊🏼 #NurulIzzahAnwar  #HARAPAN  #pru15  #KitaBoleh  #ge15  #myPM  ,#NurulIzzahAnwar #HARAPAN #pru15 #KitaBoleh #ge15 #myPM,rakannurulizzahanwar,297.7K,2022-11-14,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/2bb570822dc14292abc6f2fa2d7dadee_1668356408~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1ef74464e16149a2af188b3854bc6282.image?x-expires=1675767600&x-signature=2bbA3sWR0%2F%2BAcOw15DpJ0Tj00HI%3D,2023-02-07
https://www.tiktok.com/@pinography/video/7141988315120651547,HEBAT! TERUSKAN PERJUANGAN PUTERI REFORMASI YANG HEBAT DALAM PERJUANGANNYA. #nurulizzahanwar  #nurulizzah  #malaysia  #hebat  #debat  #perjuangan  #pkr  #ummo  #muda  #dap  #amanah  #pn  #barisannasional  #pakatanharapan  #parlimen  #parlimenMalaysia  #wanita  #menteri  #fight  #politik  #politics  #politicians  #ahliparlimen  #merdeka  #fyp  #fypage  #fypシ  #fyppppppppppppppppppppppp  ,#nurulizzahanwar #nurulizzah #malaysia #hebat #debat #perjuangan #pkr #ummo #muda #dap #amanah #pn #barisannasional #pakatanharapan #parlimen #parlimenMalaysia #wanita #menteri #fight #politik #politics #politicians #ahliparlimen #merdeka #fyp #fypage #fyp #fyppppppppppppppppppppppp,pinography,1.2M,2022-9-11,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/addece940f2841f0b29d53a01cd906c3_1662873755?x-expires=1675767600&x-signature=XSbRkprCoHmFf5nkAVRaEXP0x%2Bo%3D,2023-02-07
https://www.tiktok.com/@boom.malaysia/video/7172401578060696859,"Nakal juga YB Nurul Izzah ni ye, sanggup panjat tembok demi nak pergi tengok konsert hahha.  #trending  #viral  #beritaterkini  #isusemasa  #nurulizzahanwar  #pakatanharapan  #farafauzana  #hotfm  #assunta  #gosipartis  #artismalaysia  #hangat  #panas  #fyp  #foryoupage  ",#trending #viral #beritaterkini #isusemasa #nurulizzahanwar #pakatanharapan #farafauzana #hotfm #assunta #gosipartis #artismalaysia #hangat #panas #fyp #foryoupage,boom.malaysia,212K,2022-12-2,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/d7b0ee2ca5874297a65b921c2e1c6428_1669954900?x-expires=1675767600&x-signature=36WxvPuA5rSqUG6lpYSYTb52eeE%3D,2023-02-07
https://www.tiktok.com/@potretkehidupan84/video/7139210661128654106,Reply to @mummymithmithhy  betul tu. Nurul Izzah ni dari umur 17 dah struggled dengan mak dia berjuang mempertahankan maruah dan keadilan ayahnya yang dipijak2. Menangis Izzah bila mak dia cerita balik apa dia buat masa umur 17 nak tolong ayah dia.  #wanazizah  #nurulizzah  #nurulizzahanwar  #anwaribrahim  #indonesia  #abangbomba  #bomba  #rafiziramli  #pru15  #ayuhmalaysia  #malaysia  #kakwan  #sajat ,#wanazizah #nurulizzah #nurulizzahanwar #anwaribrahim #indonesia #abangbomba #bomba #rafiziramli #pru15 #ayuhmalaysia #malaysia #kakwan #sajat,potretkehidupan84,422.2K,2022-9-4,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/b6486c2c79554a9293f1b2f742e01370_1662227056?x-expires=1675767600&x-signature=zxIYoXjv%2BYA%2FCeJfqPKnZIbu7wA%3D,2023-02-07
https://www.tiktok.com/@potretkehidupan84/video/7182736583433391386,"Terpaksa private video sebelum ni sebab ramai ingat tu video baru, walaupun dah lama berlalu, semoga semua reformis ingat yg jalan ini tidak mudah, semoga DSAI terus istiqamah #anwaribrahim  #rafiziramli  #nurulizzahanwar  #nurulizzah  #wanazizah  #reformasi  #dsai  #pm10  #sabah  #sarawak  #malaysia ",#anwaribrahim #rafiziramli #nurulizzahanwar #nurulizzah #wanazizah #reformasi #dsai #pm10 #sabah #sarawak #malaysia,potretkehidupan84,594.8K,2022-12-30,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/c13aba152e3548ce84634db785afeeed_1672361230?x-expires=1675767600&x-signature=UDrV%2FLrER8mtdCIFdghBY6rHRoI%3D,2023-02-07
https://www.tiktok.com/@thesiakapkeli/video/7169484657879289115,Anak mana tak bangga dengan ayah sendiri kan 🫶🏼✨ #TrendingNewsMalaysia  #BeritaDiTikTok  #NewsAtTikTok  #nurulizzahanwar  #anwaribrahim  ,#TrendingNewsMalaysia #BeritaDiTikTok #NewsAtTikTok #nurulizzahanwar #anwaribrahim,thesiakapkeli,246.1K,2022-11-24,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/o0AbjefSAFGWTnAlQSINHFV6bSDJfNq8AEEfIO~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/4784718fdcad41bd9730118393566357.image?x-expires=1675767600&x-signature=Jky35RkqQAn8%2Bk9%2F61nGOnGNhXY%3D,2023-02-07
https://www.tiktok.com/@fatimahzahrah88/video/7165763758449609986,Makcik pun dah meluat dah dgn mereka ni. #fyp  #fypviral  #foryoupage  #pakatanharapan  #nurulizzah  #permatangapauh  #tolakph  #pru15  #malaysiamemilih ,#fyp #fypviral #foryoupage #pakatanharapan #nurulizzah #permatangapauh #tolakph #pru15 #malaysiamemilih,fatimahzahrah88,659K,2022-11-14,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/oUrCfeDEBMgbDC4EeGSRA6gjOJIEQvUin8zLDA?x-expires=1675767600&x-signature=e1bYqZvpdo%2F3D0akRxsKiEuMC%2F4%3D,2023-02-07
https://www.tiktok.com/@jason.yew/video/7152885890845576475,Nurul Izzah tiba di Ibu Pejabat KEADILAN untuk mesyuarat khas parti susulan pembubaran Parlimen #PRU15  #pakatanharapan  #undiPH  #nurulizzahanwar  #AyuhMalaysia  #IniUsahaKita  #foryou  ,#PRU15 #pakatanharapan #undiPH #nurulizzahanwar #AyuhMalaysia #IniUsahaKita #foryou,jason.yew,2.4M,2022-10-10,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/26d93466b91a4af08549afd1523a54f4_1665411032?x-expires=1675767600&x-signature=OlqzDI9yvIsMjuqu0K4kJshwj84%3D,2023-02-07
https://www.tiktok.com/@freemalaysiatoday/video/7167925489011592474,#NurulIzzahAnwar  hilang #PermatangPauh  kerusi tradisi keluarga #FMTNews  #KerusiParlimen  #PRU15  #MalaysiaMengundi  #MalaysiaVotes  #GE15  #PRU15  #BeliaSediaUndi  #trendingnewsmalaysia  #beritaditiktok  #fyp  ,#NurulIzzahAnwar #PermatangPauh #FMTNews #KerusiParlimen #PRU15 #MalaysiaMengundi #MalaysiaVotes #GE15 #PRU15 #BeliaSediaUndi #trendingnewsmalaysia #beritaditiktok #fyp,freemalaysiatoday,390.8K,2022-11-20,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/3ef365451cda4cb18d9230f898d86ae5_1668912752~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/47a3207e95ac42a9b433ab0871cc1a28.image?x-expires=1675767600&x-signature=otbkhG1FHPeqW6wkpv6Czl84LPw%3D,2023-02-07
https://www.tiktok.com/@asratmalaysia/video/7116174014896262427,"Ahli Politik yang benar benar belerja untuk rakyat, jawab di akhirat kelak #CapCut  #fyp  #fypシ  #fypシ゚viral  #asratkongsi  #malaysia  #malaysiatiktok  #nurulizzah  #anwaribrahim ",#CapCut #fyp #fyp #fyp #asratkongsi #malaysia #malaysiatiktok #nurulizzah #anwaribrahim,asratmalaysia,288.8K,2022-7-3,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/457ec66a2c85450b989614784f7e9f7c_1656863389?x-expires=1675767600&x-signature=K9MgDV%2BOblOcRH4jXJEF9nMQm9U%3D,2023-02-07
https://www.tiktok.com/@malaysiatimes/video/7117264004560473371,Dato Seri Anwar Ibrahim menjelaskan situasi sebenar ketika Lim Guen Eng menjadi menteri kewangan 👍#AnwarIbrahim # Reformasi # AmiruddinShaari # SaifuddionNasution # AthonyLoke # NurulIzzahAnwar # KamilMunim # DrDzul # RafiziRamli#A damAdli # KeadilanRakyat # Keadilan # PKR # PakatanHarapan # AyuhMalaysia # Seangkatan # fyp # foryourpage ,#AnwarIbrahim #A,malaysiatimes,497K,2022-7-6,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/389859c4249b45a0a89b248567b65975_1657117187?x-expires=1675767600&x-signature=4KrEv%2BPxhubxnSQ4jeOPOS8LxNI%3D,2023-02-07
https://www.tiktok.com/@eytie85/video/7165446285049220379,YB Cantik.. flawless even x mekap #ybcantik  #PH  #pakatanharapan  #permatangpauh  #p044  #nurulizzahanwar  #pilihanmasing2  #fyp  ,#ybcantik #PH #pakatanharapan #permatangpauh #p044 #nurulizzahanwar #pilihanmasing2 #fyp,eytie85,3.7M,2022-11-13,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/8435b50f0466467db4e8160ad68162d6_1668335481?x-expires=1675767600&x-signature=5NaChh3nrkXc46QlIdH7WVG7Dss%3D,2023-02-07
https://www.tiktok.com/@thelassieakasia/video/7170225967019953435,"Dalam kegembiraan meraikan Dato Seri Anwar Ibrahim sebagai PM Malaysia ke-10, Jom sama-sama mendoakan agar Beliau dapat melaksanakan tanggungjawab besar ini dgn sebaik-baiknya  #harapanrakyat  #fyp  #fypp  #fypage  #fypdongggggggg  #fypシ゚viral  #fyppppppppppppppppppppppp  #fypgakni  #anwaribrahim  #dsaipm10  #pm10malaysia  #nurulizzahanwar  #nurulizzah  ",#harapanrakyat #fyp #fypp #fypage #fypdongggggggg #fyp #fyppppppppppppppppppppppp #fypgakni #anwaribrahim #dsaipm10 #pm10malaysia #nurulizzahanwar #nurulizzah,thelassieakasia,124.1K,2022-11-26,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/35c7350d7c72490cbf22b524d490fa2e_1669448338?x-expires=1675767600&x-signature=zTaAHehhp7N8m%2BdC8%2BXb1fjgVUI%3D,2023-02-07
https://www.tiktok.com/@jason.yew/video/7127163734233025819,Jangan terlalu percaya pada orang yang berkuasa #nurulizzahanwar  #ayuhmalaysia  #KEADILAN  #PKR  #KEADILANuntukSemua  #foryou ,#nurulizzahanwar #ayuhmalaysia #KEADILAN #PKR #KEADILANuntukSemua #foryou,jason.yew,828.6K,2022-8-2,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/e49c271a8bff4ec58ef61d9a3a8b9f1e_1659422133?x-expires=1675767600&x-signature=xMmj5cFI4Gyy6oU55Zh4c5wdzgk%3D,2023-02-07
https://www.tiktok.com/@freemalaysiatoday/video/7077815586050346267,"Kerajaan tiada rancangan haramkan #kahwin  bawah umur, kata menteri #FMTNews  #KahwinBawahUmur  #RinaHarun  #NurulIzzah ",#kahwin #FMTNews #KahwinBawahUmur #RinaHarun #NurulIzzah,freemalaysiatoday,121K,2022-3-22,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/f8540c073e76417fbf5d910668f5c52a_1647932362~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/cc233ebac9f043bfa95105c8fc582600.image?x-expires=1675767600&x-signature=%2BcLUqvKkgVat4gG66llpDDW5H7o%3D,2023-02-07
https://www.tiktok.com/@bfmradio/video/7167270732156669211,#BattleForMalaysia  #PRU15  #GE15  #MalaysiaMemilih  #politikmalaysia  #pilihanrayaumumke15  #nurulizzah  #pakatanharapan  ,#BattleForMalaysia #PRU15 #GE15 #MalaysiaMemilih #politikmalaysia #pilihanrayaumumke15 #nurulizzah #pakatanharapan,bfmradio,456.5K,2022-11-18,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/e77f75d3eb1c4fc2ae37aaf5b1ef2e41_1668760309~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/aa7aed91279749c087b04724a5d1ffff.image?x-expires=1675767600&x-signature=GBnLZNHUVlYUmRYZd0D6TVPl1F8%3D,2023-02-07
https://www.tiktok.com/@malaysiatimes/video/7140286600675708186,Skandal penyelewengan kapal LCS. Rakyat harus ingat dan kubur kan mereka yang terlibat dalam skandal ini pada pilihan raya akan datang!   #AnwarIbrahim  #Reformasi  #Kongres16  #AmiruddinShaari  #AdamAdli  #KongresKeadilan  #AthonyLoke  #NurulIzzahAnwar  #KamilMunim  #DrDzul  #RafiziRamli  #KeadilanRakyat  #Keadilan  #PKR  #PakatanHarapan  #AyuhMalaysia  #Seangkatan  #fyp  #foryourpage ,#AnwarIbrahim #Reformasi #Kongres16 #AmiruddinShaari #AdamAdli #KongresKeadilan #AthonyLoke #NurulIzzahAnwar #KamilMunim #DrDzul #RafiziRamli #KeadilanRakyat #Keadilan #PKR #PakatanHarapan #AyuhMalaysia #Seangkatan #fyp #foryourpage,malaysiatimes,291K,2022-9-6,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/c6a7b413998a40cfa38af6973908f8c0_1662477539?x-expires=1675767600&x-signature=I0oabtqNOHizvtIT3ECqfdi2Tg8%3D,2023-02-07
