comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
Mat Rafizi ni kaki putar alam,@vahediey,user7281919497603 ,404,0,2022-11-11,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
undi ph undi dap pangkah PN ..takbir😁😁,@fathulabdrahman,fathulabdrahman ,198,0,2022-11-11,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"Rafizi dah cuak, Tun Daim ramal Pas/PN lead pru 15",@jalrizroze,Jal Rizroze ,41,0,2022-11-12,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Macai RR akan tulis 'Rafizi terbaik '..,@izzuddinali71,Izzuddin A1771🇲🇾 ,43,0,2022-11-11,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Ape yg pelik? Rafizi bkn ade ape2 jwtn dlm krajaan kabinet pn yg ley sakau duit. Hahahaah. Yg pelik menteri ade berbilion😁,@sayangisterianak,Pejuang ,28,0,2022-11-11,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
TAK PE LA BIAR LA DIA YNG PENTING PERIKATAN NASIONAL UNTUK RAKYAT,@makunamakma,POPCORN 🍿🍿🍿🍿 ,134,0,2022-11-11,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
tgk vtt saya bang..sy pon dah kntoikan piji ni,@ariff_ramlan,Ariff_Ramlan ,90,0,2022-11-11,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Kat malaysia je istihar harta kena mcm2😅😅,@hafizzismaaail,hafizmail ,41,0,2022-11-11,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
siapa plak Alif ni.. x pernah jumpa plak dia di petronas...🤣🤣,@zjzuff,ZJ Zuff ,58,0,2022-11-11,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
PN Pilihan Terbaik ✅👍👍👍👍👍,@yumakul,abumundzir ,55,0,2022-11-11,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
#PN is the BEST,@filahq2hussien,Filahq2 Hussien ,8,0,2022-11-16,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"20 dia ckp, satu je yg boleh pakai...🤷",@eepeza1965,eepeza65 ,0,0,5m ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
sape lh undi mamat ni,@mohammadhafidzfiedznhl,Mohammad Hafidz Fied ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Whipped potato,@user9675967450175,Jidda ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
vokal bukan sekadar rupa...,@user9381825547797,onn ,0,0,6h ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
dia cakap berulang kali nnt bila ditanya... yg itu sila tny petronas... yg itu sila tny petronas...🤣🤣🤣🤣,@norany01,NORA ,0,0,8h ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
negara luar dok gelak ja dekat malaysia...mnteri PH smua begap2😂😂😂,@solahuddin_1985,Solahuddin al-ayubi ,0,0,1d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
saya manager kilang sabut pun rm5k starting gaji..xkn gaji manager petronas rm3+++ saja?haha,@izamsmarttrade,IzamSmartTrade ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
hbz 😂la ni,@jbselva6,JBselva6 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
wallahi saya undi pas ..walaun lps amik.sedekah😂😂,@mdzik2,mdzik3 ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
😂,@mrriver3,MR RIVER😃 ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"selagi boleh pusing,pusing ja jangan takot kita caya rafizi boleh pusing lagi",@farez060,Anak no.2 ,1,0,4d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Hanya Jauhati yg kenal Manikam.,@user3960083285207,user3960083285207 ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
😂😂😂,@wanintan.bundlestore,Intan Wan755 ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
😂😂😂😂😂 twist,@pirana_derhaka,💥  𝙈𝙖𝙧𝙞𝙤 💥 ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
