comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
aku tak boleh dgn Rafizi kartun ni ...,@mimidin42,Cikbunga|affiliated 🤗 ,1173,0,6d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
"tahniah kpd pro dap,pkr,amanah, hadaplah korang semua, dgn aku² sekali merasa walaupun aku xsokong pH.",@rizal19_5,Panda man ,1058,0,6d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
"Turun apa, brg mentah mahal gila",@mazuramohd,Mazuramohd ,339,0,6d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
sokong Lg.. terima kasih pengundi,@forestrimba83,shahforest ,357,0,6d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
😂😂,@rinamanap,Yusrina Abd Manap ,0,0,18m ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
turun lori....,@epulrxzy15,Bapak Aliah ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
😂😂😂😂,@ayausook,Dudone.lee ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
"koho naik ado lh,,mhal",@irahnaz,irahnazirah ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
😂😂😂,@shashera20,Sha Shera20 ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
buat masa ni hujan jer turun... kat malaysia😂😂😂😂😂,@zamsalim86,Zam Salim ,0,0,2h ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
Rasanye ayat diee tu yg mhl😂😂,@rizal770706,rizal770706 ,0,0,2h ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
mn ada harga turun..makin naik lg ada la😅,@ctmriam2310,siti mariam ,0,0,2h ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
Rafizi ckp je pndai😂😂,@iwancemuok,inspactor sahak ,0,0,2h ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
😂😂😂😂turun apa,@wakjimabglong,Wak Jim @ abg long ,0,0,2h ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
kita tgk la sapa penyamun skrg...seronok tgk drama skrg ni,@hanaareziezie,卂尺乇乙|乇乙|乇丂ㄩ乇 ,0,0,3h ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7192041764918758683,30.2K,4823,3484,6d ago 
