comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
kena belajar dgn nuar tak payah tgk kertas..,@blackv,AbgLong ,175,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Aduhai menteri. Dulu berapi masa kempen. Skrg dh lemah gemalai 😂😂😂😂,@jonthereds,user9452012691060 ,245,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"PMX gurau dgn press, die pon nak jugakkkk,, fomulaa baiiiiyaaaa",@pharrelsquare,pharrelsquare ,25,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"best la menteri2 PH nie,sporting semua kelakar2 😂😂😂",@syahputra031286,Syah Putra Amry ,140,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Ni la menteri belacan😂😂,@datosham22,Sham Hassan ,50,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"Rafizi ni boss
.",@rumiangkasa,rumiangkasa ,68,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"Formula pakar ekonomi.. Klau ayam dah mahal sgt, tak payahlh mkn ayam..
Aku cuba menahan diri dr... 😂😂😂😂",@sarip_dol_,Sarip_Dol_ ,68,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Pakar formula x kan perlukan statement.. Hadoii,@dhiacarlina7884,dhiacarlina7884 ,71,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"Takut dah dgn MIC..biasa kelentong pakai satu MIC je,macai yg buat kerja😅",@shaiful850,@Shaiful085 ,47,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Geng-geng ph memang kelakar...,@paklangkeon,Keon ,38,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
masuk maharajalawak jelh piji...😂😂😂😂,@apexx6,@Apexx ,40,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
best tengok Anwar n geng...walaupun terror bt lawak..tpi bab kerja mmng mntap.,@pelangiindah_25,Pelangi ,23,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
orang baru jadi menteri cer tengok Abg Mat Sabu siap baling tu mic😂😂😂😂,@paktamshariljohar,paktamshariljohar ,29,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Ayam mahal jgn makan ayam.,@kiddycatboot,xoxo🧔 ,19,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Menteri formula,@idora_pandorra,Idora Pandorra ,33,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"bukan steament,formular kira kira😂😂",@yuzieyahaya,long ,33,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
😂😂😂😂 dulu sembang pandai,@saharuzzfd,Al Assad ,8,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"""mic ni jalan"". hmm melatah ke en fizi 😂😂",@imarahman6464,imarahman ,17,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
awat ku tgk dia ni semacam..🤣🤣,@user8415154078418,user8415154078418 ,11,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
alahai.. letak je la Raf.. u ni kemain lagi.,@yusuka411_,@Abey yie ,0,0,2d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
😂😂😂😂,@ridhuanaziz6,ridhuanaziz6 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
😂😂😂😂😂😂😂😂😂😂,@mohdfaridalhakim84,Farid Alhakim ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Terduduk ph,@solehahiman2,solehahiman2 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
ayam mahal jgn makan ayam,@aliasshahbani,Alias Shahbani ,6,0,2022-12-23,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Pakar formula,@ganu_881,ganu melaka ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Gaya Dah mcm Mr bean..,@abdullah19800,Lah7875 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Menteri paling kelakar malaysia pernah ad selepas mat sabun,@saufisaad,M@d ,1,0,3d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Adoiiiiiii sakit btul lah,@apple98774,user7693163478306 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
tanye bank negara...tgh duduk tu,@eirah990,Eirah ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"X pernah X kelakar, yg terbaru buat pengumuman pun best, terduduk saya..",@pakatanmuor,PakAtanMuor ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
jgn lupa masuk maharaja lawak tau😂,@pianbesut,user98917819337383 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
#kerajaankartun,@shangkerrr08,Shangkerr08 ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
macam cakap kedai kopi tepi masjid je,@adibzulkefli971,adibzulkefli971 ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Macam kembar Mr. Bean,@tanjakerabaru,Man Tanjak ,1,0,4d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
mantap menteri formula😂😂,@derrondg,derrondg ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
kena tya RTM la pizi,@shahrirismail65,Shahrir Ismail546 ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Dah tak tau nak buat statement apa pakar formula ni…,@boboy19791,boboy19791 ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
lawaklh 😂😂😂,@chemar100,Dom ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
😂😂,@user185749394900,user185749394900 ,0,0,1-5,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Adooiii....nape tukaq plak ni...taring hilang ke banggg😂😂😂😂,@masrulismail77,mass77 ,0,0,1-5,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Rafizi ni kalo botak msti mcm samer 😂😂,@halusinasi555,No name ,0,0,1-5,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
