comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
"Dh bnyk kebenaran ditunjukan, harap mereka lebih sedar. Mereka yg suka putar belit pun rmai terpedaya. 🥲",@rx_fizz27,Rx-Fizz ,168,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
tkutnya aku kerana allah mngizinkn kamu mngencing rakyat demi jawatan,@along19777,along77 ,639,0,2022-12-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Putar selagi boleh.. Sy putar halim,@aizud_dinn,aizud_dinn ,392,0,2022-12-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
tiba2 jadi nyanyuk plak. tu la byak sangat formula dlm kepala😂😂,@MS4wLjABAAAAwFbIVn-snmTvd9ZDSBev6InHDIt44HYGItGHH8byrPc_t7h91kwYgM7jxO1uTTSw,user2064189129326 ,231,0,2022-12-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
spin gagap..tu la sblm menang bkn main lgi..da menang apa crta..gi la cari...bkti kn yg PH bkn hancing😅😅..,@kyrullnaim,khairulnaim ,198,0,2022-12-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
aikk sblm pru bukan lantang suara bahas skli bila suda menang suara perlahan,@hairullll_,คุณแจ็ค.£ ,126,0,2022-12-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Byk gila dye spin..ingt 1/2 xdan kira 😂,@syedsafwan123,Syed Safwan402 ,71,0,2022-12-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
hihi putar belit sampai terbelit lidah.,@kamalnizamms,KamalNizam MS ,67,0,2022-12-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
"lagi teruk, terang² ucapan beliau jelas nyata..",@zulkarneanmohdzai,zulkarneanmohdzai ,16,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂tergagap gagap tu😂😂tak tahu hey hey tak tahu😂😂,@miramaruyama,Mira Maruyama 🇲🇾🎌 ,41,0,2022-12-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
@Rafizi kah kah kah....cendoi gak,@anasahfan,Cat ,49,0,2022-12-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
@Rafizi what the fish you are talking about sir? What do mean exactly?,@mhsyahputera,mhsyahputera ,82,0,2022-12-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
we do what piji...😅😁😁,@hairie1972,hairie1972 ,36,0,2022-12-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂,@zamri3881,zamri3881 ,0,0,1d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂,@mie7349,mie7349 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😳😳😳😂😂😂😂,@dmurai1,user8172006141623 ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
2 x 5,@siverama0,siva rama956 ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
tgh fikir formula baru...,@ismailjusoh353,ismailjusoh353 ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂,@aus9070,firdausrubani ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
penat aaaa makan popcorn... 😂,@aminul.misa,aminul.misa ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂,@hafeezishafiee,gigi_shop ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Cai ok ja dia spin2. Jnji rapiji dihati,@raffi_hadzir,Raffi Mohd Hadzir ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂,@aaaatyyyy,aaaatyyyyy ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂,@afiffriderdin,Afiff Rider Din ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
🤣😂🤣😂,@mazween69,Mazween1802 ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂,@user4519210783809,PowChikJuu ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
auto gagap....😂😂😂😂,@abamscania,Abam bear ,1,0,1w ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂,@rahim_ismail2020,Rahim_Ismail2020 ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
formula terbaik,@azroy_918,Roy Star598 ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
dia tahu rakyat malaysia senang di pergunakan untuk menang pilihanraya.. dia tak salah..dia hnya nk menang pilihanraya..,@fz8446,f z ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂😂,@a.wanggg10,A.Wanggg ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
shhhhhhh-hhhh-hhh..ahhhh lega haihhhhh😂,@djinnz_iffryt,الجني إفريت ,0,0,1-22,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂,@mr_terro,mr_terro ,0,0,1-22,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂😂,@rey_hilal7real,Rey Hilal ,0,0,1-20,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂,@areman46,Areman30 ,0,0,1-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂,@wshaiful,WanShaiful ,0,0,1-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂😂😂😂😂😂,@user4291716996554,sham ,0,0,1-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Tu pun ramai bersorak LG..klu die berucap....,@ramlibinburger,user3691640631677 ,0,0,1-4,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
@Rafizi 😏,@uninvitedjoker,Yuzwan ,0,0,1-4,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
