comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
"Honestly, i wish Rafizi, KJ, Nurul Izzah, Anthony Loke in same line..tp mcm mustahil 😅",@therumahku,Saiful Suffian ,237,0,2022-11-11,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Dia yg terbaikkkk skrang 👍👍👍👍👍,@user58450784752001selva,selva ,301,0,2022-11-11,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
dsai banyak orang kanan yg function😁,@ggsvnsets,d ,146,0,2022-11-11,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Rafizi punca aku undi PN. Raja persepsi,@papasofeaa,Tik Toker ,45,0,2022-11-19,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"Setuju, rafizi and KJ 😁",@welcomehomegenesis,Frogman ,90,0,2022-11-11,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Undi PH. Support PH,@apong337,user6959317277854 ,81,0,2022-11-11,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
tuan guru haji Abdul Hadi awang,@hambayghina_,hambayghina_ ,16,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
PN TERBAIK,@faixxa74_,faixxa74_ak ,23,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Takbir Allahakhbar Perikatan Nasional 🔥Anak Muda Bangkit Bersama,@mhdkawistorevol3,KawsStore ,10,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
menteri PULAU 🤣,@siralexferguson23,mantob12 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
hhahhahahaa....kelakar nyeeee....Rafizi ke??😅😅,@ryda1550,ryda1550 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
😂😂😂😂 tu sblm jd kerajaan. tp setelah jd kerajaan semua dh berubahhh,@nuradilakamal,adila kamal ,1,0,6d ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
betul x betul tu blkg cerita😆😆😆,@aziz_89z,Aziz ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
byk main politik persepsi & byk formula mengarut😂😂😂,@amaradli_ybe,amaradliariaff ,1,0,1-21,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Kita tgok kerja dia dlmJd Gov bru tahu boleh keja atau taK,@nurulareesya8,nurulareesya ,0,0,1-15,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Formula putar alam🤣🤣🤣,@teh..tarik1,Teh tarik ,2,0,1-8,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
sabar sabar menteri eko-no-mee masih cari formula auta putar belit rakyat..,@user1122811881597,user1122811881597 ,1,0,1-7,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
lawak menteri lev mat sabu,@hahaanakt,myboo ,1,0,1-2,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
sembang gajah pn boleh terbang,@nrj_fan,F.A.N ,2,0,1-2,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"bagi sy, anthony loke kurang bercakap tp impak kuat. RR ni so far sy x convinced lg. mungkin sbb sy x tau sgt psl ekonomi kut",@pn_pas_terbaik,PN-PASPISPUS BEST ,0,0,1-1,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
sanusi,@shah_ozil,shah_ozil ,0,0,2022-12-30,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Fomula tak menjadi😂😂😂😂😂😂,@asiahazas,Warna2 Kehidupan ,0,0,2022-12-26,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
😂😂,@rs3dqi,RS3DQI LoRi ,0,0,2022-12-26,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
pasir mas..#PadahKuJak😁,@m.hairoll.ss,M.HaIRoLL.Ss ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
ramai cai ph dlm nie,@eye.in.the.sky,Mujahid Nusantara ,1,0,2022-12-24,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
😂😂😂keyakinan,@honey_dew97,HoneyDew (ADMIN SSRC) ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Betul atau pun tidak itu belakang kira?,@linafadzlina,Sis Lina ,1,0,2022-12-23,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"Tak sabar tunggu Mat Sabu jadi PM, memang maju Malaysia.",@mohamadpsalleh,mohamadpsalleh ,0,0,2022-12-22,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Kekuatan Rafizi adalah temberangnya. Dulu tentang kl PH bergabung ngan BN. Skg apa dh jd?😁,@hasnahborhan,Hasnah Borhan ,0,0,2022-12-22,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"yes, Dia usulkan benda2 yg di depan mata. 🫡",@iamhaus,LuvParahin ,0,0,2022-12-21,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
saya sokong penuh,@karmilakarmila683,karmilakarmila683 ,0,0,2022-12-7,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
mat sabu,@mr_shokubutsusimashita,Mr_ShokubutsuSimashita ,0,0,2022-12-7,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
