comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
cer suruh rafizi nyanyi lagu hoi hoi hoi ya hoi,@anakmubarak,Anak Mubarak ,437,0,2022-12-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Dulu umno ahman maslan skrg rafizi PH,@baya_akmal,Akmal Vtec ,70,0,1-8,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
bukan piji jerr..ramai lg y tin kosong😂😂😂,@jiee85,fauzijiee85🕸️🐉 ,420,0,2022-12-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
hati2 menteri komunikasi is watching,@kuling69,kuling ,114,0,2022-12-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
dh dpt jawatan x menyalak la😂,@cirik229,cirik229 ,226,0,2022-12-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
pizi ni ckp dia sama dgn bos dia....,@sirturiss,SIR TURISS ,203,0,2022-12-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
pakatan hancing..,@bahaika3,Baharudin Yahya982 ,156,0,2022-12-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
bkn hanya lidah bercabang tp lebih keji,@user43238529534981,user43238529534981 ,39,0,2022-12-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Kawasan pandan pun mana dia tngk pun,@nonypanj,nonypanj ,77,0,2022-12-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
aik cai cakap itu tak penting yang penting bang non jadi pm😂😂,@ajaisamsuri,FAJAR SAMSURI TRADING ,27,0,2022-12-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
fitnah jd darah daging,@mazlan160372,mazlan160372 ,27,0,2022-12-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
tu la janji Jumanji,@anagikhun,Anaqi Khun BGDC ,22,0,2022-12-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"aku dah kabo, jgn pecaya, nak jugak percaya....😏",@kejutartora,kejutartorafeberet ,6,0,2022-12-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
walaun PN ni,@asmadyasmady,mady85 ,0,0,25m ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"Sebab tu anwar bagi dia jadi menteri, nak tunjuk sikit. 😂",@naimlahhh,Naim Abdullah ,0,0,4h ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
bg rasa nk sgt msg² nk dijdkan menteri..mne diorg semua dgn keadaan kita skrg????,@amryn._.martyna,🔙💓NRChaHaYa💓🔜 ,0,0,5h ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Rakyat memilih ..PMX memilih ahli2 yg setia dgn dia ..so x heran lah sngat ..so tunggu PRN x lama jer lagi,@hayuanum,PeL4nG! $eNj4❤️‍🩹 ,0,0,6h ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"walaun PN je yg kecoh , rakyat ok je",@doodadjigger,doodadjigger ,0,0,18h ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
menteri hancing...bau petai....😅😅😅,@user5338434612575,user5338434612575matjenin74 ,0,0,2d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
bng cuba cukur misai dgn sikat tepi....mcm rafizi..,@azimrahmanazimrah,Azim rahman Azim Rah ,0,0,2d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
menteri kartun tu ka,@jasmakok6ua,Cikman ,0,0,2d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Hahaha..kena kencing berjemaah lagi ke tu? 😂😂😂,@boqbong2,Ntahapapantah ,1,0,2d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Popcorn mana popcorn? Drama baru start. 5 tahun lagi nak habis. 😂,@wahidaabdhalim,Wahida Abd Halim ,0,0,2d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
@Rafizi sembang kari🤣🤣putar belit ckup mau,@amyrulasyraf152,Amyrul❤️nadia❤️qarlisya👶🏻 ,0,0,2d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
😂😂😂,@lumrahkehidupann,lumrah kehidupan ,0,0,2d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Bukan senang nk handle negara. jd pembangkang jauh lebih mudah dan popular,@nurniti,Iman Aini 🐞 ,0,0,2d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
utk negara kne buang. prinsip,@azuanuaryzy,wan abadi ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
kerajaan YDPA,@pesembur,pesembur ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
pakar formula 🤣,@aaaiidil_,aidil ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
sapa yg tak puah hati ni mst org PN.,@wasmady,Addy ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
awak ada penyelesaian terbaik ker selain kerjasama umno & pH ?,@romanreza77,The primitive guy ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
@Rafizi boleh beri sepatah dua kata..,@dendangperantau88,𝕂𝕚𝕥𝕒 𝔹𝕖𝕝𝕚 𝔹𝕖𝕣𝕒𝕤 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
undilaaa lagi,@mikomiko1235,mikomiko1235 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
😳,@lesrick7,Patrick Charles863 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
