comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
dulu knpa x nasihat kan menteri awak..,@harinobesuto,Hari No Besuto ,72,0,2022-12-25,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
masa 33bln pasai pa x buat,@husni8286,Husni8286 ,63,0,2022-12-25,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
Nk tnya jgaklah.. Knp beras dia tegur... Tp telur n ayam dia x tegur ye??,@shahbani_chemat,Aku_Shahbani ,628,0,2022-12-24,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
betul doh tu boh sebut pasal akta..tapi sekadar sebut nok tunjuk bijok ke walaun tak jd apo jgok😁😂,@slamberock,slamberock ,238,0,2022-12-24,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
lebih kurang je mcm 22 bulan..tunggu masa nk rebah,@mujahidrider88,mujahidRider2021 ,309,0,2022-12-24,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
Kenapa YB sebelumni takde formulake? Kalau ada y tak beritahu..,@krishnakris915,krishnakris915 ,148,0,2022-12-24,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
Rafizi terbaikkk,@21changcc,21changcc ,9,0,2022-12-25,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
masa memerintah xnk pulak turun kn harga...sekarang sibok lak ckp boleh turun,@anipflat,Anip Flat ,16,0,2022-12-26,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
"Ini lah pembakang yg kita mahu, selalu berfikir dan bekerja utk rakyat walau dulu jadi kerajaan senyap tak berfikir utk guna kuasa...Terbaik👍😏",@morhahs_ramo,Morhahs_Ramo ,26,0,2022-12-25,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
kjaan skrg mewarisi mslh kjaan lama..sabar la reti la dorg buat kje..,@marhain_2023,KOPI_keras ,14,0,2022-12-25,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
wah wah wah terbaik pembangkang ini mcm 👍,@xixou999,M3$$i ,8,0,2022-12-25,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
Terbaikkk..,@kakyaa_sa13,kakyaa_sa13 ,50,0,2022-12-24,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
"bagi saya je jadi menteri ekonomi,comfirm ayam dengan telur ayam murah😂😂",@rojak97_,DATUK IMAN ,14,0,2022-12-24,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
😂terbaik yb,@damiasyafi,Dhia ,42,0,2022-12-24,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
terbaik tuan,@wanbk859,wanbk859 ,40,0,2022-12-24,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
terbaikk yb 👍👍👍😀,@madamross24,Ros aliff ,34,0,2022-12-24,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
terbaik la,@81hayatiabdiiah,muooo_56 ,0,0,2d ago ,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
😅,@98_305,ghost98👻 ,0,0,2d ago ,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
Nasib saya x makan Ayam 😁😁😁😁😁,@alisjaya1966,allann123456 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
dia ni masa jd menteri xpernah nampak..,@7664lan9740,7664lan9740🇲🇾 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
kemas... 😂,@najibnr9000,NajibRazak_9000 ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,39.9K,5029,1803,2022-12-24
