comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,sentiment
Mat Rafizi ni kaki putar alam,@vahediey,user7281919497603 ,404,0,11/11/2022,30/1/2023,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,11/11/2022,positive
undi ph undi dap pangkah PN ..takbir😁😁,@fathulabdrahman,fathulabdrahman ,198,0,11/11/2022,30/1/2023,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,11/11/2022,negative
"Rafizi dah cuak, Tun Daim ramal Pas/PN lead pru 15",@jalrizroze,Jal Rizroze ,41,0,12/11/2022,30/1/2023,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,11/11/2022,negative
Macai RR akan tulis 'Rafizi terbaik '..,@izzuddinali71,Izzuddin A1771🇲🇾 ,43,0,11/11/2022,30/1/2023,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,11/11/2022,positive
Ape yg pelik? Rafizi bkn ade ape2 jwtn dlm krajaan kabinet pn yg ley sakau duit. Hahahaah. Yg pelik menteri ade berbilion😁,@sayangisterianak,Pejuang ,28,0,11/11/2022,30/1/2023,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,11/11/2022,negative
TAK PE LA BIAR LA DIA YNG PENTING PERIKATAN NASIONAL UNTUK RAKYAT,@makunamakma,POPCORN 🍿🍿🍿🍿 ,134,0,11/11/2022,30/1/2023,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,11/11/2022,negative
tgk vtt saya bang..sy pon dah kntoikan piji ni,@ariff_ramlan,Ariff_Ramlan ,90,0,11/11/2022,30/1/2023,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,11/11/2022,neutral
Kat malaysia je istihar harta kena mcm2😅😅,@hafizzismaaail,hafizmail ,41,0,11/11/2022,30/1/2023,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,11/11/2022,neutral
siapa plak Alif ni.. x pernah jumpa plak dia di petronas...🤣🤣,@zjzuff,ZJ Zuff ,58,0,11/11/2022,30/1/2023,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,11/11/2022,negative
PN Pilihan Terbaik ✅👍👍👍👍👍,@yumakul,abumundzir ,55,0,11/11/2022,30/1/2023,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,11/11/2022,negative
