tiktok_link,tiktok_description,tiktok_hashtag,Username,Views,posted_date,extracted_date
https://www.tiktok.com/@pokcikku/video/7180300404062702854,lain Kali jangan buat lagi tau🤣.. #rafiziramli  #rafizi4timbalan  ,#rafiziramli #rafizi4timbalan,pokcikku,507.8K,2022-12-23,2023-01-30
https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,#malaysia  #pru15  #pakatanharapan  #barisannasional  #perikatannasional  #rafiziramli  #pkr  @Rafizi  ,#malaysia #pru15 #pakatanharapan #barisannasional #perikatannasional #rafiziramli #pkr,thaqibshaker,183.6K,2022-11-11,2023-01-30
https://www.tiktok.com/@inisemuad0nia/video/7172741834156805402,#CapCut  #rafiziramli  #matsabu  #anakmudabersamapas  #pnbest  #panjihitam🏴  #pasforall  #tolakpakatanharapan  #tolakbarisannasional  #anakmudaislam  #anakmudaislambangkit  #ulama  #partiislamsemalaysia  #anakmudabersamaulamak  #tolaksekular  #tolakrasuah  #tolakliberal  #tolakklustermahkamah  ,#CapCut #rafiziramli #matsabu #anakmudabersamapas #pnbest #panjihitam #pasforall #tolakpakatanharapan #tolakbarisannasional #anakmudaislam #anakmudaislambangkit #ulama #partiislamsemalaysia #anakmudabersamaulamak #tolaksekular #tolakrasuah #tolakliberal #tolakklustermahkamah,inisemuad0nia,298.8K,2022-12-3,2023-01-30
https://www.tiktok.com/@detruthchannel/video/7192041764918758683,kat mana la Rafizi nak sorok muka nie? #kerajaanhoiyahoi  #rafiziramli  #barangnaikharga  ,#kerajaanhoiyahoi #rafiziramli #barangnaikharga,detruthchannel,574.7K,6d ago ,2023-01-30
https://www.tiktok.com/@detruthchannel/video/7180327170697465115,Rafizi buat lawak ke nie? #kerajaanhoiyahoi  #rafiziramli ,#kerajaanhoiyahoi #rafiziramli,detruthchannel,334.4K,2022-12-23,2023-01-30
https://www.tiktok.com/@wan.fayhsal/video/7180670288902851866,Formula nak turunkan harga dan telur ayam khas untuk Menteri Ekonomi kita!  #ayam  #telur  #rafiziramli  #hargabarang  #ekonomi ,#ayam #telur #rafiziramli #hargabarang #ekonomi,wan.fayhsal,579K,2022-12-24,2023-01-30
https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,Apa Sudah Jadi Wahai YB Rafizi Ramli! #perikatannasional  #rafiziramli  #barisannasional  #pru15  #pakatanharapan  ,#perikatannasional #rafiziramli #barisannasional #pru15 #pakatanharapan,tiktokybviral,519.7K,2022-12-17,2023-01-30
https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,"🚨🔥 ""Lepas menang pilihan raya kami cari Azam Baki, insya-Allah. Saya tahu Azam Baki tengok ni! Saya harap bila PH menang bila kami cari kamu, kamu jangan salahkan adik kamu sekali lagi,” Political byte ke Rakyat dah kena bite? U-TURN lagi.. #Rafizi  #RafiziRamli  #RR  #MenteriEkonomi  #KerajaanPerpaduan  #uturn  #pusing  #snake  #ular  #putarAlam  #politk  #Politikus  #Kerajaan  #Malaysia  #AnwarIbrahim  #ZahidHamidi  #Pengkhianat  #Melayu  #Penyamun  #Kleptokrasi  #viral  #isupanas  #RotiBakarTV  #Fyp  #fypシ  #fyppppppppppppppppppppppp  #fypシ゚viral  ",#Rafizi #RafiziRamli #RR #MenteriEkonomi #KerajaanPerpaduan #uturn #pusing #snake #ular #putarAlam #politk #Politikus #Kerajaan #Malaysia #AnwarIbrahim #ZahidHamidi #Pengkhianat #Melayu #Penyamun #Kleptokrasi #viral #isupanas #RotiBakarTV #Fyp #fyp #fyppppppppppppppppppppppp #fyp,rotibakar.007,452.6K,2022-12-5,2023-01-30
https://www.tiktok.com/@detruthchannel/video/7164683515513064731,Rafizi tolong jawab nie!!! #PRU15  #RafiziRamli  #INVOKE  ,#PRU15 #RafiziRamli #INVOKE,detruthchannel,395.9K,2022-11-11,2023-01-30
https://www.tiktok.com/@malaysiakutanahairku/video/7194352747863346458,,#,malaysiakutanahairku,9,53m ago ,2023-01-30
https://www.tiktok.com/@m.hudallah/video/7166906608692235522,#pru15  #malaysia  #pakatanharapan  #DSAI  #rafiziramli ,#pru15 #malaysia #pakatanharapan #DSAI #rafiziramli,m.hudallah,290.8K,2022-11-17,2023-01-30
https://www.tiktok.com/@ayiemaiemza/video/7179065716665093381,Penjelasan jawapan kepada soalan apa kerajaan perpaduan buat 2 minggu..... #Rafiziramli  #anuaribrahimperdanamenterimalaysia  #kabinetperpaduan  #barisannasional  #datosrianuwaribrahim  #perikatannasional  #pakatanharapan  #partiislamsemalaysia  #zahidhamidi  #parlimenbersidang  #praytobatangkalilandslide  #parlimenmalaysia  #parlimenpagoh  #parliment  ,#Rafiziramli #anuaribrahimperdanamenterimalaysia #kabinetperpaduan #barisannasional #datosrianuwaribrahim #perikatannasional #pakatanharapan #partiislamsemalaysia #zahidhamidi #parlimenbersidang #praytobatangkalilandslide #parlimenmalaysia #parlimenpagoh #parliment,ayiemaiemza,680K,2022-12-20,2023-01-30
https://www.tiktok.com/@jpmanickam/video/7156402417116908827,Rafizi of Rafizi. Tugas Utama PH Menghasutye.. #malaysianindian  #pru15  #mic  #umno  #mca  #dap  #pkr  #keluargamalaysia  #bn  #rafiziramli  #tamil  #pakatanharapan  #pemuda  ,#malaysianindian #pru15 #mic #umno #mca #dap #pkr #keluargamalaysia #bn #rafiziramli #tamil #pakatanharapan #pemuda,jpmanickam,352.5K,2022-10-20,2023-01-30
