avatar,nickname,username,time,datetime,tweets,img1,img2,img3,img4,numberOfComments,numberOfRetweets,numberOfLikes,numberOfViews,isAds
https://pbs.twimg.com/profile_images/1506128439878643714/cd_VqryV_bigger.jpg,Rashid Yusoff,@RashidYusoff11,Mar-01,2023-03-01T14:28:31.000Z,"Sumbangan Tunai RAHMAH yg terkini mengikut Belanjawan 2023. 

Boleh daftar di sini; 
https://bantuantunai.hasil.gov.my",https://pbs.twimg.com/media/FqJBgsUaEAIwCDh?format=jpg&name=small,https://pbs.twimg.com/media/FqJBgsUaEAIwCDh?format=jpg&name=small,https://pbs.twimg.com/media/FqJBgsUaEAIwCDh?format=jpg&name=small,https://pbs.twimg.com/media/FqJBgsUaEAIwCDh?format=jpg&name=small,38,"1,454","2,313",309.5K,No
https://pbs.twimg.com/profile_images/1614186504259252225/4aF1TrqI_bigger.jpg,Syahredzan Johan,@syahredzan,16h,2023-03-08T09:21:06.000Z,"Pastikan akses kepada keadilan (access to justice) dipelihara - orang miskin juga berhak mendapat peguam.

Petikan ucapan perbahasan Belanjawan 2023 peringkat dasar.",https://pbs.twimg.com/ext_tw_video_thumb/1633397242223812609/pu/img/doLcJwCgsKZ3R6B6.jpg,,,,8,252,543,83K,No
https://pbs.twimg.com/profile_images/1374274545322889216/KGO_yaHu_bigger.jpg,Perodua,@perodua,49m,2023-03-09T01:22:07.000Z,"THE ALL-NEW AXIA – PRETTY. SMART.

Totally re-designed from the inside out to give you a more stylish, spacious, efficient and assuring drive. Visit http://perodua.com.my/?twclid=272a0m7p3vxtmb5e6jta77bezl for more info and book one today

#Perodua #TheAllNewAxia #PeroduaAxia #Axia2023 #PrettySmart #BijakBergaya",https://pbs.twimg.com/media/Fo43su6aQAAW5Zb?format=jpg&name=small,,,,34,145,677,2.5M,Yes
https://pbs.twimg.com/profile_images/1614186504259252225/4aF1TrqI_bigger.jpg,Syahredzan Johan,@syahredzan,49m,2023-03-09T01:22:07.000Z,"Saya bangkitkan isu-isu tempatan di kawasan Parlimen Bangi yang mendesak, yang pada saya memerlukan perhatian Kerajaan Persekutuan.

Petikan ucapan perbahasan Belanjawan 2023 peringkat dasar ",https://pbs.twimg.com/ext_tw_video_thumb/1633639131090915329/pu/img/MOFtPlaZdPFr9AX2.jpg,,,,4,13,34,"2,738",No
https://pbs.twimg.com/profile_images/1627486109696671744/0j8zbAgO_bigger.jpg,Ministry of Finance,@MOFmalaysia,38m,2023-03-09T01:32:50.000Z,Generasi belia merupakan pewaris yang bakal mengemudi negara. Belanjawan 2023 menggariskan beberapa langkah khusus untuk memperkasa golongan belia.,https://pbs.twimg.com/media/Fqvcn3zacAYNE4q?format=jpg&name=small,,,,2,6,9,"1,181",No
https://pbs.twimg.com/profile_images/1596811161248595968/GRiO944C_bigger.jpg,KEADILAN,@KEADILAN,1h,2023-03-09T00:44:25.000Z,"Sesi penggulungan peringkat dasar Belanjawan 2023 oleh Perdana Menteri & Menteri Kewangan @anwaribrahim

Jam 6 petang hari ini.

#Belanjawan2023
#BelanjawanMADANI
#MalaysiaMADANI #AnwarIbrahim #kerajaanperpaduan #harapan #keadilan",https://pbs.twimg.com/media/FqvRn_qaYAE4wQK?format=jpg&name=small,,,,,16,46,"1,322",No
https://pbs.twimg.com/profile_images/1572047231276163073/qAHlxwvl_bigger.jpg,Buletin TV3,@BuletinTV3,Mar-03,2023-03-03T15:38:02.000Z,‘Bukan semua B40 dibantu dapat lesen percuma seperti diumumkan Belanjawan 2023’,https://pbs.twimg.com/card_img/1630804894667128835/Hv_dcw1R?format=jpg&name=small,,,,30,42,82,28.1K,No
https://pbs.twimg.com/profile_images/1329644126770405376/CaeC9yaL_bigger.jpg,SinarHarian,@SinarOnline,17h,2023-03-08T08:25:26.000Z,"Awang enggan mendengar arahan Johari untuk tidak mengganggu ucapan Menteri Ekonomi, @rafiziramli ketika sesi penggulungan Belanjawan 2023.

https://bit.ly/426XwnZ",https://pbs.twimg.com/card_img/1633383410776547328/45A77Q77?format=jpg&name=small,,,,22,19,83,10.6K,No
https://pbs.twimg.com/profile_images/1205517350306402304/hcAqCodG_bigger.jpg,Jabatan Penerangan Malaysia ,@JPenerangan,Mar-02,2023-03-01T21:30:29.000Z,"BELANJAWAN 2023 | MENJAMIN KESEJAHTERAAN MALAYSIA MADANI

Belanjawan 2023 ialah cerminan prinsip pertanggungjawaban dan sistem nilai yang luhur yang mampu mendepani tantangan semasa.

#Belanjawan2023
#MalaysiaMADANI
#JabatanPenerangan",https://pbs.twimg.com/ext_tw_video_thumb/1631044163293839360/pu/img/wpTibcYjGY2ZaGDS.jpg,,,,3,120,134,"1,807",No
https://pbs.twimg.com/profile_images/1589115769086181377/1pzh36nh_bigger.jpg,Abdul Hadi Awang,@abdulhadiawang,Feb-27,2023-02-27T10:14:40.000Z,"Saksikan Perbahasan Belanjawan 2023 oleh YB Tan Sri Dato' Seri Tuan Guru Haji Abdul Hadi Awang, Ahli Parlimen Marang pada 28 Februari 2023 (Selasa) jam 12 tengah hari.",https://pbs.twimg.com/media/Fp90PSsacAA90sP?format=jpg&name=small,,,,328,390,828,343.2K,No
https://pbs.twimg.com/profile_images/1292407356710514688/WhkA_O4L_bigger.jpg,Steven Sim ,@scheekeong,Mar-07,2023-03-07T14:34:22.000Z,"A snippet of my interview about Belanjawan 2023 on Money Matters @tv3malaysia. Thank you for the opportunity.

Key questions on the budget should be about how we spend the money, how we raise revenue and deal with debt.",https://pbs.twimg.com/ext_tw_video_thumb/1633113551438061582/pu/img/Ww6Fa8CfwBBRkK-M.jpg,,,,4,15,75,"6,325",No
https://pbs.twimg.com/profile_images/1627486109696671744/0j8zbAgO_bigger.jpg,Ministry of Finance,@MOFmalaysia,Mar-08,2023-03-08T01:04:57.000Z,Golongan wanita turut diberi keutamaan dalam Belanjawan 2023!,https://pbs.twimg.com/media/FqqMuv7agAIfrtU?format=jpg&name=small,,,,2,57,60,11.8K,No
https://pbs.twimg.com/profile_images/1205517350306402304/hcAqCodG_bigger.jpg,Jabatan Penerangan Malaysia ,@JPenerangan,Feb-27,2023-02-27T01:02:55.000Z,"BELANJAWAN 2023 | BERLANDASKAN 3 TEKAD | 12 IKHTIAR UTAMA 

#Belanjawan2023
#MalaysiaMADANI
#JabatanPenerangan",https://pbs.twimg.com/ext_tw_video_thumb/1630010445359890432/pu/img/cLKrFmrq_qCyhWH_.jpg,,,,,112,119,"1,688",No
https://pbs.twimg.com/profile_images/1205517350306402304/hcAqCodG_bigger.jpg,Jabatan Penerangan Malaysia ,@JPenerangan,Feb-27,2023-02-27T01:02:55.000Z,"BELANJAWAN 2023 | BERLANDASKAN 3 TEKAD | 12 IKHTIAR UTAMA 

#Belanjawan2023
#MalaysiaMADANI
#JabatanPenerangan",,,,,,112,119,"1,688",No
https://pbs.twimg.com/profile_images/1276131924356956161/OIuHJpjr_bigger.jpg,BERNAMA TV ,@BernamaTV,Mar-07,2023-03-07T09:39:07.000Z,Pandangan Ahli Parlimen termasuk pembangkang bantu jadikan Belanjawan 2023 lebih baik - PM Anwar,https://pbs.twimg.com/ext_tw_video_thumb/1633038684214951936/pu/img/G5ErwvKRIhZbj-od.jpg,,,,,5,18,"1,625",No
https://pbs.twimg.com/profile_images/1598808653750231041/AJkrI7Gk_bigger.jpg, Nik Nazmi,@niknazmi,Mar-01,2023-03-01T07:08:37.000Z,"Majoriti golongan miskin adalah org Melayu. Islam wajibkan zakat agar orang kaya membantu orang miskin.

Kenapa Perikatan Nasional bermati-mati tolak peningkatan cukai untuk orang kaya, dan penurunan cukai golongan sederhana dan miskin dalam Belanjawan 2023?

@anwaribrahim",https://pbs.twimg.com/media/FqHc14daUAELrns?format=jpg&name=900x900,,,,83,644,"1,321",185.9K,No
https://pbs.twimg.com/profile_images/822640385960902658/fyUlO7sa_bigger.jpg,Ahmad b Maslan,@ahmadmaslan,Feb-27,2023-02-27T05:01:57.000Z,Mendengar perbahasan #Belanjawan2023 oleh Ketua Pembangkang di #DewanRakyat. Sekitar 90 minit beliau bercakap.,https://pbs.twimg.com/media/Fp8sqUHaIAE-7Hc?format=jpg&name=small,https://pbs.twimg.com/media/Fp8sqULagAAycjm?format=jpg&name=small,,,62,106,731,206K,No
https://pbs.twimg.com/profile_images/1205517350306402304/hcAqCodG_bigger.jpg,Jabatan Penerangan Malaysia ,@JPenerangan,Feb-28,2023-02-28T02:59:32.000Z,"RISALAH BELANJAWAN MADANI 2023: APA RAKYAT DAPAT?

https://dbook.penerangan.gov.my/dbook/?product=risalah-belanjawan-madani-2023-apa-rakyat-dapat…
#MalaysiaMADANI
#JabatanPenerangan",https://pbs.twimg.com/media/FqBaPXnacAEZ1Sv?format=jpg&name=900x900,,,,,96,97,"1,070",No
https://pbs.twimg.com/profile_images/1208616101136830464/8EtBo92X_bigger.jpg,HarakahDaily | الحركة,@harakahdailyHD,10h,2023-03-08T16:03:03.000Z,"Cubaan Menteri Ekonomi untuk mengelirukan Dewan Rakyat gagal apabila fakta berkenaan peruntukan Belanjawan 2023 kepada negeri-negeri pembangkang dikatakan terbesar berbanding negeri lain. 

#HarakahDaily #ParlimenMalaysia #AhliParlimenPAS",https://pbs.twimg.com/ext_tw_video_thumb/1633478474408284161/pu/img/PwAfyxp1TacKd62g.jpg,,,,32,23,60,12.2K,No
https://pbs.twimg.com/profile_images/1208616101136830464/8EtBo92X_bigger.jpg,HarakahDaily | الحركة,@harakahdailyHD,10h,2023-03-08T16:03:03.000Z,"Cubaan Menteri Ekonomi untuk mengelirukan Dewan Rakyat gagal apabila fakta berkenaan peruntukan Belanjawan 2023 kepada negeri-negeri pembangkang dikatakan terbesar berbanding negeri lain. 

#HarakahDaily #ParlimenMalaysia #AhliParlimenPAS",,,,,32,23,60,12.2K,No
https://pbs.twimg.com/profile_images/1205517350306402304/hcAqCodG_bigger.jpg,Jabatan Penerangan Malaysia ,@JPenerangan,Mar-02,2023-03-01T21:31:43.000Z,"BELANJAWAN 2023 | 7 INTIPATI KKD

Ketahui intipati Kementerian Komunikasi Dan Digital di bawah Belanjawan 2023 dengan lebih jelas.

#KKD
#Belanjawan2023
#MalaysiaMADANI
#JabatanPenerangan",https://pbs.twimg.com/ext_tw_video_thumb/1631044397793157121/pu/img/5TE9ZbcdtznX_Jti.jpg,,,,,93,97,"1,310",No
https://pbs.twimg.com/profile_images/1565013432596045824/DsO0ZybR_bigger.jpg,Uthman Che Aziz ,@CheUthman,10h,2023-03-08T15:59:07.000Z,"Idola budak² PH. 

Suruh orang minta maaf dekat boss dia. Padahal peruntukan kepada 4 negeri pembangkang tu nampak sangat kecil dan memperleceh semangat federalism. Alih² cakap negeri pembangkang dapat peruntukan 50% bahkan terbesar dalam Belanjawan 2023.",https://pbs.twimg.com/media/FqtZY0sacAAgvve?format=jpg&name=medium,,,,8,15,39,"1,327",No
https://pbs.twimg.com/profile_images/1595766833285459968/1RUfyYzv_bigger.jpg,Syed Saddiq,@SyedSaddiq,Feb-28,2023-02-28T12:10:37.000Z,"Alhamdulillah, I’ve delivered my speech on Belanjawan 2023.

3 fokus utama ucapan saya sebentar tadi adalah

- Pemerkasaan TVET 
- Reformasi institusi 
- Tenaga Hijau kalis masa hadapan 

Saya fokus kepada TVET kerana saya rasa TVET sedang nazak dan jauh ketinggalan!",https://pbs.twimg.com/media/FqDYXZ-aIAEcikz?format=jpg&name=small,,,,9,111,595,102.6K,No
https://pbs.twimg.com/profile_images/1608382498094092293/tZr5EB7K_bigger.jpg,Astro AWANI,@501Awani,Feb-27,2023-02-27T04:13:05.000Z,"Ketua Pembangkang, Datuk Seri Hamzah Zainudin menyifatkan Belanjawan 2023 seperti bajet selimut yang senteng.

""Maksudnya, kalau kita tutup muka, betis kita terselak. Kalau tutup kaki, muka kita terdedah,"" katanya.

#AWANInews #SisiTvParlimen #DewanRakyat",https://pbs.twimg.com/amplify_video_thumb/1630057058279260160/img/6k4EtH7Kjyhqa-vW.jpg,,,,115,96,172,154K,No
